Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,0,34.2941
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,1,16.2018
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,2,16.5106
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,3,24.4001
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,4,21.7265
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,5,9.9894
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,6,23.7436
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,7,24.4326
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,8,15.2629
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,9,26.0435
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,10,16.9999
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,0,29.8467
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,1,15.4491
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,2,20.3191
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,3,23.328
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,4,20.8302
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,5,19.4643
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,6,28.1794
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,7,31.0043
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,8,31.8867
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,9,22.9994
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,10,18.2325
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,0,33.4157
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,1,19.8723
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,2,25.0387
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,3,30.9817
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,4,31.0942
