Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,0,36.8597
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,1,32.421
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,2,37.7548
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,3,30.6887
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,4,31.1389
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,5,23.5024
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,6,29.8036
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,7,25.6018
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,8,31.1047
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,9,30.4869
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,10,33.5697
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,0,41.2188
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,1,36.9973
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,2,31.4381
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,3,36.0114
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,4,33.2306
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,5,29.5665
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,6,34.1167
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,7,26.8591
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,8,27.5008
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,9,35.7644
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,10,28.539
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,0,41.9748
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,1,29.3615
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,2,26.7
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,3,29.5649
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,4,34.1781
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,5,27.6351
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,6,32.0075
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,7,23.8852
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,8,31.5899
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,9,27.5669
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,10,36.5964
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,0,39.8762
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,1,38.1733
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,2,26.8552
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,3,35.0209
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,4,35.9051
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,5,40.5632
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,6,34.9789
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,7,31.956
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,8,33.6859
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,9,35.4053
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,10,35.926
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,0,43.05
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,1,40.8388
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,2,35.9675
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,3,39.1064
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,4,41.4697
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,5,35.4013
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,6,35.6984
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,7,37.1009
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,8,37.1353
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,9,40.4756
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,10,37.545
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,0,37.3564
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,1,37.1837
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,2,32.369
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,3,34.0316
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,4,28.469
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,5,31.4856
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,6,34.5138
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,7,39.4823
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,8,36.7338
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,9,28.026
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,10,35.7507
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,0,46.0303
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,1,33.1681
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,2,36.1526
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,3,35.0329
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,4,11.1154
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,5,34.5257
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,6,32.577
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,7,29.62
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,8,35.3715
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,9,33.3643
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,10,36.7885
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,0,44.0152
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,1,34.2207
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,2,34.2459
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,3,34.8408
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,4,35.6215
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,5,38.7343
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,6,32.2706
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,7,39.3536
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,8,38.0211
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,9,31.3738
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,10,38.3858
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,0,46.6562
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,1,31.281
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,2,41.972
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,3,35.8522
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,4,38.4305
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,5,34.9659
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,6,39.7034
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,7,24.7431
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,8,37.2263
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,9,35.3688
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,10,35.5184
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,0,39.7555
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,1,38.4371
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,2,32.7381
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,3,34.5055
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,4,33.5578
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,5,37.0168
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,6,28.0659
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,7,38.2917
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,8,35.666
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,9,33.6119
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,10,36.8843
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,0,44.8959
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,1,35.3317
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,2,38.4185
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,3,32.2636
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,4,37.9842
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,5,35.6398
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,6,28.2663
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,7,40.2457
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,8,41.0676
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,9,42.3538
