Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,0,9.0536
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,1,11.3296
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,2,23.2127
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,3,15.3487
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,4,24.5415
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,5,10.9066
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,6,3.1322
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,7,18.5353
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,8,20.8724
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,9,5.5148
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,10,20.1823
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,0,35.3346
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,1,27.7246
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,2,14.6742
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,3,20.9486
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,4,17.8295
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,5,16.2242
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,6,27.3135
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,7,28.4418
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,8,21.7985
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,9,27.1374
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,10,21.6377
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,0,28.5485
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,1,24.56
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,2,28.4724
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,3,23.042
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,4,33.5017
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,5,23.534
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,6,24.8687
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,7,25.103
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,8,21.0478
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,9,27.8011
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,10,26.9213
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,0,33.1076
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,1,21.3128
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,2,20.9366
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,3,2.5022
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,4,17.8065
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,5,23.0972
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,6,23.8098
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,7,30.8723
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,8,30.6453
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,9,27.2552
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,10,23.2564
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,0,32.7613
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,1,23.4857
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,2,16.86
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,3,26.9213
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,4,19.097
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,5,22.6774
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,6,23.4792
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,7,24.4172
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,8,31.1716
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,9,28.9392
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,10,27.9939
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,0,34.8819
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,1,27.8867
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,2,29.6446
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,3,10.912
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,4,38.2608
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,5,32.344
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,6,28.7437
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,7,22.9382
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,8,31.3829
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,9,38.5772
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,10,34.4562
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,0,35.8344
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,1,22.9092
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,2,25.7946
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,3,35.896
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,4,30.9546
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,5,30.3344
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,6,35.234
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,7,25.8245
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,8,24.4304
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,9,29.9967
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,10,26.293
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,0,36.6644
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,1,26.9006
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,2,29.9796
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,3,27.8573
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,4,23.2593
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,5,33.9028
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,6,31.8358
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,7,36.4938
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,8,29.9235
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,9,21.3569
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,10,30.3583
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,0,37.3252
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,1,20.9277
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,2,32.0996
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,3,28.1702
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,4,26.9849
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,5,32.0432
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,6,24.7616
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,7,39.2002
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,8,38.931
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,9,35.3383
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,10,24.7228
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,0,38.4958
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,1,32.4051
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,2,24.9247
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,3,26.3175
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,4,32.2742
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,5,37.6869
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,6,33.2278
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,7,40.7513
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,8,41.5887
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,9,37.728
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,10,20.146
$BTC-USD@GDAX_MTGOX,2013-01-19,2013-04-20,0,36.0083
$BTC-USD@GDAX_MTGOX,2013-01-19,2013-04-20,1,23.3414
$BTC-USD@GDAX_MTGOX,2013-01-19,2013-04-20,2,15.3588
$BTC-USD@GDAX_MTGOX,2013-01-19,2013-04-20,3,12.2083
$BTC-USD@GDAX_MTGOX,2013-01-19,2013-04-20,4,25.4765
$BTC-USD@GDAX_MTGOX,2013-01-19,2013-04-20,5,23.2112
$BTC-USD@GDAX_MTGOX,2013-01-19,2013-04-20,6,22.2973
$BTC-USD@GDAX_MTGOX,2013-01-19,2013-04-20,7,15.8904
$BTC-USD@GDAX_MTGOX,2013-01-19,2013-04-20,8,27.9434
$BTC-USD@GDAX_MTGOX,2013-01-19,2013-04-20,9,17.43
$BTC-USD@GDAX_MTGOX,2013-01-19,2013-04-20,10,14.642
$BTC-USD@GDAX_MTGOX,2013-04-20,2013-07-20,0,42.2137
$BTC-USD@GDAX_MTGOX,2013-04-20,2013-07-20,1,22.8167
$BTC-USD@GDAX_MTGOX,2013-04-20,2013-07-20,2,28.7615
$BTC-USD@GDAX_MTGOX,2013-04-20,2013-07-20,3,29.6654
$BTC-USD@GDAX_MTGOX,2013-04-20,2013-07-20,4,28.7308
$BTC-USD@GDAX_MTGOX,2013-04-20,2013-07-20,5,32.9802
$BTC-USD@GDAX_MTGOX,2013-04-20,2013-07-20,6,25.8382
$BTC-USD@GDAX_MTGOX,2013-04-20,2013-07-20,7,36.5691
$BTC-USD@GDAX_MTGOX,2013-04-20,2013-07-20,8,35.2572
$BTC-USD@GDAX_MTGOX,2013-04-20,2013-07-20,9,30.78
$BTC-USD@GDAX_MTGOX,2013-04-20,2013-07-20,10,16.5595
$BTC-USD@GDAX_MTGOX,2013-07-20,2013-10-19,0,32.6024
$BTC-USD@GDAX_MTGOX,2013-07-20,2013-10-19,1,23.2212
$BTC-USD@GDAX_MTGOX,2013-07-20,2013-10-19,2,23.0095
$BTC-USD@GDAX_MTGOX,2013-07-20,2013-10-19,3,34.5749
$BTC-USD@GDAX_MTGOX,2013-07-20,2013-10-19,4,21.6111
$BTC-USD@GDAX_MTGOX,2013-07-20,2013-10-19,5,29.0395
$BTC-USD@GDAX_MTGOX,2013-07-20,2013-10-19,6,36.1505
$BTC-USD@GDAX_MTGOX,2013-07-20,2013-10-19,7,28.2999
$BTC-USD@GDAX_MTGOX,2013-07-20,2013-10-19,8,26.7446
$BTC-USD@GDAX_MTGOX,2013-07-20,2013-10-19,9,24.0567
$BTC-USD@GDAX_MTGOX,2013-07-20,2013-10-19,10,17.0332
$BTC-USD@GDAX_MTGOX,2013-10-19,2014-01-18,0,34.1549
$BTC-USD@GDAX_MTGOX,2013-10-19,2014-01-18,1,32.3162
$BTC-USD@GDAX_MTGOX,2013-10-19,2014-01-18,2,27.8491
$BTC-USD@GDAX_MTGOX,2013-10-19,2014-01-18,3,18.6544
$BTC-USD@GDAX_MTGOX,2013-10-19,2014-01-18,4,36.6118
$BTC-USD@GDAX_MTGOX,2013-10-19,2014-01-18,5,29.9481
$BTC-USD@GDAX_MTGOX,2013-10-19,2014-01-18,6,27.4772
$BTC-USD@GDAX_MTGOX,2013-10-19,2014-01-18,7,28.5744
$BTC-USD@GDAX_MTGOX,2013-10-19,2014-01-18,8,20.2787
$BTC-USD@GDAX_MTGOX,2013-10-19,2014-01-18,9,27.2834
$BTC-USD@GDAX_MTGOX,2013-10-19,2014-01-18,10,40.0453
$BTC-USD@GDAX_MTGOX,2014-01-18,2014-04-19,0,30.0237
$BTC-USD@GDAX_MTGOX,2014-01-18,2014-04-19,1,13.5099
$BTC-USD@GDAX_MTGOX,2014-01-18,2014-04-19,2,16.0434
$BTC-USD@GDAX_MTGOX,2014-01-18,2014-04-19,3,32.7242
$BTC-USD@GDAX_MTGOX,2014-01-18,2014-04-19,4,19.6888
$BTC-USD@GDAX_MTGOX,2014-01-18,2014-04-19,5,24.4282
$BTC-USD@GDAX_MTGOX,2014-01-18,2014-04-19,6,39.2603
$BTC-USD@GDAX_MTGOX,2014-01-18,2014-04-19,7,16.3794
$BTC-USD@GDAX_MTGOX,2014-01-18,2014-04-19,8,8.3642
$BTC-USD@GDAX_MTGOX,2014-01-18,2014-04-19,9,28.5893
$BTC-USD@GDAX_MTGOX,2014-01-18,2014-04-19,10,38.8073
