Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,0,23.5301
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,1,23.6243
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,2,18.605
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,3,13.7826
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,4,18.238
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,5,24.4096
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,6,16.7586
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,7,18.1789
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,8,23.5384
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,9,21.0536
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,10,12.1595
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,0,31.1928
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,1,23.1882
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,2,27.3043
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,3,20.4799
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,4,21.0963
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,5,22.392
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,6,18.4153
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,7,16.7691
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,8,22.0584
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,9,23.4385
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,10,18.3454
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,0,30.7066
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,1,28.4301
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,2,14.2832
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,3,18.7316
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,4,21.6992
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,5,29.5484
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,6,25.3972
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,7,25.3524
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,8,27.2394
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,9,25.398
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,10,22.4547
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,0,38.5179
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,1,18.0782
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,2,22.755
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,3,22.1254
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,4,26.9304
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,5,23.3171
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,6,26.3363
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,7,24.7367
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,8,25.1706
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,9,26.5756
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,10,24.1026
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,0,31.2838
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,1,21.8263
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,2,27.0281
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,3,26.6218
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,4,29.2582
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,5,28.9374
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,6,18.6867
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,7,21.1904
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,8,26.1047
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,9,20.236
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,10,24.4137
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,0,38.8312
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,1,25.5832
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,2,24.9812
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,3,27.7467
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,4,30.7972
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,5,28.9695
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,6,29.2335
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,7,25.4851
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,8,25.7671
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,9,29.8841
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,10,28.9283
