Symbol,Start,End,Permutation,Elliotticity
$DJIA,1914-12-14,1915-03-17,0,32.1334
$DJIA,1914-12-14,1915-03-17,1,13.3956
$DJIA,1914-12-14,1915-03-17,2,24.2333
$DJIA,1914-12-14,1915-03-17,3,8.8714
$DJIA,1914-12-14,1915-03-17,4,6.0462
$DJIA,1914-12-14,1915-03-17,5,30.1677
$DJIA,1914-12-14,1915-03-17,6,13.0019
$DJIA,1914-12-14,1915-03-17,7,34.8021
$DJIA,1914-12-14,1915-03-17,8,28.6641
$DJIA,1914-12-14,1915-03-17,9,24.0148
$DJIA,1914-12-14,1915-03-17,10,22.1252
$DJIA,1915-03-17,1915-06-16,0,23.9706
$DJIA,1915-03-17,1915-06-16,1,26.6224
$DJIA,1915-03-17,1915-06-16,2,27.9928
$DJIA,1915-03-17,1915-06-16,3,21.3196
$DJIA,1915-03-17,1915-06-16,4,34.0745
$DJIA,1915-03-17,1915-06-16,5,18.3762
$DJIA,1915-03-17,1915-06-16,6,39.4733
$DJIA,1915-03-17,1915-06-16,7,30.2532
$DJIA,1915-03-17,1915-06-16,8,21.3471
$DJIA,1915-03-17,1915-06-16,9,21.491
$DJIA,1915-03-17,1915-06-16,10,27.8093
$DJIA,1915-06-16,1915-09-15,0,16.4714
$DJIA,1915-06-16,1915-09-15,1,23.7111
$DJIA,1915-06-16,1915-09-15,2,37.8975
$DJIA,1915-06-16,1915-09-15,3,25.8546
$DJIA,1915-06-16,1915-09-15,4,30.98
$DJIA,1915-06-16,1915-09-15,5,31.6044
$DJIA,1915-06-16,1915-09-15,6,34.9496
$DJIA,1915-06-16,1915-09-15,7,30.5394
$DJIA,1915-06-16,1915-09-15,8,36.4918
$DJIA,1915-06-16,1915-09-15,9,49.2095
$DJIA,1915-06-16,1915-09-15,10,17.1052
$DJIA,1915-09-15,1915-12-16,0,36.8087
$DJIA,1915-09-15,1915-12-16,1,20.1763
$DJIA,1915-09-15,1915-12-16,2,33.7674
$DJIA,1915-09-15,1915-12-16,3,32.8607
$DJIA,1915-09-15,1915-12-16,4,41.2143
$DJIA,1915-09-15,1915-12-16,5,42.9352
$DJIA,1915-09-15,1915-12-16,6,17.4359
$DJIA,1915-09-15,1915-12-16,7,26.606
$DJIA,1915-09-15,1915-12-16,8,38.0603
$DJIA,1915-09-15,1915-12-16,9,32.4702
$DJIA,1915-09-15,1915-12-16,10,38.3781
$DJIA,1915-12-16,1916-03-15,0,23.6864
$DJIA,1915-12-16,1916-03-15,1,39.4619
$DJIA,1915-12-16,1916-03-15,2,29.7966
$DJIA,1915-12-16,1916-03-15,3,0.061
$DJIA,1915-12-16,1916-03-15,4,24.579
$DJIA,1915-12-16,1916-03-15,5,24.3191
$DJIA,1915-12-16,1916-03-15,6,29.8529
$DJIA,1915-12-16,1916-03-15,7,24.5931
$DJIA,1915-12-16,1916-03-15,8,17.0892
$DJIA,1915-12-16,1916-03-15,9,39.9203
$DJIA,1915-12-16,1916-03-15,10,31.4068
$DJIA,1916-03-15,1916-06-14,0,28.791
$DJIA,1916-03-15,1916-06-14,1,30.5424
$DJIA,1916-03-15,1916-06-14,2,40.6918
$DJIA,1916-03-15,1916-06-14,3,35.561
$DJIA,1916-03-15,1916-06-14,4,27.7443
$DJIA,1916-03-15,1916-06-14,5,32.5075
$DJIA,1916-03-15,1916-06-14,6,27.2856
$DJIA,1916-03-15,1916-06-14,7,19.007
$DJIA,1916-03-15,1916-06-14,8,35.3092
$DJIA,1916-03-15,1916-06-14,9,36.2424
$DJIA,1916-03-15,1916-06-14,10,34.531
$DJIA,1916-06-14,1916-09-13,0,39.5585
$DJIA,1916-06-14,1916-09-13,1,28.6066
$DJIA,1916-06-14,1916-09-13,2,31.2738
$DJIA,1916-06-14,1916-09-13,3,12.7677
$DJIA,1916-06-14,1916-09-13,4,12.8231
$DJIA,1916-06-14,1916-09-13,5,33.8323
$DJIA,1916-06-14,1916-09-13,6,37.3367
$DJIA,1916-06-14,1916-09-13,7,29.4647
$DJIA,1916-06-14,1916-09-13,8,20.3603
$DJIA,1916-06-14,1916-09-13,9,42.4577
$DJIA,1916-06-14,1916-09-13,10,19.9162
$DJIA,1916-09-13,1916-12-14,0,24.4287
$DJIA,1916-09-13,1916-12-14,1,35.9468
$DJIA,1916-09-13,1916-12-14,2,28.5422
$DJIA,1916-09-13,1916-12-14,3,29.3494
$DJIA,1916-09-13,1916-12-14,4,50.7374
$DJIA,1916-09-13,1916-12-14,5,25.5432
$DJIA,1916-09-13,1916-12-14,6,32.3223
$DJIA,1916-09-13,1916-12-14,7,27.9304
$DJIA,1916-09-13,1916-12-14,8,30.6179
$DJIA,1916-09-13,1916-12-14,9,34.3425
$DJIA,1916-09-13,1916-12-14,10,31.1121
$DJIA,1916-12-14,1917-03-17,0,19.5812
$DJIA,1916-12-14,1917-03-17,1,30.8159
$DJIA,1916-12-14,1917-03-17,2,21.6991
$DJIA,1916-12-14,1917-03-17,3,29.2173
$DJIA,1916-12-14,1917-03-17,4,24.9013
$DJIA,1916-12-14,1917-03-17,5,18.3005
$DJIA,1916-12-14,1917-03-17,6,9.6859
$DJIA,1916-12-14,1917-03-17,7,20.1862
$DJIA,1916-12-14,1917-03-17,8,16.5158
$DJIA,1916-12-14,1917-03-17,9,22.342
$DJIA,1916-12-14,1917-03-17,10,27.682
$DJIA,1917-03-19,1917-06-19,0,9.7215
$DJIA,1917-03-19,1917-06-19,1,9.1745
$DJIA,1917-03-19,1917-06-19,2,26.5166
$DJIA,1917-03-19,1917-06-19,3,28.5183
$DJIA,1917-03-19,1917-06-19,4,38.3905
$DJIA,1917-03-19,1917-06-19,5,35.7756
$DJIA,1917-03-19,1917-06-19,6,26.1288
$DJIA,1917-03-19,1917-06-19,7,33.4863
$DJIA,1917-03-19,1917-06-19,8,42.0278
$DJIA,1917-03-19,1917-06-19,9,39.7312
$DJIA,1917-03-19,1917-06-19,10,27.1307
$DJIA,1917-06-19,1917-09-18,0,30.5362
$DJIA,1917-06-19,1917-09-18,1,29.6861
$DJIA,1917-06-19,1917-09-18,2,42.8029
$DJIA,1917-06-19,1917-09-18,3,13.4288
$DJIA,1917-06-19,1917-09-18,4,30.3678
$DJIA,1917-06-19,1917-09-18,5,24.969
$DJIA,1917-06-19,1917-09-18,6,31.7564
$DJIA,1917-06-19,1917-09-18,7,14.4535
$DJIA,1917-06-19,1917-09-18,8,31.2577
$DJIA,1917-06-19,1917-09-18,9,7.7146
$DJIA,1917-06-19,1917-09-18,10,22.7119
$DJIA,1917-09-18,1917-12-19,0,31.3146
$DJIA,1917-09-18,1917-12-19,1,22.6172
$DJIA,1917-09-18,1917-12-19,2,26.8955
$DJIA,1917-09-18,1917-12-19,3,31.4567
$DJIA,1917-09-18,1917-12-19,4,38.2944
$DJIA,1917-09-18,1917-12-19,5,35.8387
$DJIA,1917-09-18,1917-12-19,6,30.6427
$DJIA,1917-09-18,1917-12-19,7,33.5251
