Symbol,Start,End,Permutation,Elliotticity
$DJIA,1914-12-14,1917-12-19,0,21.9796
$DJIA,1914-12-14,1917-12-19,1,20.2586
$DJIA,1914-12-14,1917-12-19,2,25.7598
$DJIA,1914-12-14,1917-12-19,3,31.6262
$DJIA,1914-12-14,1917-12-19,4,29.4527
$DJIA,1914-12-14,1917-12-19,5,27.1693
$DJIA,1914-12-14,1917-12-19,6,22.6779
$DJIA,1914-12-14,1917-12-19,7,22.8027
$DJIA,1914-12-14,1917-12-19,8,25.0759
$DJIA,1914-12-14,1917-12-19,9,27.7771
$DJIA,1914-12-14,1917-12-19,10,23.2712
$DJIA,1917-12-19,1921-01-04,0,21.4148
$DJIA,1917-12-19,1921-01-04,1,29.285
$DJIA,1917-12-19,1921-01-04,2,24.5182
$DJIA,1917-12-19,1921-01-04,3,24.0848
$DJIA,1917-12-19,1921-01-04,4,21.4022
$DJIA,1917-12-19,1921-01-04,5,24.9198
$DJIA,1917-12-19,1921-01-04,6,29.7552
$DJIA,1917-12-19,1921-01-04,7,17.3324
$DJIA,1917-12-19,1921-01-04,8,30.8764
$DJIA,1917-12-19,1921-01-04,9,25.9566
$DJIA,1917-12-19,1921-01-04,10,25.3904
$DJIA,1921-01-04,1924-01-16,0,31.5256
$DJIA,1921-01-04,1924-01-16,1,22.4915
$DJIA,1921-01-04,1924-01-16,2,27.741
$DJIA,1921-01-04,1924-01-16,3,26.6026
$DJIA,1921-01-04,1924-01-16,4,31.4013
$DJIA,1921-01-04,1924-01-16,5,26.8973
$DJIA,1921-01-04,1924-01-16,6,25.8382
$DJIA,1921-01-04,1924-01-16,7,27.0062
$DJIA,1921-01-04,1924-01-16,8,23.8156
$DJIA,1921-01-04,1924-01-16,9,22.7461
$DJIA,1921-01-04,1924-01-16,10,29.402
$DJIA,1924-01-16,1927-01-19,0,27.383
$DJIA,1924-01-16,1927-01-19,1,22.0483
$DJIA,1924-01-16,1927-01-19,2,19.8394
$DJIA,1924-01-16,1927-01-19,3,27.2189
$DJIA,1924-01-16,1927-01-19,4,23.3555
$DJIA,1924-01-16,1927-01-19,5,25.5035
$DJIA,1924-01-16,1927-01-19,6,29.1672
$DJIA,1924-01-16,1927-01-19,7,18.7519
$DJIA,1924-01-16,1927-01-19,8,25.3376
$DJIA,1924-01-16,1927-01-19,9,26.079
$DJIA,1924-01-16,1927-01-19,10,27.2666
$DJIA,1927-01-19,1930-01-29,0,35.2835
$DJIA,1927-01-19,1930-01-29,1,17.5697
$DJIA,1927-01-19,1930-01-29,2,21.2315
$DJIA,1927-01-19,1930-01-29,3,20.4386
$DJIA,1927-01-19,1930-01-29,4,27.7013
$DJIA,1927-01-19,1930-01-29,5,24.4056
$DJIA,1927-01-19,1930-01-29,6,22.902
$DJIA,1927-01-19,1930-01-29,7,25.845
$DJIA,1927-01-19,1930-01-29,8,26.209
$DJIA,1927-01-19,1930-01-29,9,28.9112
$DJIA,1927-01-19,1930-01-29,10,30.6753
$DJIA,1930-01-29,1933-02-02,0,38.5857
$DJIA,1930-01-29,1933-02-02,1,31.7318
$DJIA,1930-01-29,1933-02-02,2,23.0655
$DJIA,1930-01-29,1933-02-02,3,24.6743
$DJIA,1930-01-29,1933-02-02,4,30.3609
$DJIA,1930-01-29,1933-02-02,5,26.0005
$DJIA,1930-01-29,1933-02-02,6,32.2489
$DJIA,1930-01-29,1933-02-02,7,29.3319
$DJIA,1930-01-29,1933-02-02,8,27.1804
$DJIA,1930-01-29,1933-02-02,9,24.2513
$DJIA,1930-01-29,1933-02-02,10,24.0989
$DJIA,1933-02-02,1936-02-25,0,36.4744
$DJIA,1933-02-02,1936-02-25,1,22.5447
$DJIA,1933-02-02,1936-02-25,2,17.8905
$DJIA,1933-02-02,1936-02-25,3,15.4232
$DJIA,1933-02-02,1936-02-25,4,26.1096
$DJIA,1933-02-02,1936-02-25,5,21.5443
$DJIA,1933-02-02,1936-02-25,6,23.2311
