Symbol,Start,End,Permutation,Elliotticity
$DJTA,1928-10-02,1929-01-04,0,34.8551
$DJTA,1928-10-02,1929-01-04,1,35.4616
$DJTA,1928-10-02,1929-01-04,2,36.2159
$DJTA,1928-10-02,1929-01-04,3,36.7378
$DJTA,1928-10-02,1929-01-04,4,38.5565
$DJTA,1928-10-02,1929-01-04,5,30.968
$DJTA,1928-10-02,1929-01-04,6,30.5921
$DJTA,1928-10-02,1929-01-04,7,43.2956
$DJTA,1928-10-02,1929-01-04,8,28.9196
$DJTA,1928-10-02,1929-01-04,9,40.5999
$DJTA,1928-10-02,1929-01-04,10,39.5606
$DJTA,1929-01-04,1929-04-06,0,29.6472
$DJTA,1929-01-04,1929-04-06,1,40.7301
$DJTA,1929-01-04,1929-04-06,2,35.7237
$DJTA,1929-01-04,1929-04-06,3,21.9647
$DJTA,1929-01-04,1929-04-06,4,31.5669
$DJTA,1929-01-04,1929-04-06,5,27.101
$DJTA,1929-01-04,1929-04-06,6,24.2306
$DJTA,1929-01-04,1929-04-06,7,19.6269
$DJTA,1929-01-04,1929-04-06,8,37.8259
$DJTA,1929-01-04,1929-04-06,9,30.4649
$DJTA,1929-01-04,1929-04-06,10,27.0512
$DJTA,1929-04-08,1929-07-06,0,36.5333
$DJTA,1929-04-08,1929-07-06,1,38.4338
$DJTA,1929-04-08,1929-07-06,2,37.4446
$DJTA,1929-04-08,1929-07-06,3,28.1
$DJTA,1929-04-08,1929-07-06,4,18.6815
$DJTA,1929-04-08,1929-07-06,5,44.5656
$DJTA,1929-04-08,1929-07-06,6,31.6514
$DJTA,1929-04-08,1929-07-06,7,24.1075
$DJTA,1929-04-08,1929-07-06,8,28.9638
$DJTA,1929-04-08,1929-07-06,9,34.7851
$DJTA,1929-04-08,1929-07-06,10,34.7216
$DJTA,1929-07-08,1929-10-04,0,30.1034
$DJTA,1929-07-08,1929-10-04,1,24.2915
$DJTA,1929-07-08,1929-10-04,2,22.7435
$DJTA,1929-07-08,1929-10-04,3,32.0884
$DJTA,1929-07-08,1929-10-04,4,28.0519
$DJTA,1929-07-08,1929-10-04,5,40.2795
$DJTA,1929-07-08,1929-10-04,6,38.3422
$DJTA,1929-07-08,1929-10-04,7,40.1907
$DJTA,1929-07-08,1929-10-04,8,30.3355
$DJTA,1929-07-08,1929-10-04,9,18.8072
$DJTA,1929-07-08,1929-10-04,10,46.0705
$DJTA,1929-10-04,1930-01-09,0,28.5616
$DJTA,1929-10-04,1930-01-09,1,18.3577
$DJTA,1929-10-04,1930-01-09,2,27.0561
$DJTA,1929-10-04,1930-01-09,3,27.3804
$DJTA,1929-10-04,1930-01-09,4,26.6922
$DJTA,1929-10-04,1930-01-09,5,34.0819
$DJTA,1929-10-04,1930-01-09,6,30.2633
$DJTA,1929-10-04,1930-01-09,7,33.7265
$DJTA,1929-10-04,1930-01-09,8,34.8621
$DJTA,1929-10-04,1930-01-09,9,17.9864
$DJTA,1929-10-04,1930-01-09,10,37.2108
$DJTA,1930-01-09,1930-04-09,0,41.4698
$DJTA,1930-01-09,1930-04-09,1,39.8291
$DJTA,1930-01-09,1930-04-09,2,28.1293
$DJTA,1930-01-09,1930-04-09,3,34.6165
$DJTA,1930-01-09,1930-04-09,4,35.5488
$DJTA,1930-01-09,1930-04-09,5,38.1615
$DJTA,1930-01-09,1930-04-09,6,26.4635
$DJTA,1930-01-09,1930-04-09,7,26.6784
$DJTA,1930-01-09,1930-04-09,8,40.1953
$DJTA,1930-01-09,1930-04-09,9,36.1334
$DJTA,1930-01-09,1930-04-09,10,39.6698
$DJTA,1930-04-09,1930-07-10,0,30.8653
$DJTA,1930-04-09,1930-07-10,1,26.847
$DJTA,1930-04-09,1930-07-10,2,39.2364
$DJTA,1930-04-09,1930-07-10,3,24.2914
$DJTA,1930-04-09,1930-07-10,4,27.515
$DJTA,1930-04-09,1930-07-10,5,30.8172
$DJTA,1930-04-09,1930-07-10,6,34.9054
$DJTA,1930-04-09,1930-07-10,7,34.0094
$DJTA,1930-04-09,1930-07-10,8,36.7148
$DJTA,1930-04-09,1930-07-10,9,36.1902
$DJTA,1930-04-09,1930-07-10,10,27.1285
$DJTA,1930-07-10,1930-10-08,0,37.1386
$DJTA,1930-07-10,1930-10-08,1,24.9888
$DJTA,1930-07-10,1930-10-08,2,35.0084
$DJTA,1930-07-10,1930-10-08,3,28.134
$DJTA,1930-07-10,1930-10-08,4,33.1143
$DJTA,1930-07-10,1930-10-08,5,33.2129
$DJTA,1930-07-10,1930-10-08,6,19.8043
$DJTA,1930-07-10,1930-10-08,7,6.044
$DJTA,1930-07-10,1930-10-08,8,36.0655
$DJTA,1930-07-10,1930-10-08,9,36.0128
$DJTA,1930-07-10,1930-10-08,10,33.4855
$DJTA,1930-10-08,1931-01-10,0,27.7751
$DJTA,1930-10-08,1931-01-10,1,32.0604
$DJTA,1930-10-08,1931-01-10,2,35.1938
$DJTA,1930-10-08,1931-01-10,3,35.2736
$DJTA,1930-10-08,1931-01-10,4,33.3108
$DJTA,1930-10-08,1931-01-10,5,31.7191
$DJTA,1930-10-08,1931-01-10,6,37.0327
$DJTA,1930-10-08,1931-01-10,7,22.3368
$DJTA,1930-10-08,1931-01-10,8,15.7212
$DJTA,1930-10-08,1931-01-10,9,36.6996
$DJTA,1930-10-08,1931-01-10,10,29.7805
$DJTA,1931-01-12,1931-04-14,0,38.3894
$DJTA,1931-01-12,1931-04-14,1,38.8736
$DJTA,1931-01-12,1931-04-14,2,34.3555
$DJTA,1931-01-12,1931-04-14,3,23.5471
$DJTA,1931-01-12,1931-04-14,4,34.1411
$DJTA,1931-01-12,1931-04-14,5,19.3309
$DJTA,1931-01-12,1931-04-14,6,42.2115
$DJTA,1931-01-12,1931-04-14,7,34.1186
$DJTA,1931-01-12,1931-04-14,8,21.1906
$DJTA,1931-01-12,1931-04-14,9,29.5352
$DJTA,1931-01-12,1931-04-14,10,37.0316
$DJTA,1931-04-14,1931-07-10,0,38.0823
$DJTA,1931-04-14,1931-07-10,1,36.0121
$DJTA,1931-04-14,1931-07-10,2,35.2667
$DJTA,1931-04-14,1931-07-10,3,14.1897
$DJTA,1931-04-14,1931-07-10,4,21.2754
$DJTA,1931-04-14,1931-07-10,5,27.9831
$DJTA,1931-04-14,1931-07-10,6,33.0442
$DJTA,1931-04-14,1931-07-10,7,22.7993
$DJTA,1931-04-14,1931-07-10,8,17.8418
$DJTA,1931-04-14,1931-07-10,9,36.431
$DJTA,1931-04-14,1931-07-10,10,31.9368
$DJTA,1931-07-10,1931-10-08,0,33.1498
$DJTA,1931-07-10,1931-10-08,1,34.0026
$DJTA,1931-07-10,1931-10-08,2,26.5546
$DJTA,1931-07-10,1931-10-08,3,25.9184
$DJTA,1931-07-10,1931-10-08,4,22.7386
$DJTA,1931-07-10,1931-10-08,5,20.4848
$DJTA,1931-07-10,1931-10-08,6,20.128
$DJTA,1931-07-10,1931-10-08,7,26.7591
$DJTA,1931-07-10,1931-10-08,8,31.3376
$DJTA,1931-07-10,1931-10-08,9,25.916
$DJTA,1931-07-10,1931-10-08,10,11.6879
$DJTA,1931-10-08,1932-01-12,0,37.7759
$DJTA,1931-10-08,1932-01-12,1,23.6104
$DJTA,1931-10-08,1932-01-12,2,29.7625
$DJTA,1931-10-08,1932-01-12,3,32.6155
$DJTA,1931-10-08,1932-01-12,4,29.4088
$DJTA,1931-10-08,1932-01-12,5,24.8284
$DJTA,1931-10-08,1932-01-12,6,27.4392
$DJTA,1931-10-08,1932-01-12,7,41.6879
$DJTA,1931-10-08,1932-01-12,8,22.7611
$DJTA,1931-10-08,1932-01-12,9,32.2964
$DJTA,1931-10-08,1932-01-12,10,41.6974
$DJTA,1932-01-12,1932-04-13,0,23.6877
$DJTA,1932-01-12,1932-04-13,1,36.0383
$DJTA,1932-01-12,1932-04-13,2,30.3428
$DJTA,1932-01-12,1932-04-13,3,33.3887
$DJTA,1932-01-12,1932-04-13,4,13.6025
$DJTA,1932-01-12,1932-04-13,5,24.8977
$DJTA,1932-01-12,1932-04-13,6,32.145
$DJTA,1932-01-12,1932-04-13,7,33.0662
$DJTA,1932-01-12,1932-04-13,8,34.8301
$DJTA,1932-01-12,1932-04-13,9,31.9721
$DJTA,1932-01-12,1932-04-13,10,27.5646
$DJTA,1932-04-13,1932-07-13,0,43.2556
$DJTA,1932-04-13,1932-07-13,1,39.9686
$DJTA,1932-04-13,1932-07-13,2,28.8099
$DJTA,1932-04-13,1932-07-13,3,36.8416
$DJTA,1932-04-13,1932-07-13,4,40.8155
$DJTA,1932-04-13,1932-07-13,5,40.6137
$DJTA,1932-04-13,1932-07-13,6,8.6033
$DJTA,1932-04-13,1932-07-13,7,23.0767
$DJTA,1932-04-13,1932-07-13,8,37.8959
$DJTA,1932-04-13,1932-07-13,9,26.5458
$DJTA,1932-04-13,1932-07-13,10,37.0066
$DJTA,1932-07-13,1932-10-11,0,39.7241
$DJTA,1932-07-13,1932-10-11,1,33.975
$DJTA,1932-07-13,1932-10-11,2,23.6581
$DJTA,1932-07-13,1932-10-11,3,36.3483
$DJTA,1932-07-13,1932-10-11,4,35.462
$DJTA,1932-07-13,1932-10-11,5,33.8984
$DJTA,1932-07-13,1932-10-11,6,35.1134
$DJTA,1932-07-13,1932-10-11,7,33.3846
$DJTA,1932-07-13,1932-10-11,8,35.9725
$DJTA,1932-07-13,1932-10-11,9,22.7955
$DJTA,1932-07-13,1932-10-11,10,25.2257
$DJTA,1932-10-11,1933-01-13,0,39.1924
$DJTA,1932-10-11,1933-01-13,1,21.3425
$DJTA,1932-10-11,1933-01-13,2,27.0553
$DJTA,1932-10-11,1933-01-13,3,34.5025
$DJTA,1932-10-11,1933-01-13,4,30.6897
$DJTA,1932-10-11,1933-01-13,5,23.4984
$DJTA,1932-10-11,1933-01-13,6,39.0916
$DJTA,1932-10-11,1933-01-13,7,12.3107
$DJTA,1932-10-11,1933-01-13,8,23.2398
$DJTA,1932-10-11,1933-01-13,9,41.2644
$DJTA,1932-10-11,1933-01-13,10,31.2658
$DJTA,1933-01-13,1933-04-26,0,38.7688
$DJTA,1933-01-13,1933-04-26,1,27.9629
$DJTA,1933-01-13,1933-04-26,2,36.8114
$DJTA,1933-01-13,1933-04-26,3,38.2103
$DJTA,1933-01-13,1933-04-26,4,35.8176
$DJTA,1933-01-13,1933-04-26,5,29.6657
$DJTA,1933-01-13,1933-04-26,6,24.3322
$DJTA,1933-01-13,1933-04-26,7,29.7906
$DJTA,1933-01-13,1933-04-26,8,22.0238
$DJTA,1933-01-13,1933-04-26,9,32.1842
$DJTA,1933-01-13,1933-04-26,10,25.3498
$DJTA,1933-04-26,1933-07-26,0,43.7347
$DJTA,1933-04-26,1933-07-26,1,29.9324
$DJTA,1933-04-26,1933-07-26,2,30.0068
$DJTA,1933-04-26,1933-07-26,3,33.688
$DJTA,1933-04-26,1933-07-26,4,32.4191
$DJTA,1933-04-26,1933-07-26,5,36.4919
$DJTA,1933-04-26,1933-07-26,6,34.284
$DJTA,1933-04-26,1933-07-26,7,36.0971
$DJTA,1933-04-26,1933-07-26,8,43.2257
$DJTA,1933-04-26,1933-07-26,9,30.2549
$DJTA,1933-04-26,1933-07-26,10,30.898
$DJTA,1933-07-26,1933-10-25,0,43.0906
$DJTA,1933-07-26,1933-10-25,1,30.7845
$DJTA,1933-07-26,1933-10-25,2,26.2493
$DJTA,1933-07-26,1933-10-25,3,27.4928
$DJTA,1933-07-26,1933-10-25,4,30.2732
$DJTA,1933-07-26,1933-10-25,5,24.0353
$DJTA,1933-07-26,1933-10-25,6,29.5778
$DJTA,1933-07-26,1933-10-25,7,30.4844
$DJTA,1933-07-26,1933-10-25,8,32.6899
$DJTA,1933-07-26,1933-10-25,9,29.028
$DJTA,1933-07-26,1933-10-25,10,28.2427
$DJTA,1933-10-25,1934-01-26,0,33.7826
$DJTA,1933-10-25,1934-01-26,1,35.7551
$DJTA,1933-10-25,1934-01-26,2,33.4178
$DJTA,1933-10-25,1934-01-26,3,26.7191
$DJTA,1933-10-25,1934-01-26,4,29.8458
$DJTA,1933-10-25,1934-01-26,5,33.0888
$DJTA,1933-10-25,1934-01-26,6,38.178
$DJTA,1933-10-25,1934-01-26,7,21.8453
$DJTA,1933-10-25,1934-01-26,8,28.6871
$DJTA,1933-10-25,1934-01-26,9,29.4955
$DJTA,1933-10-25,1934-01-26,10,31.6359
$DJTA,1934-01-26,1934-04-28,0,20.4871
$DJTA,1934-01-26,1934-04-28,1,29.8747
$DJTA,1934-01-26,1934-04-28,2,35.2881
$DJTA,1934-01-26,1934-04-28,3,29.4356
$DJTA,1934-01-26,1934-04-28,4,29.8106
$DJTA,1934-01-26,1934-04-28,5,29.3021
$DJTA,1934-01-26,1934-04-28,6,31.4435
$DJTA,1934-01-26,1934-04-28,7,34.8558
$DJTA,1934-01-26,1934-04-28,8,29.176
$DJTA,1934-01-26,1934-04-28,9,25.3904
$DJTA,1934-01-26,1934-04-28,10,26.5145
$DJTA,1934-04-30,1934-07-28,0,27.5041
$DJTA,1934-04-30,1934-07-28,1,24.7769
$DJTA,1934-04-30,1934-07-28,2,23.3385
$DJTA,1934-04-30,1934-07-28,3,34.9913
$DJTA,1934-04-30,1934-07-28,4,33.3785
$DJTA,1934-04-30,1934-07-28,5,21.4577
$DJTA,1934-04-30,1934-07-28,6,24.3156
$DJTA,1934-04-30,1934-07-28,7,37.3505
$DJTA,1934-04-30,1934-07-28,8,32.9319
$DJTA,1934-04-30,1934-07-28,9,26.2608
$DJTA,1934-04-30,1934-07-28,10,32.736
$DJTA,1934-07-30,1934-10-27,0,38.652
$DJTA,1934-07-30,1934-10-27,1,33.176
$DJTA,1934-07-30,1934-10-27,2,32.3294
$DJTA,1934-07-30,1934-10-27,3,33.7359
$DJTA,1934-07-30,1934-10-27,4,39.4425
$DJTA,1934-07-30,1934-10-27,5,18.0743
$DJTA,1934-07-30,1934-10-27,6,42.2267
$DJTA,1934-07-30,1934-10-27,7,34.0911
$DJTA,1934-07-30,1934-10-27,8,30.1855
$DJTA,1934-07-30,1934-10-27,9,32.4618
$DJTA,1934-07-30,1934-10-27,10,16.2531
$DJTA,1934-10-29,1935-01-31,0,48.4536
$DJTA,1934-10-29,1935-01-31,1,41.5151
$DJTA,1934-10-29,1935-01-31,2,38.8706
$DJTA,1934-10-29,1935-01-31,3,33.6825
$DJTA,1934-10-29,1935-01-31,4,38.8411
$DJTA,1934-10-29,1935-01-31,5,40.5254
$DJTA,1934-10-29,1935-01-31,6,32.1249
$DJTA,1934-10-29,1935-01-31,7,30.5328
$DJTA,1934-10-29,1935-01-31,8,29.0378
$DJTA,1934-10-29,1935-01-31,9,26.193
$DJTA,1934-10-29,1935-01-31,10,33.2276
$DJTA,1935-01-31,1935-05-03,0,32.2195
$DJTA,1935-01-31,1935-05-03,1,38.0906
$DJTA,1935-01-31,1935-05-03,2,24.9453
$DJTA,1935-01-31,1935-05-03,3,22.3121
$DJTA,1935-01-31,1935-05-03,4,33.6374
$DJTA,1935-01-31,1935-05-03,5,37.2198
$DJTA,1935-01-31,1935-05-03,6,39.0345
