Symbol,Start,End,Permutation,Elliotticity
$DJTA,1928-10-02,1931-10-08,0,30.6781
$DJTA,1928-10-02,1931-10-08,1,26.0224
$DJTA,1928-10-02,1931-10-08,2,28.2033
$DJTA,1928-10-02,1931-10-08,3,21.2547
$DJTA,1928-10-02,1931-10-08,4,27.6097
$DJTA,1928-10-02,1931-10-08,5,23.2068
$DJTA,1928-10-02,1931-10-08,6,21.3696
$DJTA,1928-10-02,1931-10-08,7,22.6581
$DJTA,1928-10-02,1931-10-08,8,20.3266
$DJTA,1928-10-02,1931-10-08,9,23.8178
$DJTA,1928-10-02,1931-10-08,10,22.02
$DJTA,1931-10-08,1934-10-27,0,35.556
$DJTA,1931-10-08,1934-10-27,1,23.5431
$DJTA,1931-10-08,1934-10-27,2,21.8327
$DJTA,1931-10-08,1934-10-27,3,25.5383
$DJTA,1931-10-08,1934-10-27,4,25.7023
$DJTA,1931-10-08,1934-10-27,5,28.3999
$DJTA,1931-10-08,1934-10-27,6,28.0225
$DJTA,1931-10-08,1934-10-27,7,24.4053
$DJTA,1931-10-08,1934-10-27,8,26.721
$DJTA,1931-10-08,1934-10-27,9,25.8892
$DJTA,1931-10-08,1934-10-27,10,22.3374
$DJTA,1934-10-29,1937-11-05,0,26.4899
$DJTA,1934-10-29,1937-11-05,1,24.1779
$DJTA,1934-10-29,1937-11-05,2,27.8778
$DJTA,1934-10-29,1937-11-05,3,24.4475
$DJTA,1934-10-29,1937-11-05,4,30.492
$DJTA,1934-10-29,1937-11-05,5,27.545
$DJTA,1934-10-29,1937-11-05,6,28.6572
$DJTA,1934-10-29,1937-11-05,7,28.0144
$DJTA,1934-10-29,1937-11-05,8,28.3577
$DJTA,1934-10-29,1937-11-05,9,25.9063
$DJTA,1934-10-29,1937-11-05,10,30.3937
$DJTA,1937-11-05,1940-11-13,0,28.8647
$DJTA,1937-11-05,1940-11-13,1,20.8683
$DJTA,1937-11-05,1940-11-13,2,24.8904
$DJTA,1937-11-05,1940-11-13,3,33.947
$DJTA,1937-11-05,1940-11-13,4,19.8853
$DJTA,1937-11-05,1940-11-13,5,28.8862
$DJTA,1937-11-05,1940-11-13,6,24.4288
$DJTA,1937-11-05,1940-11-13,7,27.0861
$DJTA,1937-11-05,1940-11-13,8,28.187
$DJTA,1937-11-05,1940-11-13,9,29.8454
$DJTA,1937-11-05,1940-11-13,10,25.8785
$DJTA,1940-11-13,1943-11-23,0,37.4134
$DJTA,1940-11-13,1943-11-23,1,30.3588
$DJTA,1940-11-13,1943-11-23,2,28.0296
$DJTA,1940-11-13,1943-11-23,3,22.1293
$DJTA,1940-11-13,1943-11-23,4,31.6312
$DJTA,1940-11-13,1943-11-23,5,31.6833
$DJTA,1940-11-13,1943-11-23,6,30.9396
$DJTA,1940-11-13,1943-11-23,7,31.2128
$DJTA,1940-11-13,1943-11-23,8,27.9392
$DJTA,1940-11-13,1943-11-23,9,26.0875
$DJTA,1940-11-13,1943-11-23,10,28.3082
$DJTA,1943-11-23,1946-12-04,0,35.4538
$DJTA,1943-11-23,1946-12-04,1,29.1923
$DJTA,1943-11-23,1946-12-04,2,28.8788
$DJTA,1943-11-23,1946-12-04,3,26.8493
$DJTA,1943-11-23,1946-12-04,4,28.7462
$DJTA,1943-11-23,1946-12-04,5,31.3153
$DJTA,1943-11-23,1946-12-04,6,26.0203
$DJTA,1943-11-23,1946-12-04,7,27.979
$DJTA,1943-11-23,1946-12-04,8,30.6775
$DJTA,1943-11-23,1946-12-04,9,28.227
$DJTA,1943-11-23,1946-12-04,10,28.9394
$DJTA,1946-12-04,1949-12-10,0,34.9782
$DJTA,1946-12-04,1949-12-10,1,24.9986
$DJTA,1946-12-04,1949-12-10,2,31.8176
$DJTA,1946-12-04,1949-12-10,3,27.601
$DJTA,1946-12-04,1949-12-10,4,25.1216
$DJTA,1946-12-04,1949-12-10,5,27.9091
$DJTA,1946-12-04,1949-12-10,6,29.8609
$DJTA,1946-12-04,1949-12-10,7,24.3058
$DJTA,1946-12-04,1949-12-10,8,33.3812
$DJTA,1946-12-04,1949-12-10,9,25.9782
$DJTA,1946-12-04,1949-12-10,10,28.2834
$DJTA,1949-12-12,1952-12-23,0,36.3486
$DJTA,1949-12-12,1952-12-23,1,27.7523
$DJTA,1949-12-12,1952-12-23,2,19.339
$DJTA,1949-12-12,1952-12-23,3,28.4504
$DJTA,1949-12-12,1952-12-23,4,25.1378
$DJTA,1949-12-12,1952-12-23,5,24.6744
$DJTA,1949-12-12,1952-12-23,6,28.0313
$DJTA,1949-12-12,1952-12-23,7,26.4959
$DJTA,1949-12-12,1952-12-23,8,29.2477
$DJTA,1949-12-12,1952-12-23,9,32.1466
$DJTA,1949-12-12,1952-12-23,10,22.4185
$DJTA,1952-12-23,1955-12-23,0,35.2388
$DJTA,1952-12-23,1955-12-23,1,33.6565
$DJTA,1952-12-23,1955-12-23,2,24.397
$DJTA,1952-12-23,1955-12-23,3,34.7465
$DJTA,1952-12-23,1955-12-23,4,29.1635
$DJTA,1952-12-23,1955-12-23,5,30.1232
$DJTA,1952-12-23,1955-12-23,6,30.2877
$DJTA,1952-12-23,1955-12-23,7,28.8481
$DJTA,1952-12-23,1955-12-23,8,34.4094
$DJTA,1952-12-23,1955-12-23,9,24.7803
$DJTA,1952-12-23,1955-12-23,10,25.779
$DJTA,1955-12-23,1958-12-24,0,33.5685
$DJTA,1955-12-23,1958-12-24,1,22.1329
$DJTA,1955-12-23,1958-12-24,2,34.469
$DJTA,1955-12-23,1958-12-24,3,29.9373
$DJTA,1955-12-23,1958-12-24,4,22.6338
$DJTA,1955-12-23,1958-12-24,5,28.2663
$DJTA,1955-12-23,1958-12-24,6,27.21
$DJTA,1955-12-23,1958-12-24,7,25.1103
$DJTA,1955-12-23,1958-12-24,8,25.1827
$DJTA,1955-12-23,1958-12-24,9,22.4597
$DJTA,1955-12-23,1958-12-24,10,23.7511
$DJTA,1958-12-24,1961-12-27,0,33.9843
$DJTA,1958-12-24,1961-12-27,1,33.0123
$DJTA,1958-12-24,1961-12-27,2,26.8188
$DJTA,1958-12-24,1961-12-27,3,33.0117
$DJTA,1958-12-24,1961-12-27,4,25.2759
$DJTA,1958-12-24,1961-12-27,5,30.7361
$DJTA,1958-12-24,1961-12-27,6,24.5875
$DJTA,1958-12-24,1961-12-27,7,35.1821
$DJTA,1958-12-24,1961-12-27,8,31.3785
$DJTA,1958-12-24,1961-12-27,9,32.5597
$DJTA,1958-12-24,1961-12-27,10,33.8499
$DJTA,1961-12-27,1964-12-29,0,42.4274
$DJTA,1961-12-27,1964-12-29,1,29.4113
$DJTA,1961-12-27,1964-12-29,2,33.5651
$DJTA,1961-12-27,1964-12-29,3,32.6958
$DJTA,1961-12-27,1964-12-29,4,26.5761
$DJTA,1961-12-27,1964-12-29,5,23.2645
$DJTA,1961-12-27,1964-12-29,6,29.1985
$DJTA,1961-12-27,1964-12-29,7,28.9574
$DJTA,1961-12-27,1964-12-29,8,28.4735
$DJTA,1961-12-27,1964-12-29,9,33.3143
$DJTA,1961-12-27,1964-12-29,10,31.1037
$DJTA,1964-12-29,1967-12-28,0,42.0674
$DJTA,1964-12-29,1967-12-28,1,36.1718
$DJTA,1964-12-29,1967-12-28,2,35.2294
$DJTA,1964-12-29,1967-12-28,3,29.3704
$DJTA,1964-12-29,1967-12-28,4,29.1672
$DJTA,1964-12-29,1967-12-28,5,32.6836
$DJTA,1964-12-29,1967-12-28,6,24.7583
$DJTA,1964-12-29,1967-12-28,7,34.5182
$DJTA,1964-12-29,1967-12-28,8,30.9181
$DJTA,1964-12-29,1967-12-28,9,36.0813
$DJTA,1964-12-29,1967-12-28,10,30.9842
$DJTA,1967-12-28,1971-02-05,0,41.1371
$DJTA,1967-12-28,1971-02-05,1,33.7596
$DJTA,1967-12-28,1971-02-05,2,28.0072
$DJTA,1967-12-28,1971-02-05,3,26.7277
$DJTA,1967-12-28,1971-02-05,4,20.5294
$DJTA,1967-12-28,1971-02-05,5,26.2917
$DJTA,1967-12-28,1971-02-05,6,33.2833
$DJTA,1967-12-28,1971-02-05,7,31.9548
$DJTA,1967-12-28,1971-02-05,8,31.186
$DJTA,1967-12-28,1971-02-05,9,25.3831
$DJTA,1967-12-28,1971-02-05,10,25.5349
$DJTA,1971-02-05,1974-02-05,0,42.1215
$DJTA,1971-02-05,1974-02-05,1,24.335
$DJTA,1971-02-05,1974-02-05,2,29.3596
$DJTA,1971-02-05,1974-02-05,3,34.9144
$DJTA,1971-02-05,1974-02-05,4,34.7494
