Symbol,Start,End,Permutation,Elliotticity
$DX,1985-11-20,1986-02-21,0,24.2098
$DX,1985-11-20,1986-02-21,1,29.8024
$DX,1985-11-20,1986-02-21,2,42.2332
$DX,1985-11-20,1986-02-21,3,27.3181
$DX,1985-11-20,1986-02-21,4,34.7427
$DX,1985-11-20,1986-02-21,5,25.3071
$DX,1985-11-20,1986-02-21,6,30.7699
$DX,1985-11-20,1986-02-21,7,33.8689
$DX,1985-11-20,1986-02-21,8,36.0257
$DX,1985-11-20,1986-02-21,9,38.6598
$DX,1985-11-20,1986-02-21,10,37.6712
$DX,1986-02-21,1986-05-22,0,40.063
$DX,1986-02-21,1986-05-22,1,42.6897
$DX,1986-02-21,1986-05-22,2,36.0853
$DX,1986-02-21,1986-05-22,3,38.1465
$DX,1986-02-21,1986-05-22,4,24.182
$DX,1986-02-21,1986-05-22,5,30.3165
$DX,1986-02-21,1986-05-22,6,7.1184
$DX,1986-02-21,1986-05-22,7,39.6655
$DX,1986-02-21,1986-05-22,8,15.3116
$DX,1986-02-21,1986-05-22,9,31.9799
$DX,1986-02-21,1986-05-22,10,35.4661
$DX,1986-05-22,1986-08-22,0,40.0279
$DX,1986-05-22,1986-08-22,1,34.9014
$DX,1986-05-22,1986-08-22,2,25.3229
$DX,1986-05-22,1986-08-22,3,34.0388
$DX,1986-05-22,1986-08-22,4,33.6
$DX,1986-05-22,1986-08-22,5,30.2239
$DX,1986-05-22,1986-08-22,6,40.0081
$DX,1986-05-22,1986-08-22,7,27.8966
$DX,1986-05-22,1986-08-22,8,41.1254
$DX,1986-05-22,1986-08-22,9,31.7576
$DX,1986-05-22,1986-08-22,10,29.0516
$DX,1986-08-22,1986-11-20,0,36.7557
$DX,1986-08-22,1986-11-20,1,28.677
$DX,1986-08-22,1986-11-20,2,16.3461
$DX,1986-08-22,1986-11-20,3,37.3407
$DX,1986-08-22,1986-11-20,4,25.7339
$DX,1986-08-22,1986-11-20,5,15.3717
$DX,1986-08-22,1986-11-20,6,20.0023
$DX,1986-08-22,1986-11-20,7,31.1547
$DX,1986-08-22,1986-11-20,8,26.681
$DX,1986-08-22,1986-11-20,9,21.3878
$DX,1986-08-22,1986-11-20,10,23.3463
$DX,1986-11-20,1987-02-25,0,31.4001
$DX,1986-11-20,1987-02-25,1,24.6791
$DX,1986-11-20,1987-02-25,2,34.7051
$DX,1986-11-20,1987-02-25,3,36.8217
$DX,1986-11-20,1987-02-25,4,39.4666
$DX,1986-11-20,1987-02-25,5,8.2656
$DX,1986-11-20,1987-02-25,6,28.9587
$DX,1986-11-20,1987-02-25,7,38.6922
$DX,1986-11-20,1987-02-25,8,36.3479
$DX,1986-11-20,1987-02-25,9,25.2761
$DX,1986-11-20,1987-02-25,10,32.1674
$DX,1987-02-25,1987-05-27,0,27.1436
$DX,1987-02-25,1987-05-27,1,35.4784
$DX,1987-02-25,1987-05-27,2,26.6005
$DX,1987-02-25,1987-05-27,3,37.0681
$DX,1987-02-25,1987-05-27,4,38.5305
$DX,1987-02-25,1987-05-27,5,36.2337
$DX,1987-02-25,1987-05-27,6,27.5483
$DX,1987-02-25,1987-05-27,7,36.403
$DX,1987-02-25,1987-05-27,8,37.9633
$DX,1987-02-25,1987-05-27,9,30.0502
$DX,1987-02-25,1987-05-27,10,38.7284
$DX,1987-05-27,1987-08-25,0,35.9393
$DX,1987-05-27,1987-08-25,1,34.653
$DX,1987-05-27,1987-08-25,2,38.1726
$DX,1987-05-27,1987-08-25,3,30.8391
$DX,1987-05-27,1987-08-25,4,36.0378
$DX,1987-05-27,1987-08-25,5,29.6711
$DX,1987-05-27,1987-08-25,6,41.4283
$DX,1987-05-27,1987-08-25,7,23.7287
$DX,1987-05-27,1987-08-25,8,23.9015
$DX,1987-05-27,1987-08-25,9,39.2731
$DX,1987-05-27,1987-08-25,10,32.2955
$DX,1987-08-25,1987-11-21,0,31.2147
$DX,1987-08-25,1987-11-21,1,35.4309
$DX,1987-08-25,1987-11-21,2,30.512
$DX,1987-08-25,1987-11-21,3,37.5947
$DX,1987-08-25,1987-11-21,4,33.3491
$DX,1987-08-25,1987-11-21,5,41.2026
$DX,1987-08-25,1987-11-21,6,33.5934
$DX,1987-08-25,1987-11-21,7,30.4352
$DX,1987-08-25,1987-11-21,8,44.5033
$DX,1987-08-25,1987-11-21,9,22.0812
$DX,1987-08-25,1987-11-21,10,35.8836
$DX,1987-11-23,1988-02-24,0,35.7807
$DX,1987-11-23,1988-02-24,1,34.5188
$DX,1987-11-23,1988-02-24,2,27.04
$DX,1987-11-23,1988-02-24,3,39.3516
$DX,1987-11-23,1988-02-24,4,39.827
$DX,1987-11-23,1988-02-24,5,24.3263
$DX,1987-11-23,1988-02-24,6,34.8196
$DX,1987-11-23,1988-02-24,7,29.5877
$DX,1987-11-23,1988-02-24,8,41.0477
$DX,1987-11-23,1988-02-24,9,29.7453
$DX,1987-11-23,1988-02-24,10,34.79
$DX,1988-02-24,1988-05-24,0,34.2051
$DX,1988-02-24,1988-05-24,1,24.8703
$DX,1988-02-24,1988-05-24,2,27.8278
$DX,1988-02-24,1988-05-24,3,22.563
$DX,1988-02-24,1988-05-24,4,21.4564
$DX,1988-02-24,1988-05-24,5,34.9946
$DX,1988-02-24,1988-05-24,6,28.1741
$DX,1988-02-24,1988-05-24,7,16.9709
$DX,1988-02-24,1988-05-24,8,39.0364
$DX,1988-02-24,1988-05-24,9,36.0933
$DX,1988-02-24,1988-05-24,10,31.8016
$DX,1988-05-24,1988-08-23,0,36.9627
$DX,1988-05-24,1988-08-23,1,28.6742
$DX,1988-05-24,1988-08-23,2,39.373
$DX,1988-05-24,1988-08-23,3,36.9291
$DX,1988-05-24,1988-08-23,4,23.1961
$DX,1988-05-24,1988-08-23,5,26.4675
$DX,1988-05-24,1988-08-23,6,4.1162
$DX,1988-05-24,1988-08-23,7,35.3137
$DX,1988-05-24,1988-08-23,8,21.1953
$DX,1988-05-24,1988-08-23,9,37.2073
$DX,1988-05-24,1988-08-23,10,39.9628
$DX,1988-08-23,1988-11-19,0,34.9069
$DX,1988-08-23,1988-11-19,1,20.8378
$DX,1988-08-23,1988-11-19,2,33.5721
$DX,1988-08-23,1988-11-19,3,24.1752
$DX,1988-08-23,1988-11-19,4,19.7921
$DX,1988-08-23,1988-11-19,5,28.8054
$DX,1988-08-23,1988-11-19,6,32.9472
$DX,1988-08-23,1988-11-19,7,35.6012
$DX,1988-08-23,1988-11-19,8,32.6979
$DX,1988-08-23,1988-11-19,9,5.8863
$DX,1988-08-23,1988-11-19,10,26.7714
$DX,1988-11-21,1989-02-22,0,31.0971
$DX,1988-11-21,1989-02-22,1,32.3745
$DX,1988-11-21,1989-02-22,2,31.8763
$DX,1988-11-21,1989-02-22,3,30.4227
$DX,1988-11-21,1989-02-22,4,45.7812
$DX,1988-11-21,1989-02-22,5,41.0308
$DX,1988-11-21,1989-02-22,6,25.2894
$DX,1988-11-21,1989-02-22,7,16.8717
$DX,1988-11-21,1989-02-22,8,34.1248
