Symbol,Start,End,Permutation,Elliotticity
$DX,1985-11-20,1988-11-19,0,35.4793
$DX,1985-11-20,1988-11-19,1,26.6832
$DX,1985-11-20,1988-11-19,2,32.6416
$DX,1985-11-20,1988-11-19,3,23.388
$DX,1985-11-20,1988-11-19,4,28.5383
$DX,1985-11-20,1988-11-19,5,31.2017
$DX,1985-11-20,1988-11-19,6,27.6324
$DX,1985-11-20,1988-11-19,7,29.8502
$DX,1985-11-20,1988-11-19,8,30.3904
$DX,1985-11-20,1988-11-19,9,25.9871
$DX,1985-11-20,1988-11-19,10,23.896
$DX,1988-11-21,1991-11-16,0,37.1795
$DX,1988-11-21,1991-11-16,1,27.4254
$DX,1988-11-21,1991-11-16,2,27.783
$DX,1988-11-21,1991-11-16,3,27.0092
$DX,1988-11-21,1991-11-16,4,25.3767
$DX,1988-11-21,1991-11-16,5,32.1263
$DX,1988-11-21,1991-11-16,6,29.6506
$DX,1988-11-21,1991-11-16,7,17.1509
$DX,1988-11-21,1991-11-16,8,23.9695
$DX,1988-11-21,1991-11-16,9,18.7561
$DX,1988-11-21,1991-11-16,10,18.871
$DX,1991-11-18,1994-11-11,0,36.9797
$DX,1991-11-18,1994-11-11,1,25.1395
$DX,1991-11-18,1994-11-11,2,28.4073
$DX,1991-11-18,1994-11-11,3,25.6365
$DX,1991-11-18,1994-11-11,4,27.472
$DX,1991-11-18,1994-11-11,5,30.6919
$DX,1991-11-18,1994-11-11,6,21.3519
$DX,1991-11-18,1994-11-11,7,26.6145
$DX,1991-11-18,1994-11-11,8,26.0776
$DX,1991-11-18,1994-11-11,9,26.9847
$DX,1991-11-18,1994-11-11,10,30.7869
$DX,1994-11-11,1997-11-06,0,33.8752
$DX,1994-11-11,1997-11-06,1,23.3096
$DX,1994-11-11,1997-11-06,2,25.2661
$DX,1994-11-11,1997-11-06,3,24.8065
$DX,1994-11-11,1997-11-06,4,17.15
$DX,1994-11-11,1997-11-06,5,32.3558
$DX,1994-11-11,1997-11-06,6,17.2813
$DX,1994-11-11,1997-11-06,7,22.7707
$DX,1994-11-11,1997-11-06,8,31.3021
$DX,1994-11-11,1997-11-06,9,26.9564
$DX,1994-11-11,1997-11-06,10,29.854
$DX,1997-11-06,2000-11-02,0,40.6172
$DX,1997-11-06,2000-11-02,1,28.389
$DX,1997-11-06,2000-11-02,2,29.983
$DX,1997-11-06,2000-11-02,3,23.2944
$DX,1997-11-06,2000-11-02,4,26.8406
$DX,1997-11-06,2000-11-02,5,27.8241
$DX,1997-11-06,2000-11-02,6,32.6387
$DX,1997-11-06,2000-11-02,7,27.7153
$DX,1997-11-06,2000-11-02,8,29.7553
$DX,1997-11-06,2000-11-02,9,22.4765
$DX,1997-11-06,2000-11-02,10,31.2411
$DX,2000-11-02,2003-10-22,0,41.1904
$DX,2000-11-02,2003-10-22,1,32.4193
$DX,2000-11-02,2003-10-22,2,29.035
$DX,2000-11-02,2003-10-22,3,28.8413
$DX,2000-11-02,2003-10-22,4,32.9688
$DX,2000-11-02,2003-10-22,5,27.6443
$DX,2000-11-02,2003-10-22,6,28.0455
$DX,2000-11-02,2003-10-22,7,23.6789
$DX,2000-11-02,2003-10-22,8,17.0435
$DX,2000-11-02,2003-10-22,9,30.9148
$DX,2000-11-02,2003-10-22,10,25.4029
$DX,2003-10-22,2006-10-17,0,38.006
$DX,2003-10-22,2006-10-17,1,28.6276
$DX,2003-10-22,2006-10-17,2,27.2682
$DX,2003-10-22,2006-10-17,3,26.6316
$DX,2003-10-22,2006-10-17,4,34.1172
$DX,2003-10-22,2006-10-17,5,28.3985
$DX,2003-10-22,2006-10-17,6,26.355
$DX,2003-10-22,2006-10-17,7,29.9182
$DX,2003-10-22,2006-10-17,8,29.8747
$DX,2003-10-22,2006-10-17,9,29.0763
$DX,2003-10-22,2006-10-17,10,22.4509
$DX,2006-10-17,2009-10-08,0,37.6711
$DX,2006-10-17,2009-10-08,1,28.1833
$DX,2006-10-17,2009-10-08,2,24.0963
$DX,2006-10-17,2009-10-08,3,27.697
$DX,2006-10-17,2009-10-08,4,24.9519
$DX,2006-10-17,2009-10-08,5,28.6361
$DX,2006-10-17,2009-10-08,6,33.5563
$DX,2006-10-17,2009-10-08,7,27.8563
$DX,2006-10-17,2009-10-08,8,21.906
$DX,2006-10-17,2009-10-08,9,24.9079
$DX,2006-10-17,2009-10-08,10,28.0316
$DX,2009-10-08,2012-09-06,0,32.6049
$DX,2009-10-08,2012-09-06,1,24.4616
$DX,2009-10-08,2012-09-06,2,24.7841
$DX,2009-10-08,2012-09-06,3,25.7866
$DX,2009-10-08,2012-09-06,4,28.1214
$DX,2009-10-08,2012-09-06,5,32.2686
$DX,2009-10-08,2012-09-06,6,25.5494
$DX,2009-10-08,2012-09-06,7,21.9801
$DX,2009-10-08,2012-09-06,8,26.4979
$DX,2009-10-08,2012-09-06,9,31.1044
$DX,2009-10-08,2012-09-06,10,27.7535
$DX,2012-09-06,2015-08-08,0,16.5177
$DX,2012-09-06,2015-08-08,1,24.2353
$DX,2012-09-06,2015-08-08,2,27.0133
$DX,2012-09-06,2015-08-08,3,20.1809
$DX,2012-09-06,2015-08-08,4,28.7849
$DX,2012-09-06,2015-08-08,5,25.6786
$DX,2012-09-06,2015-08-08,6,29.8034
$DX,2012-09-06,2015-08-08,7,27.6097
$DX,2012-09-06,2015-08-08,8,26.9738
$DX,2012-09-06,2015-08-08,9,28.2889
$DX,2012-09-06,2015-08-08,10,16.9437
$DX,2015-08-10,2018-07-06,0,37.9637
$DX,2015-08-10,2018-07-06,1,18.8726
$DX,2015-08-10,2018-07-06,2,23.2296
$DX,2015-08-10,2018-07-06,3,26.4401
$DX,2015-08-10,2018-07-06,4,27.2202
$DX,2015-08-10,2018-07-06,5,25.0181
$DX,2015-08-10,2018-07-06,6,21.4313
$DX,2015-08-10,2018-07-06,7,25.2793
$DX,2015-08-10,2018-07-06,8,23.4823
$DX,2015-08-10,2018-07-06,9,21.8915
$DX,2015-08-10,2018-07-06,10,26.5336
$DX,2018-07-06,2021-05-29,0,39.4924
$DX,2018-07-06,2021-05-29,1,9.9836
$DX,2018-07-06,2021-05-29,2,25.7746
$DX,2018-07-06,2021-05-29,3,31.2659
$DX,2018-07-06,2021-05-29,4,22.4143
$DX,2018-07-06,2021-05-29,5,23.0746
$DX,2018-07-06,2021-05-29,6,30.043
$DX,2018-07-06,2021-05-29,7,25.9154
$DX,2018-07-06,2021-05-29,8,28.3569
$DX,2018-07-06,2021-05-29,9,25.8473
$DX,2018-07-06,2021-05-29,10,25.855
