Symbol,Start,End,Permutation,Elliotticity
GOLDS_DAILY,1992-08-18,1993-02-13,0,24.4649
GOLDS_DAILY,1992-08-18,1993-02-13,1,28.6133
GOLDS_DAILY,1992-08-18,1993-02-13,2,30.7687
GOLDS_DAILY,1992-08-18,1993-02-13,3,30.5818
GOLDS_DAILY,1992-08-18,1993-02-13,4,17.8928
GOLDS_DAILY,1992-08-18,1993-02-13,5,29.4493
GOLDS_DAILY,1992-08-18,1993-02-13,6,19.973
GOLDS_DAILY,1992-08-18,1993-02-13,7,32.5152
GOLDS_DAILY,1992-08-18,1993-02-13,8,33.7209
GOLDS_DAILY,1992-08-18,1993-02-13,9,34.8924
GOLDS_DAILY,1992-08-18,1993-02-13,10,9.1819
GOLDS_DAILY,1993-02-15,1993-08-12,0,36.0938
GOLDS_DAILY,1993-02-15,1993-08-12,1,23.0643
GOLDS_DAILY,1993-02-15,1993-08-12,2,15.7567
GOLDS_DAILY,1993-02-15,1993-08-12,3,36.1998
GOLDS_DAILY,1993-02-15,1993-08-12,4,17.4527
GOLDS_DAILY,1993-02-15,1993-08-12,5,27.0841
GOLDS_DAILY,1993-02-15,1993-08-12,6,26.0354
GOLDS_DAILY,1993-02-15,1993-08-12,7,27.2699
GOLDS_DAILY,1993-02-15,1993-08-12,8,31.3446
GOLDS_DAILY,1993-02-15,1993-08-12,9,25.7651
GOLDS_DAILY,1993-02-15,1993-08-12,10,20.9577
GOLDS_DAILY,1993-08-12,1994-02-04,0,40.1692
GOLDS_DAILY,1993-08-12,1994-02-04,1,27.071
GOLDS_DAILY,1993-08-12,1994-02-04,2,34.9119
GOLDS_DAILY,1993-08-12,1994-02-04,3,33.4253
GOLDS_DAILY,1993-08-12,1994-02-04,4,24.7174
GOLDS_DAILY,1993-08-12,1994-02-04,5,29.819
GOLDS_DAILY,1993-08-12,1994-02-04,6,29.7155
GOLDS_DAILY,1993-08-12,1994-02-04,7,29.0763
GOLDS_DAILY,1993-08-12,1994-02-04,8,18.8388
GOLDS_DAILY,1993-08-12,1994-02-04,9,34.0351
GOLDS_DAILY,1993-08-12,1994-02-04,10,20.9145
GOLDS_DAILY,1994-02-04,1994-07-30,0,29.5068
GOLDS_DAILY,1994-02-04,1994-07-30,1,20.6796
GOLDS_DAILY,1994-02-04,1994-07-30,2,31.3487
GOLDS_DAILY,1994-02-04,1994-07-30,3,27.1019
GOLDS_DAILY,1994-02-04,1994-07-30,4,35.943
GOLDS_DAILY,1994-02-04,1994-07-30,5,32.1335
GOLDS_DAILY,1994-02-04,1994-07-30,6,30.3503
GOLDS_DAILY,1994-02-04,1994-07-30,7,33.3155
GOLDS_DAILY,1994-02-04,1994-07-30,8,29.9636
GOLDS_DAILY,1994-02-04,1994-07-30,9,20.5036
GOLDS_DAILY,1994-02-04,1994-07-30,10,26.667
GOLDS_DAILY,1994-08-01,1995-01-24,0,31.1801
GOLDS_DAILY,1994-08-01,1995-01-24,1,34.8022
GOLDS_DAILY,1994-08-01,1995-01-24,2,31.1353
GOLDS_DAILY,1994-08-01,1995-01-24,3,19.0285
GOLDS_DAILY,1994-08-01,1995-01-24,4,18.6852
GOLDS_DAILY,1994-08-01,1995-01-24,5,34.0883
GOLDS_DAILY,1994-08-01,1995-01-24,6,3.6654
GOLDS_DAILY,1994-08-01,1995-01-24,7,35.7022
GOLDS_DAILY,1994-08-01,1995-01-24,8,28.0165
GOLDS_DAILY,1994-08-01,1995-01-24,9,37.8928
GOLDS_DAILY,1994-08-01,1995-01-24,10,22.8567
GOLDS_DAILY,1995-01-24,1995-07-19,0,35.2343
GOLDS_DAILY,1995-01-24,1995-07-19,1,29.3041
GOLDS_DAILY,1995-01-24,1995-07-19,2,42.2169
GOLDS_DAILY,1995-01-24,1995-07-19,3,26.8009
GOLDS_DAILY,1995-01-24,1995-07-19,4,30.1272
GOLDS_DAILY,1995-01-24,1995-07-19,5,23.7264
GOLDS_DAILY,1995-01-24,1995-07-19,6,34.6472
GOLDS_DAILY,1995-01-24,1995-07-19,7,22.6145
GOLDS_DAILY,1995-01-24,1995-07-19,8,33.0538
