Symbol,Start,End,Permutation,Elliotticity
$NDX,1985-10-01,1985-12-31,0,35.4673
$NDX,1985-10-01,1985-12-31,1,40.2056
$NDX,1985-10-01,1985-12-31,2,25.7925
$NDX,1985-10-01,1985-12-31,3,15.0312
$NDX,1985-10-01,1985-12-31,4,20.9787
$NDX,1985-10-01,1985-12-31,5,28.087
$NDX,1985-10-01,1985-12-31,6,22.2662
$NDX,1985-10-01,1985-12-31,7,25.0527
$NDX,1985-10-01,1985-12-31,8,30.0202
$NDX,1985-10-01,1985-12-31,9,33.8015
$NDX,1985-10-01,1985-12-31,10,26.7686
$NDX,1985-12-31,1986-04-02,0,32.2107
$NDX,1985-12-31,1986-04-02,1,34.3756
$NDX,1985-12-31,1986-04-02,2,32.3601
$NDX,1985-12-31,1986-04-02,3,23.8968
$NDX,1985-12-31,1986-04-02,4,24.7989
$NDX,1985-12-31,1986-04-02,5,33.141
$NDX,1985-12-31,1986-04-02,6,38.9932
$NDX,1985-12-31,1986-04-02,7,28.6648
$NDX,1985-12-31,1986-04-02,8,31.7302
$NDX,1985-12-31,1986-04-02,9,29.1901
$NDX,1985-12-31,1986-04-02,10,25.0684
$NDX,1986-04-02,1986-07-01,0,30.4941
$NDX,1986-04-02,1986-07-01,1,43.7704
$NDX,1986-04-02,1986-07-01,2,39.7048
$NDX,1986-04-02,1986-07-01,3,28.304
$NDX,1986-04-02,1986-07-01,4,34.4901
$NDX,1986-04-02,1986-07-01,5,32.6974
$NDX,1986-04-02,1986-07-01,6,38.2412
$NDX,1986-04-02,1986-07-01,7,37.2417
$NDX,1986-04-02,1986-07-01,8,31.7202
$NDX,1986-04-02,1986-07-01,9,26.1697
$NDX,1986-04-02,1986-07-01,10,22.7353
$NDX,1986-07-01,1986-09-30,0,22.1428
$NDX,1986-07-01,1986-09-30,1,25.5386
$NDX,1986-07-01,1986-09-30,2,27.7103
$NDX,1986-07-01,1986-09-30,3,33.4229
$NDX,1986-07-01,1986-09-30,4,29.9565
$NDX,1986-07-01,1986-09-30,5,16.4662
$NDX,1986-07-01,1986-09-30,6,21.5466
$NDX,1986-07-01,1986-09-30,7,26.8944
$NDX,1986-07-01,1986-09-30,8,25.4309
$NDX,1986-07-01,1986-09-30,9,27.826
$NDX,1986-07-01,1986-09-30,10,25.0846
$NDX,1986-09-30,1986-12-30,0,29.4547
$NDX,1986-09-30,1986-12-30,1,27.7218
$NDX,1986-09-30,1986-12-30,2,28.6741
$NDX,1986-09-30,1986-12-30,3,33.0218
$NDX,1986-09-30,1986-12-30,4,41.648
$NDX,1986-09-30,1986-12-30,5,37.0727
$NDX,1986-09-30,1986-12-30,6,41.5635
$NDX,1986-09-30,1986-12-30,7,30.9652
$NDX,1986-09-30,1986-12-30,8,30.7328
$NDX,1986-09-30,1986-12-30,9,33.8837
$NDX,1986-09-30,1986-12-30,10,36.0859
$NDX,1986-12-30,1987-03-31,0,18.8561
$NDX,1986-12-30,1987-03-31,1,18.552
$NDX,1986-12-30,1987-03-31,2,34.4468
$NDX,1986-12-30,1987-03-31,3,10.8851
$NDX,1986-12-30,1987-03-31,4,29.1776
$NDX,1986-12-30,1987-03-31,5,35.8989
$NDX,1986-12-30,1987-03-31,6,20.0274
$NDX,1986-12-30,1987-03-31,7,25.6963
$NDX,1986-12-30,1987-03-31,8,25.8719
$NDX,1986-12-30,1987-03-31,9,35.4395
$NDX,1986-12-30,1987-03-31,10,24.7078
$NDX,1987-03-31,1987-06-30,0,27.6346
$NDX,1987-03-31,1987-06-30,1,28.0071
$NDX,1987-03-31,1987-06-30,2,19.7323
$NDX,1987-03-31,1987-06-30,3,20.5235
$NDX,1987-03-31,1987-06-30,4,23.4141
$NDX,1987-03-31,1987-06-30,5,29.4951
$NDX,1987-03-31,1987-06-30,6,28.1251
$NDX,1987-03-31,1987-06-30,7,7.2632
$NDX,1987-03-31,1987-06-30,8,22.4371
$NDX,1987-03-31,1987-06-30,9,21.4994
$NDX,1987-03-31,1987-06-30,10,19.8974
$NDX,1987-06-30,1987-09-29,0,35.0965
$NDX,1987-06-30,1987-09-29,1,29.4709
$NDX,1987-06-30,1987-09-29,2,22.023
$NDX,1987-06-30,1987-09-29,3,21.5991
$NDX,1987-06-30,1987-09-29,4,19.2433
$NDX,1987-06-30,1987-09-29,5,30.466
$NDX,1987-06-30,1987-09-29,6,30.5604
$NDX,1987-06-30,1987-09-29,7,28.6165
$NDX,1987-06-30,1987-09-29,8,17.7358
$NDX,1987-06-30,1987-09-29,9,10.4175
$NDX,1987-06-30,1987-09-29,10,26.1096
$NDX,1987-09-29,1987-12-29,0,19.5277
$NDX,1987-09-29,1987-12-29,1,18.2186
$NDX,1987-09-29,1987-12-29,2,24.2008
$NDX,1987-09-29,1987-12-29,3,10.8227
$NDX,1987-09-29,1987-12-29,4,22.5329
$NDX,1987-09-29,1987-12-29,5,7.9569
$NDX,1987-09-29,1987-12-29,6,27.0982
$NDX,1987-09-29,1987-12-29,7,28.05
$NDX,1987-09-29,1987-12-29,8,19.9566
$NDX,1987-09-29,1987-12-29,9,25.6896
$NDX,1987-09-29,1987-12-29,10,29.8006
$NDX,1987-12-29,1988-03-29,0,34.3774
$NDX,1987-12-29,1988-03-29,1,27.062
$NDX,1987-12-29,1988-03-29,2,18.6421
$NDX,1987-12-29,1988-03-29,3,34.8686
$NDX,1987-12-29,1988-03-29,4,37.9999
$NDX,1987-12-29,1988-03-29,5,26.353
$NDX,1987-12-29,1988-03-29,6,23.0503
$NDX,1987-12-29,1988-03-29,7,32.8796
$NDX,1987-12-29,1988-03-29,8,26.9644
$NDX,1987-12-29,1988-03-29,9,8.9585
$NDX,1987-12-29,1988-03-29,10,29.0041
$NDX,1988-03-29,1988-06-28,0,43.0794
$NDX,1988-03-29,1988-06-28,1,30.9243
$NDX,1988-03-29,1988-06-28,2,35.4692
$NDX,1988-03-29,1988-06-28,3,29.3472
$NDX,1988-03-29,1988-06-28,4,26.5892
$NDX,1988-03-29,1988-06-28,5,22.3208
$NDX,1988-03-29,1988-06-28,6,22.5382
$NDX,1988-03-29,1988-06-28,7,30.7991
$NDX,1988-03-29,1988-06-28,8,15.5645
$NDX,1988-03-29,1988-06-28,9,30.9241
$NDX,1988-03-29,1988-06-28,10,29.5186
$NDX,1988-06-28,1988-09-27,0,38.2965
$NDX,1988-06-28,1988-09-27,1,52.2849
$NDX,1988-06-28,1988-09-27,2,16.903
$NDX,1988-06-28,1988-09-27,3,22.3194
$NDX,1988-06-28,1988-09-27,4,35.3223
$NDX,1988-06-28,1988-09-27,5,21.9343
$NDX,1988-06-28,1988-09-27,6,22.3107
$NDX,1988-06-28,1988-09-27,7,23.3418
$NDX,1988-06-28,1988-09-27,8,31.2664
$NDX,1988-06-28,1988-09-27,9,35.8251
$NDX,1988-06-28,1988-09-27,10,33.4784
$NDX,1988-09-27,1988-12-24,0,36.8046
$NDX,1988-09-27,1988-12-24,1,30.5187
$NDX,1988-09-27,1988-12-24,2,30.6554
$NDX,1988-09-27,1988-12-24,3,29.3458
$NDX,1988-09-27,1988-12-24,4,19.4566
$NDX,1988-09-27,1988-12-24,5,35.153
$NDX,1988-09-27,1988-12-24,6,32.5497
$NDX,1988-09-27,1988-12-24,7,16.1733
$NDX,1988-09-27,1988-12-24,8,27.9109
$NDX,1988-09-27,1988-12-24,9,35.2406
$NDX,1988-09-27,1988-12-24,10,38.5253
$NDX,1988-12-27,1989-03-29,0,34.9047
$NDX,1988-12-27,1989-03-29,1,31.3804
$NDX,1988-12-27,1989-03-29,2,36.9199
$NDX,1988-12-27,1989-03-29,3,26.7206
$NDX,1988-12-27,1989-03-29,4,25.5549
$NDX,1988-12-27,1989-03-29,5,25.9896
$NDX,1988-12-27,1989-03-29,6,20.4812
$NDX,1988-12-27,1989-03-29,7,33.2109
$NDX,1988-12-27,1989-03-29,8,22.6269
$NDX,1988-12-27,1989-03-29,9,36.8673
$NDX,1988-12-27,1989-03-29,10,33.0109
$NDX,1989-03-29,1989-06-27,0,32.2793
$NDX,1989-03-29,1989-06-27,1,34.2383
