Symbol,Start,End,Permutation,Elliotticity
$NDX,1985-10-01,1986-09-30,0,26.7823
$NDX,1985-10-01,1986-09-30,1,29.1622
$NDX,1985-10-01,1986-09-30,2,28.3007
$NDX,1985-10-01,1986-09-30,3,29.5906
$NDX,1985-10-01,1986-09-30,4,32.4654
$NDX,1985-10-01,1986-09-30,5,27.6974
$NDX,1985-10-01,1986-09-30,6,28.9421
$NDX,1985-10-01,1986-09-30,7,29.0057
$NDX,1985-10-01,1986-09-30,8,17.0731
$NDX,1985-10-01,1986-09-30,9,31.7666
$NDX,1985-10-01,1986-09-30,10,27.9682
$NDX,1986-09-30,1987-09-29,0,27.7226
$NDX,1986-09-30,1987-09-29,1,28.6995
$NDX,1986-09-30,1987-09-29,2,19.8304
$NDX,1986-09-30,1987-09-29,3,29.8245
$NDX,1986-09-30,1987-09-29,4,29.0631
$NDX,1986-09-30,1987-09-29,5,22.4638
$NDX,1986-09-30,1987-09-29,6,26.1
$NDX,1986-09-30,1987-09-29,7,26.3384
$NDX,1986-09-30,1987-09-29,8,26.0418
$NDX,1986-09-30,1987-09-29,9,23.8761
$NDX,1986-09-30,1987-09-29,10,24.4536
$NDX,1987-09-29,1988-09-27,0,25.5974
$NDX,1987-09-29,1988-09-27,1,17.7753
$NDX,1987-09-29,1988-09-27,2,26.0695
$NDX,1987-09-29,1988-09-27,3,12.6785
$NDX,1987-09-29,1988-09-27,4,23.34
$NDX,1987-09-29,1988-09-27,5,15.1185
$NDX,1987-09-29,1988-09-27,6,25.9582
$NDX,1987-09-29,1988-09-27,7,27.0423
$NDX,1987-09-29,1988-09-27,8,29.3264
$NDX,1987-09-29,1988-09-27,9,20.2429
$NDX,1987-09-29,1988-09-27,10,22.2813
$NDX,1988-09-27,1989-09-26,0,30.1661
$NDX,1988-09-27,1989-09-26,1,29.4503
$NDX,1988-09-27,1989-09-26,2,30.2608
$NDX,1988-09-27,1989-09-26,3,30.4259
$NDX,1988-09-27,1989-09-26,4,33.0735
$NDX,1988-09-27,1989-09-26,5,34.1388
$NDX,1988-09-27,1989-09-26,6,29.6917
$NDX,1988-09-27,1989-09-26,7,25.2475
