Symbol,Start,End,Permutation,Elliotticity
$RUT,1998-07-13,1999-01-13,0,16.5502
$RUT,1998-07-13,1999-01-13,1,19.5531
$RUT,1998-07-13,1999-01-13,2,35.4415
$RUT,1998-07-13,1999-01-13,3,23.5159
$RUT,1998-07-13,1999-01-13,4,22.2558
$RUT,1998-07-13,1999-01-13,5,28.2301
$RUT,1998-07-13,1999-01-13,6,22.5635
$RUT,1998-07-13,1999-01-13,7,29.9966
$RUT,1998-07-13,1999-01-13,8,32.1334
$RUT,1998-07-13,1999-01-13,9,26.4936
$RUT,1998-07-13,1999-01-13,10,27.436
$RUT,1999-01-13,1999-07-15,0,30.5103
$RUT,1999-01-13,1999-07-15,1,34.7182
$RUT,1999-01-13,1999-07-15,2,33.7609
$RUT,1999-01-13,1999-07-15,3,24.1189
$RUT,1999-01-13,1999-07-15,4,18.4001
$RUT,1999-01-13,1999-07-15,5,14.966
$RUT,1999-01-13,1999-07-15,6,25.8376
$RUT,1999-01-13,1999-07-15,7,24.7471
$RUT,1999-01-13,1999-07-15,8,27.4419
$RUT,1999-01-13,1999-07-15,9,12.0688
$RUT,1999-01-13,1999-07-15,10,36.5001
$RUT,1999-07-15,2000-01-12,0,31.7201
$RUT,1999-07-15,2000-01-12,1,24.0883
$RUT,1999-07-15,2000-01-12,2,28.5435
$RUT,1999-07-15,2000-01-12,3,20.5119
$RUT,1999-07-15,2000-01-12,4,28.5058
$RUT,1999-07-15,2000-01-12,5,11.219
$RUT,1999-07-15,2000-01-12,6,38.9003
$RUT,1999-07-15,2000-01-12,7,26.4237
$RUT,1999-07-15,2000-01-12,8,18.6816
$RUT,1999-07-15,2000-01-12,9,26.42
$RUT,1999-07-15,2000-01-12,10,24.1669
$RUT,2000-01-12,2000-07-13,0,25.0156
$RUT,2000-01-12,2000-07-13,1,35.6801
$RUT,2000-01-12,2000-07-13,2,34.1601
$RUT,2000-01-12,2000-07-13,3,28.6409
$RUT,2000-01-12,2000-07-13,4,27.9311
$RUT,2000-01-12,2000-07-13,5,18.5768
$RUT,2000-01-12,2000-07-13,6,37.1592
$RUT,2000-01-12,2000-07-13,7,31.7633
$RUT,2000-01-12,2000-07-13,8,26.7592
$RUT,2000-01-12,2000-07-13,9,28.1178
$RUT,2000-01-12,2000-07-13,10,27.8508
$RUT,2000-07-13,2001-01-12,0,28.9001
$RUT,2000-07-13,2001-01-12,1,29.6044
$RUT,2000-07-13,2001-01-12,2,30.2582
$RUT,2000-07-13,2001-01-12,3,18.1887
$RUT,2000-07-13,2001-01-12,4,28.6406
$RUT,2000-07-13,2001-01-12,5,17.8903
$RUT,2000-07-13,2001-01-12,6,23.1974
$RUT,2000-07-13,2001-01-12,7,20.8381
$RUT,2000-07-13,2001-01-12,8,32.816
$RUT,2000-07-13,2001-01-12,9,30.752
$RUT,2000-07-13,2001-01-12,10,13.011
$RUT,2001-01-12,2001-07-14,0,31.8601
$RUT,2001-01-12,2001-07-14,1,24.4809
$RUT,2001-01-12,2001-07-14,2,25.0781
$RUT,2001-01-12,2001-07-14,3,30.58
$RUT,2001-01-12,2001-07-14,4,29.5476
$RUT,2001-01-12,2001-07-14,5,25.1428
$RUT,2001-01-12,2001-07-14,6,25.749
$RUT,2001-01-12,2001-07-14,7,34.8876
$RUT,2001-01-12,2001-07-14,8,20.2395
$RUT,2001-01-12,2001-07-14,9,22.2364
$RUT,2001-01-12,2001-07-14,10,31.3948
$RUT,2001-07-16,2002-01-18,0,36.1659
$RUT,2001-07-16,2002-01-18,1,29.347
$RUT,2001-07-16,2002-01-18,2,25.4887
$RUT,2001-07-16,2002-01-18,3,32.7315
$RUT,2001-07-16,2002-01-18,4,31.7994
$RUT,2001-07-16,2002-01-18,5,18.4088
$RUT,2001-07-16,2002-01-18,6,37.3853
$RUT,2001-07-16,2002-01-18,7,35.9978
$RUT,2001-07-16,2002-01-18,8,36.3052
$RUT,2001-07-16,2002-01-18,9,32.4911
$RUT,2001-07-16,2002-01-18,10,32.3182
$RUT,2002-01-18,2002-07-20,0,40.6881
$RUT,2002-01-18,2002-07-20,1,23.2583
$RUT,2002-01-18,2002-07-20,2,18.6383
$RUT,2002-01-18,2002-07-20,3,33.3819
$RUT,2002-01-18,2002-07-20,4,24.2122
$RUT,2002-01-18,2002-07-20,5,28.5701
$RUT,2002-01-18,2002-07-20,6,26.6621
$RUT,2002-01-18,2002-07-20,7,27.8464
$RUT,2002-01-18,2002-07-20,8,17.9041
