Symbol,Start,End,Permutation,Elliotticity
$RUT,1998-07-13,2000-07-13,0,22.0467
$RUT,1998-07-13,2000-07-13,1,19.9193
$RUT,1998-07-13,2000-07-13,2,14.2133
$RUT,1998-07-13,2000-07-13,3,25.75
$RUT,1998-07-13,2000-07-13,4,17.2878
$RUT,1998-07-13,2000-07-13,5,19.7067
$RUT,1998-07-13,2000-07-13,6,23.8442
$RUT,1998-07-13,2000-07-13,7,22.2276
$RUT,1998-07-13,2000-07-13,8,23.8419
$RUT,1998-07-13,2000-07-13,9,19.9001
$RUT,1998-07-13,2000-07-13,10,26.4498
$RUT,2000-07-13,2002-07-20,0,22.3085
$RUT,2000-07-13,2002-07-20,1,25.7636
$RUT,2000-07-13,2002-07-20,2,31.1945
$RUT,2000-07-13,2002-07-20,3,28.828
$RUT,2000-07-13,2002-07-20,4,26.3757
$RUT,2000-07-13,2002-07-20,5,23.813
$RUT,2000-07-13,2002-07-20,6,32.4109
$RUT,2000-07-13,2002-07-20,7,24.8818
$RUT,2000-07-13,2002-07-20,8,26.5649
$RUT,2000-07-13,2002-07-20,9,20.6563
$RUT,2000-07-13,2002-07-20,10,27.4129
$RUT,2002-07-22,2004-07-22,0,32.9653
$RUT,2002-07-22,2004-07-22,1,23.7211
$RUT,2002-07-22,2004-07-22,2,24.0492
$RUT,2002-07-22,2004-07-22,3,26.509
$RUT,2002-07-22,2004-07-22,4,32.2614
$RUT,2002-07-22,2004-07-22,5,34.4651
$RUT,2002-07-22,2004-07-22,6,26.4893
$RUT,2002-07-22,2004-07-22,7,25.1184
$RUT,2002-07-22,2004-07-22,8,30.0702
$RUT,2002-07-22,2004-07-22,9,16.9569
$RUT,2002-07-22,2004-07-22,10,20.7034
$RUT,2004-07-22,2006-07-21,0,30.8988
$RUT,2004-07-22,2006-07-21,1,30.1147
$RUT,2004-07-22,2006-07-21,2,23.6885
$RUT,2004-07-22,2006-07-21,3,26.9269
$RUT,2004-07-22,2006-07-21,4,23.5666
$RUT,2004-07-22,2006-07-21,5,27.6178
$RUT,2004-07-22,2006-07-21,6,33.0289
$RUT,2004-07-22,2006-07-21,7,26.3205
$RUT,2004-07-22,2006-07-21,8,28.8967
$RUT,2004-07-22,2006-07-21,9,24.9904
$RUT,2004-07-22,2006-07-21,10,22.004
$RUT,2006-07-21,2008-07-23,0,29.056
$RUT,2006-07-21,2008-07-23,1,26.2986
$RUT,2006-07-21,2008-07-23,2,25.3959
$RUT,2006-07-21,2008-07-23,3,24.4268
$RUT,2006-07-21,2008-07-23,4,27.0619
$RUT,2006-07-21,2008-07-23,5,26.8914
$RUT,2006-07-21,2008-07-23,6,31.5838
$RUT,2006-07-21,2008-07-23,7,28.2296
$RUT,2006-07-21,2008-07-23,8,27.6705
$RUT,2006-07-21,2008-07-23,9,27.0567
$RUT,2006-07-21,2008-07-23,10,23.2026
$RUT,2008-07-23,2010-07-23,0,31.7133
$RUT,2008-07-23,2010-07-23,1,25.1838
$RUT,2008-07-23,2010-07-23,2,16.893
$RUT,2008-07-23,2010-07-23,3,16.6591
$RUT,2008-07-23,2010-07-23,4,19.3823
$RUT,2008-07-23,2010-07-23,5,32.852
$RUT,2008-07-23,2010-07-23,6,26.1477
$RUT,2008-07-23,2010-07-23,7,22.2479
$RUT,2008-07-23,2010-07-23,8,21.2258
$RUT,2008-07-23,2010-07-23,9,22.2363
$RUT,2008-07-23,2010-07-23,10,23.5207
$RUT,2010-07-23,2012-07-21,0,31.1672
$RUT,2010-07-23,2012-07-21,1,26.9638
$RUT,2010-07-23,2012-07-21,2,29.9103
$RUT,2010-07-23,2012-07-21,3,23.0854
$RUT,2010-07-23,2012-07-21,4,30.9641
$RUT,2010-07-23,2012-07-21,5,30.9762
$RUT,2010-07-23,2012-07-21,6,30.3565
$RUT,2010-07-23,2012-07-21,7,19.8168
$RUT,2010-07-23,2012-07-21,8,19.8072
$RUT,2010-07-23,2012-07-21,9,24.746
$RUT,2010-07-23,2012-07-21,10,30.7113
$RUT,2012-07-23,2014-07-25,0,32.4694
$RUT,2012-07-23,2014-07-25,1,26.2925
$RUT,2012-07-23,2014-07-25,2,28.0285
$RUT,2012-07-23,2014-07-25,3,24.3646
$RUT,2012-07-23,2014-07-25,4,26.2156
$RUT,2012-07-23,2014-07-25,5,27.65
$RUT,2012-07-23,2014-07-25,6,25.7988
$RUT,2012-07-23,2014-07-25,7,25.4039
$RUT,2012-07-23,2014-07-25,8,28.0105
$RUT,2012-07-23,2014-07-25,9,22.3349
$RUT,2012-07-23,2014-07-25,10,30.7697
$RUT,2014-07-25,2016-07-28,0,31.8612
$RUT,2014-07-25,2016-07-28,1,24.0167
$RUT,2014-07-25,2016-07-28,2,23.7499
$RUT,2014-07-25,2016-07-28,3,29.0633
$RUT,2014-07-25,2016-07-28,4,29.8716
$RUT,2014-07-25,2016-07-28,5,27.4014
$RUT,2014-07-25,2016-07-28,6,23.4216
$RUT,2014-07-25,2016-07-28,7,26.7297
$RUT,2014-07-25,2016-07-28,8,20.7485
$RUT,2014-07-25,2016-07-28,9,32.1972
$RUT,2014-07-25,2016-07-28,10,20.4045
$RUT,2016-07-28,2018-07-31,0,26.5482
$RUT,2016-07-28,2018-07-31,1,35.0572
$RUT,2016-07-28,2018-07-31,2,27.6889
$RUT,2016-07-28,2018-07-31,3,26.6223
$RUT,2016-07-28,2018-07-31,4,25.076
$RUT,2016-07-28,2018-07-31,5,26.5795
$RUT,2016-07-28,2018-07-31,6,18.5455
$RUT,2016-07-28,2018-07-31,7,27.1616
$RUT,2016-07-28,2018-07-31,8,26.8625
$RUT,2016-07-28,2018-07-31,9,22.8809
$RUT,2016-07-28,2018-07-31,10,20.6866
$RUT,2018-07-31,2020-08-01,0,23.1486
$RUT,2018-07-31,2020-08-01,1,28.0067
$RUT,2018-07-31,2020-08-01,2,20.1785
$RUT,2018-07-31,2020-08-01,3,29.0484
$RUT,2018-07-31,2020-08-01,4,23.6881
$RUT,2018-07-31,2020-08-01,5,25.5162
$RUT,2018-07-31,2020-08-01,6,18.5445
$RUT,2018-07-31,2020-08-01,7,24.4028
$RUT,2018-07-31,2020-08-01,8,19.4738
$RUT,2018-07-31,2020-08-01,9,23.2583
$RUT,2018-07-31,2020-08-01,10,22.1687
$RUT,2020-08-03,2022-08-03,0,30.7592
$RUT,2020-08-03,2022-08-03,1,28.6843
$RUT,2020-08-03,2022-08-03,2,21.4161
$RUT,2020-08-03,2022-08-03,3,32.0876
$RUT,2020-08-03,2022-08-03,4,29.8183
$RUT,2020-08-03,2022-08-03,5,28.7648
$RUT,2020-08-03,2022-08-03,6,26.8695
$RUT,2020-08-03,2022-08-03,7,20.3402
$RUT,2020-08-03,2022-08-03,8,28.3547
$RUT,2020-08-03,2022-08-03,9,21.3736
$RUT,2020-08-03,2022-08-03,10,30.4709
