Symbol,Start,End,Permutation,Elliotticity
$SPX,1930-01-02,1930-04-02,0,43.2227
$SPX,1930-01-02,1930-04-02,1,39.0035
$SPX,1930-01-02,1930-04-02,2,30.1556
$SPX,1930-01-02,1930-04-02,3,30.8998
$SPX,1930-01-02,1930-04-02,4,29.9614
$SPX,1930-01-02,1930-04-02,5,39.1952
$SPX,1930-01-02,1930-04-02,6,33.4141
$SPX,1930-01-02,1930-04-02,7,39.5161
$SPX,1930-01-02,1930-04-02,8,33.2591
$SPX,1930-01-02,1930-04-02,9,37.3188
$SPX,1930-01-02,1930-04-02,10,39.152
$SPX,1930-04-02,1930-07-02,0,35.4454
$SPX,1930-04-02,1930-07-02,1,33.7238
$SPX,1930-04-02,1930-07-02,2,37.2245
$SPX,1930-04-02,1930-07-02,3,51.0839
$SPX,1930-04-02,1930-07-02,4,31.0014
$SPX,1930-04-02,1930-07-02,5,38.154
$SPX,1930-04-02,1930-07-02,6,23.211
$SPX,1930-04-02,1930-07-02,7,10.6136
$SPX,1930-04-02,1930-07-02,8,31.4764
$SPX,1930-04-02,1930-07-02,9,34.7909
$SPX,1930-04-02,1930-07-02,10,36.4566
$SPX,1930-07-02,1930-10-01,0,40.6551
$SPX,1930-07-02,1930-10-01,1,25.6721
$SPX,1930-07-02,1930-10-01,2,33.191
$SPX,1930-07-02,1930-10-01,3,21.9192
$SPX,1930-07-02,1930-10-01,4,32.1421
$SPX,1930-07-02,1930-10-01,5,43.8427
$SPX,1930-07-02,1930-10-01,6,20.7782
$SPX,1930-07-02,1930-10-01,7,47.181
$SPX,1930-07-02,1930-10-01,8,30.1495
$SPX,1930-07-02,1930-10-01,9,29.2412
$SPX,1930-07-02,1930-10-01,10,28.0471
$SPX,1930-10-01,1931-01-03,0,35.7453
$SPX,1930-10-01,1931-01-03,1,36.5132
$SPX,1930-10-01,1931-01-03,2,44.2404
$SPX,1930-10-01,1931-01-03,3,36.0253
$SPX,1930-10-01,1931-01-03,4,33.5368
$SPX,1930-10-01,1931-01-03,5,31.356
$SPX,1930-10-01,1931-01-03,6,21.7699
$SPX,1930-10-01,1931-01-03,7,34.7793
$SPX,1930-10-01,1931-01-03,8,20.5043
$SPX,1930-10-01,1931-01-03,9,21.7982
$SPX,1930-10-01,1931-01-03,10,36.5932
