Symbol,Start,End,Permutation,Elliotticity
$SPX,1930-01-02,1931-01-03,0,36.5201
$SPX,1930-01-02,1931-01-03,1,33.3011
$SPX,1930-01-02,1931-01-03,2,30.2912
$SPX,1930-01-02,1931-01-03,3,22.4588
$SPX,1930-01-02,1931-01-03,4,28.39
$SPX,1930-01-02,1931-01-03,5,33.7359
$SPX,1930-01-02,1931-01-03,6,34.4999
$SPX,1930-01-02,1931-01-03,7,31.7575
$SPX,1930-01-02,1931-01-03,8,33.7104
$SPX,1930-01-02,1931-01-03,9,35.2083
$SPX,1930-01-02,1931-01-03,10,31.5766
$SPX,1931-01-05,1932-01-05,0,39.0179
$SPX,1931-01-05,1932-01-05,1,21.8842
$SPX,1931-01-05,1932-01-05,2,18.4428
$SPX,1931-01-05,1932-01-05,3,28.6212
$SPX,1931-01-05,1932-01-05,4,25.986
$SPX,1931-01-05,1932-01-05,5,14.6407
$SPX,1931-01-05,1932-01-05,6,34.6655
$SPX,1931-01-05,1932-01-05,7,23.6732
$SPX,1931-01-05,1932-01-05,8,29.9828
$SPX,1931-01-05,1932-01-05,9,23.1205
$SPX,1931-01-05,1932-01-05,10,31.9392
$SPX,1932-01-05,1933-01-06,0,42.8283
$SPX,1932-01-05,1933-01-06,1,28.3891
$SPX,1932-01-05,1933-01-06,2,25.7269
$SPX,1932-01-05,1933-01-06,3,30.5271
$SPX,1932-01-05,1933-01-06,4,24.5959
$SPX,1932-01-05,1933-01-06,5,21.7761
$SPX,1932-01-05,1933-01-06,6,29.0194
$SPX,1932-01-05,1933-01-06,7,28.2659
$SPX,1932-01-05,1933-01-06,8,31.7114
$SPX,1932-01-05,1933-01-06,9,20.0397
$SPX,1932-01-05,1933-01-06,10,28.2104
$SPX,1933-01-06,1934-01-19,0,40.0261
$SPX,1933-01-06,1934-01-19,1,28.663
$SPX,1933-01-06,1934-01-19,2,24.9389
$SPX,1933-01-06,1934-01-19,3,34.661
$SPX,1933-01-06,1934-01-19,4,34.9901
$SPX,1933-01-06,1934-01-19,5,32.267
$SPX,1933-01-06,1934-01-19,6,29.8561
$SPX,1933-01-06,1934-01-19,7,33.3652
$SPX,1933-01-06,1934-01-19,8,37.5186
$SPX,1933-01-06,1934-01-19,9,16.882
$SPX,1933-01-06,1934-01-19,10,28.4024
