Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,0,5.313
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,1,8.8507
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,2,18.6438
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,3,16.9062
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,4,26.9588
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,5,12.0563
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,6,4.3481
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,7,23.1248
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,8,19.8257
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,9,2.6882
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,10,23.2025
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,0,21.7099
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,1,24.3884
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,2,11.9892
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,3,2.2854
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,4,12.5749
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,5,14.284
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,6,28.8616
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,7,31.2461
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,8,24.7851
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,9,26.676
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,10,23.3398
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,0,22.7765
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,1,23.0058
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,2,27.2127
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,3,23.0906
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,4,33.7106
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,5,23.521
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,6,23.9261
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,7,26.5273
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,8,18.6991
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,9,27.3861
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,10,22.5742
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,0,31.3459
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,1,23.6285
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,2,22.5499
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,3,2.0968
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,4,16.521
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,5,23.5254
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,6,23.1309
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,7,30.6164
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,8,30.4923
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,9,29.1885
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,10,19.1487
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,0,29.856
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,1,25.605
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,2,19.2694
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,3,30.0725
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,4,19.5133
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,5,25.9333
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,6,17.7235
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,7,25.9782
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,8,30.1465
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,9,19.7658
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,10,20.5501
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,0,33.9497
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,1,28.5805
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,2,24.0378
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,3,12.3735
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,4,37.0415
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,5,31.2964
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,6,24.9755
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,7,22.5305
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,8,22.5713
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,9,38.6687
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,10,18.0123
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,0,32.3239
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,1,21.6997
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,2,24.9291
