Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,0,21.6657
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,1,14.5115
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,2,31.5038
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,3,7.3234
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,4,19.4612
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,5,25.2013
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,6,34.7237
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,7,20.8343
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,8,33.2963
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,9,26.5865
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,10,20.432
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,0,22.0137
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,1,33.8439
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,2,28.0488
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,3,20.6253
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,4,23.7566
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,5,24.5523
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,6,29.6133
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,7,25.5802
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,8,30.0609
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,9,33.9597
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,10,27.09
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,0,42.5429
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,1,28.9513
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,2,34.3591
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,3,32.3998
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,4,33.3711
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,5,29.8059
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,6,26.3772
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,7,29.8031
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,8,28.7524
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,9,34.9476
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,10,24.9955
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,0,31.1142
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,1,22.1639
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,2,37.6285
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,3,33.9901
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,4,31.2677
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,5,36.5284
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,6,37.2829
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,7,33.3616
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,8,36.0793
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,9,29.6355
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,10,25.4799
$DJIA,1928-10-01,1931-10-07,0,44.869
$DJIA,1928-10-01,1931-10-07,1,36.3061
$DJIA,1928-10-01,1931-10-07,2,33.6577
$DJIA,1928-10-01,1931-10-07,3,38.3755
$DJIA,1928-10-01,1931-10-07,4,28.218
$DJIA,1928-10-01,1931-10-07,5,29.4356
$DJIA,1928-10-01,1931-10-07,6,34.5734
$DJIA,1928-10-01,1931-10-07,7,34.8147
$DJIA,1928-10-01,1931-10-07,8,38.4327
$DJIA,1928-10-01,1931-10-07,9,26.8225
$DJIA,1928-10-01,1931-10-07,10,35.5234
$DJIA,1931-10-07,1934-10-26,0,38.9432
$DJIA,1931-10-07,1934-10-26,1,32.7423
$DJIA,1931-10-07,1934-10-26,2,32.4291
$DJIA,1931-10-07,1934-10-26,3,34.7354
$DJIA,1931-10-07,1934-10-26,4,33.3201
$DJIA,1931-10-07,1934-10-26,5,31.6028
$DJIA,1931-10-07,1934-10-26,6,34.6386
$DJIA,1931-10-07,1934-10-26,7,31.7239
$DJIA,1931-10-07,1934-10-26,8,32.0459
$DJIA,1931-10-07,1934-10-26,9,38.1782
$DJIA,1931-10-07,1934-10-26,10,28.6849
$DJIA,1934-10-26,1937-11-04,0,42.7715
$DJIA,1934-10-26,1937-11-04,1,27.9502
$DJIA,1934-10-26,1937-11-04,2,31.1983
$DJIA,1934-10-26,1937-11-04,3,37.6128
$DJIA,1934-10-26,1937-11-04,4,37.3286
$DJIA,1934-10-26,1937-11-04,5,36.5253
$DJIA,1934-10-26,1937-11-04,6,37.4583
$DJIA,1934-10-26,1937-11-04,7,34.7629
$DJIA,1934-10-26,1937-11-04,8,34.2841
$DJIA,1934-10-26,1937-11-04,9,33.8927
$DJIA,1934-10-26,1937-11-04,10,34.4928
$DJIA,1937-11-04,1940-11-09,0,34.8183
$DJIA,1937-11-04,1940-11-09,1,35.6271
$DJIA,1937-11-04,1940-11-09,2,24.7808
$DJIA,1937-11-04,1940-11-09,3,30.3421
$DJIA,1937-11-04,1940-11-09,4,27.0758
$DJIA,1937-11-04,1940-11-09,5,30.4317
$DJIA,1937-11-04,1940-11-09,6,36.494
$DJIA,1937-11-04,1940-11-09,7,26.9811
$DJIA,1937-11-04,1940-11-09,8,27.6814
$DJIA,1937-11-04,1940-11-09,9,30.363
$DJIA,1937-11-04,1940-11-09,10,30.344
$DJIA,1940-11-12,1943-11-20,0,42.6799
$DJIA,1940-11-12,1943-11-20,1,39.6403
$DJIA,1940-11-12,1943-11-20,2,39.1247
$DJIA,1940-11-12,1943-11-20,3,27.8625
$DJIA,1940-11-12,1943-11-20,4,26.7629
$DJIA,1940-11-12,1943-11-20,5,35.4465
$DJIA,1940-11-12,1943-11-20,6,39.6761
$DJIA,1940-11-12,1943-11-20,7,30.1151
$DJIA,1940-11-12,1943-11-20,8,27.4176
$DJIA,1940-11-12,1943-11-20,9,28.7435
$DJIA,1940-11-12,1943-11-20,10,39.3265
$DJIA,1943-11-22,1946-12-03,0,39.8262
$DJIA,1943-11-22,1946-12-03,1,27.08
$DJIA,1943-11-22,1946-12-03,2,36.9595
$DJIA,1943-11-22,1946-12-03,3,37.7973
$DJIA,1943-11-22,1946-12-03,4,30.2453
$DJIA,1943-11-22,1946-12-03,5,33.5084
$DJIA,1943-11-22,1946-12-03,6,38.2479
$DJIA,1943-11-22,1946-12-03,7,35.2472
$DJIA,1943-11-22,1946-12-03,8,38.9743
$DJIA,1943-11-22,1946-12-03,9,33.3593
$DJIA,1943-11-22,1946-12-03,10,38.6968
$DJIA,1946-12-03,1949-12-09,0,46.7611
$DJIA,1946-12-03,1949-12-09,1,34.9601
$DJIA,1946-12-03,1949-12-09,2,30.6225
$DJIA,1946-12-03,1949-12-09,3,34.9639
$DJIA,1946-12-03,1949-12-09,4,44.418
$DJIA,1946-12-03,1949-12-09,5,39.1616
$DJIA,1946-12-03,1949-12-09,6,34.3339
$DJIA,1946-12-03,1949-12-09,7,34.4006
$DJIA,1946-12-03,1949-12-09,8,33.482
$DJIA,1946-12-03,1949-12-09,9,33.7002
$DJIA,1946-12-03,1949-12-09,10,29.3645
$DJIA,1949-12-09,1952-12-20,0,43.8553
$DJIA,1949-12-09,1952-12-20,1,32.2247
$DJIA,1949-12-09,1952-12-20,2,31.8824
$DJIA,1949-12-09,1952-12-20,3,32.8948
$DJIA,1949-12-09,1952-12-20,4,35.9322
$DJIA,1949-12-09,1952-12-20,5,30.9332
$DJIA,1949-12-09,1952-12-20,6,40.0053
$DJIA,1949-12-09,1952-12-20,7,34.633
$DJIA,1949-12-09,1952-12-20,8,27.0177
$DJIA,1949-12-09,1952-12-20,9,36.4551
$DJIA,1949-12-09,1952-12-20,10,35.0841
$DJIA,1952-12-22,1955-12-22,0,45.7545
$DJIA,1952-12-22,1955-12-22,1,35.8482
