Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,0,36.7668
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,1,32.4137
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,2,37.7673
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,3,30.7165
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,4,31.0798
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,5,23.5054
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,6,29.7975
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,7,25.5723
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,8,31.0785
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,9,30.5062
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,10,33.5931
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,0,41.2168
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,1,37.0732
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,2,31.4834
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,3,36.0112
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,4,33.2024
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,5,29.4955
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,6,34.1363
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,7,26.8767
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,8,27.5192
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,9,35.7494
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,10,28.5587
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,0,41.9317
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,1,29.3237
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,2,26.7307
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,3,29.5883
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,4,34.1322
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,5,27.6418
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,6,32.0213
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,7,22.8249
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,8,31.5922
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,9,27.6057
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,10,36.5999
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,0,39.762
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,1,38.2359
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,2,26.8394
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,3,35.0094
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,4,35.9194
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,5,40.4603
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,6,35.0479
