Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,0,31.1968
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,1,16.157
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,2,16.5631
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,3,24.4693
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,4,21.7351
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,5,9.9278
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,6,23.7408
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,7,24.4815
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,8,15.4227
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,9,26.1474
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,10,17.0238
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,0,29.9534
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,1,15.4624
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,2,20.3546
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,3,23.3919
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,4,18.9868
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,5,19.4967
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,6,28.2855
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,7,31.0764
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,8,31.9726
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,9,22.8027
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,10,18.2684
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,0,33.408
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,1,19.8801
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,2,25.1164
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,3,30.9626
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,4,27.379
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,5,21.1195
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,6,30.7928
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,7,27.9113
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,8,30.1177
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,9,22.6375
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,10,26.7533
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,0,37.6651
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,1,21.7801
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,2,16.9233
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,3,23.3502
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,4,28.3355
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,5,27.29
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,6,25.4954
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,7,28.4059
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,8,21.8357
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,9,24.9738
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,10,27.9814
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,0,38.1828
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,1,29.2982
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,2,16.467
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,3,38.0602
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,4,31.1787
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,5,25.9161
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,6,29.8322
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,7,34.4625
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,8,25.4822
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,9,28.3779
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,10,14.1296
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,0,33.7258
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,1,24.889
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,2,15.5136
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,3,22.569
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,4,20.0072
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,5,27.0289
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,6,20.7777
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,7,11.954
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,8,21.5732
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,9,23.608
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,10,23.0153
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,0,30.783
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,1,23.3756
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,2,28.4088
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,3,24.0649
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,4,25.2802
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,5,14.327
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,6,11.1052
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,7,24.294
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,8,24.1156
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,9,32.582
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,10,11.8696
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,0,30.8249
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,1,23.3029
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,2,30.9731
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,3,22.144
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,4,21.0577
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,5,21.5705
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,6,25.7559
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,7,23.3638
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,8,31.1395
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,9,29.1763
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,10,33.9035
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,0,37.3656
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,1,23.2467
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,2,29.7087
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,3,32.5264
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,4,32.2771
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,5,29.7659
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,6,26.1263
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,7,29.3853
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,8,29.3543
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,9,33.5042
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,10,30.6558
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,0,32.5815
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,1,25.045
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,2,24.0575
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,3,27.8561
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,4,31.2123
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,5,22.6398
