Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,0,34.1595
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,1,16.2122
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,2,16.531
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,3,24.4417
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,4,21.7737
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,5,9.9833
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,6,23.7575
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,7,24.4518
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,8,15.2842
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,9,26.0286
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,10,17.0302
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,0,29.9075
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,1,15.4255
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,2,20.2951
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,3,23.3579
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,4,20.8758
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,5,19.4702
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,6,27.1882
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,7,31.081
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,8,31.9419
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,9,23.0277
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,10,18.2296
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,0,33.387
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,1,19.8614
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,2,25.1023
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,3,30.9206
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,4,30.6694
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,5,21.0968
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,6,32.1937
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,7,27.9597
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,8,30.0816
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,9,26.5137
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,10,26.7638
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,0,38.3578
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,1,21.768
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,2,18.1057
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,3,23.3778
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,4,28.3257
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,5,27.2395
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,6,25.4571
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,7,28.3376
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,8,21.7869
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,9,24.9812
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,10,27.918
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,0,38.2711
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,1,29.3245
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,2,16.4594
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,3,37.9725
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,4,31.1905
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,5,25.9021
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,6,29.7649
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,7,34.3462
