Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,0,36.8608
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,1,30.9411
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,2,37.7598
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,3,30.6787
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,4,31.1259
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,5,23.4721
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,6,29.8146
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,7,25.5976
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,8,31.1218
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,9,30.4797
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,10,33.5962
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,0,41.2207
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,1,36.2386
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,2,31.4452
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,3,36.0003
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,4,33.2136
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,5,29.5653
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,6,34.1492
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,7,26.8711
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,8,27.4815
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,9,34.7124
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,10,28.5109
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,0,41.9688
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,1,29.3756
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,2,26.7073
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,3,29.563
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,4,34.156
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,5,27.5932
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,6,32.0192
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,7,23.8659
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,8,31.6104
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,9,27.678
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,10,36.6289
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,0,40.1326
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,1,37.4514
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,2,26.8507
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,3,35.0349
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,4,35.9059
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,5,40.577
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,6,35.0001
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,7,31.9645
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,8,33.7196
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,9,35.4383
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,10,35.8941
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,0,42.9199
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,1,40.8825
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,2,35.9739
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,3,38.9362
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,4,41.4966
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,5,35.4039
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,6,35.7243
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,7,33.5171
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,8,37.1726
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,9,40.5056
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,10,37.568
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,0,37.4345
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,1,37.2148
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,2,32.3451
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,3,34.0271
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,4,28.4816
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,5,31.4589
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,6,34.5215
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,7,39.5143
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,8,36.7093
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,9,28.0132
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,10,35.7691
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,0,46.0365
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,1,33.1933
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,2,36.1365
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,3,35.0506
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,4,9.4798
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,5,34.5431
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,6,32.5844
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,7,29.0379
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,8,33.5059
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,9,33.3949
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,10,36.7612
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,0,43.8556
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,1,34.23
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,2,34.2306
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,3,34.8304
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,4,35.6203
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,5,38.7226
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,6,32.2922
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,7,39.3523
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,8,38.0021
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,9,31.3857
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,10,38.4083
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,0,46.6572
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,1,31.2994
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,2,41.1563
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,3,35.8385
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,4,38.454
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,5,34.9869
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,6,39.7382
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,7,24.7359
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,8,37.2006
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,9,35.3841
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,10,35.5384
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,0,39.7605
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,1,38.4654
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,2,32.7258
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,3,34.5431
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,4,33.5933
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,5,37.0287
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,6,28.0663
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,7,38.3099
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,8,35.6726
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,9,33.6295
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,10,36.9055
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,0,44.8872
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,1,35.3136
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,2,38.4274
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,3,32.2979
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,4,38.0016
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,5,35.6228
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,6,28.2395
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,7,40.272
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,8,39.7491
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,9,40.2486
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,10,38.356
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,0,47.8279
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,1,37.9827
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,2,37.9385
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,3,37.0085
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,4,39.0527
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,5,39.2277
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,6,37.4119
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,7,38.9373
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,8,34.5596
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,9,34.6013
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,10,38.3398
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,0,41.9613
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,1,39.1355
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,2,42.0635
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,3,35.1503
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,4,26.1535
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,5,37.0238
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,6,39.1194
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,7,36.7379
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,8,37.9133
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,9,40.3376
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,10,37.4305
$DJIA,1928-10-01,1929-10-03,0,46.7539
$DJIA,1928-10-01,1929-10-03,1,40.923
$DJIA,1928-10-01,1929-10-03,2,37.1677
$DJIA,1928-10-01,1929-10-03,3,44.8023
$DJIA,1928-10-01,1929-10-03,4,40.6413
$DJIA,1928-10-01,1929-10-03,5,39.6735
$DJIA,1928-10-01,1929-10-03,6,40.1926
$DJIA,1928-10-01,1929-10-03,7,41.4292
$DJIA,1928-10-01,1929-10-03,8,41.7296
$DJIA,1928-10-01,1929-10-03,9,39.6842
$DJIA,1928-10-01,1929-10-03,10,35.8623
$DJIA,1929-10-03,1930-10-07,0,43.1486
$DJIA,1929-10-03,1930-10-07,1,40.4443
$DJIA,1929-10-03,1930-10-07,2,36.5726
$DJIA,1929-10-03,1930-10-07,3,38.6762
$DJIA,1929-10-03,1930-10-07,4,44.3245
$DJIA,1929-10-03,1930-10-07,5,36.0527
$DJIA,1929-10-03,1930-10-07,6,38.4018
$DJIA,1929-10-03,1930-10-07,7,35.5389
$DJIA,1929-10-03,1930-10-07,8,32.1579
$DJIA,1929-10-03,1930-10-07,9,43.1628
$DJIA,1929-10-03,1930-10-07,10,38.5484
$DJIA,1930-10-07,1931-10-07,0,44.5881
$DJIA,1930-10-07,1931-10-07,1,32.3831
$DJIA,1930-10-07,1931-10-07,2,37.1204
$DJIA,1930-10-07,1931-10-07,3,42.4332
$DJIA,1930-10-07,1931-10-07,4,41.2191
$DJIA,1930-10-07,1931-10-07,5,38.2288
$DJIA,1930-10-07,1931-10-07,6,40.6602
$DJIA,1930-10-07,1931-10-07,7,35.8182
$DJIA,1930-10-07,1931-10-07,8,38.1145
$DJIA,1930-10-07,1931-10-07,9,39.6269
$DJIA,1930-10-07,1931-10-07,10,40.644
$DJIA,1931-10-07,1932-10-08,0,45.6598
$DJIA,1931-10-07,1932-10-08,1,35.9435
$DJIA,1931-10-07,1932-10-08,2,37.8795
$DJIA,1931-10-07,1932-10-08,3,41.7554
$DJIA,1931-10-07,1932-10-08,4,40.6245
