Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,0,5.5628
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,1,9.1437
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,2,23.7663
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,3,17.8395
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,4,29.4244
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,5,12.1313
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,6,4.1078
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,7,16.9668
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,8,19.7032
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,9,2.7317
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,10,23.4294
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,0,34.7195
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,1,24.1776
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,2,13.5231
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,3,23.5621
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,4,21.7328
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,5,16.6928
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,6,28.9434
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,7,30.5115
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,8,24.592
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,9,26.5129
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,10,23.2414
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,0,27.1601
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,1,23.5054
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,2,27.2725
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,3,24.0125
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,4,33.3308
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,5,27.349
