Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,0,36.7003
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,1,32.2628
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,2,37.6191
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,3,30.5597
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,4,31.0928
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,5,23.5289
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,6,29.2861
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,7,25.5199
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,8,31.0323
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,9,30.4508
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,10,33.1115
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,0,40.3006
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,1,36.8374
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,2,31.3056
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,3,36.0795
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,4,32.8946
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,5,29.5522
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,6,33.2421
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,7,26.8164
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,8,26.658
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,9,35.6259
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,10,28.5017
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,0,41.6133
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,1,29.2373
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,2,26.6273
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,3,29.5321
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,4,31.0985
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,5,27.6802
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,6,31.7132
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,7,21.347
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,8,31.5852
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,9,27.4614
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,10,36.5187
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,0,39.883
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,1,38.1305
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,2,26.8067
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,3,34.9986
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,4,35.2895
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,5,40.1521
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,6,34.8409
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,7,31.7683
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,8,33.6456
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,9,34.2264
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,10,35.9013
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,0,43.0838
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,1,40.1462
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,2,35.1507
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,3,39.0994
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,4,41.4819
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,5,35.3373
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,6,35.6767
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,7,37.0227
