Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,0,23.6161
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,1,14.2498
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,2,15.8947
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,3,20.7833
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,4,21.9105
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,5,9.2969
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,6,24.5044
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,7,19.389
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,8,7.9697
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,9,22.1185
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,10,13.5189
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,0,28.0895
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,1,14.4606
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,2,11.2028
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,3,23.3343
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,4,7.9377
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,5,19.689
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,6,14.8147
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,7,30.4485
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,8,29.7507
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,9,22.6962
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,10,16.9218
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,0,31.164
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,1,16.3965
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,2,23.2182
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,3,26.4915
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,4,25.9225
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,5,17.4265
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,6,27.3309
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,7,23.8022
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,8,29.0485
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,9,17.9198
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,10,24.9613
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,0,37.0654
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,1,22.4208
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,2,14.4988
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,3,20.7963
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,4,26.2017
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,5,24.6984
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,6,24.9826
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,7,26.4502
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,8,21.9109
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,9,18.8942
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,10,26.8514
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,0,35.5052
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,1,27.8131
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,2,19.2572
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,3,36.6168
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,4,24.2673
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,5,22.8887
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,6,16.5303
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,7,32.6036
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,8,18.9838
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,9,25.9911
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,10,15.6558
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,0,30.7037
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,1,22.2265
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,2,14.223
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,3,19.9719
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,4,16.9496
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,5,17.6723
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,6,10.8093
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,7,10.7962
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,8,18.2511
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,9,21.7272
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,10,20.808
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,0,28.245
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,1,14.3746
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,2,21.1495
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,3,18.141
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,4,21.1089
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,5,10.7158
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,6,9.3312
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,7,20.9802
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,8,23.5491
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,9,32.7557
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,10,8.7422
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,0,28.8228
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,1,24.3861
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,2,29.9182
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,3,16.6843
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,4,18.9248
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,5,20.5212
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,6,24.8552
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,7,18.2982
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,8,30.4157
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,9,27.8812
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,10,27.5734
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,0,38.0608
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,1,18.8177
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,2,28.2272
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,3,30.1002
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,4,30.9616
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,5,31.7325
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,6,26.0398
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,7,28.6812
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,8,22.4533
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,9,28.5038
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,10,28.3906
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,0,33.061
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,1,22.9386
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,2,22.0175
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,3,24.336
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,4,30.3665
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,5,21.7987
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,6,10.1914
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,7,12.9744
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,8,4.4428
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,9,17.7537
$BTC-USD@GDAX_MTGOX,2015-01-24,2015-07-26,10,29.24
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-01-25,0,34.744
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-01-25,1,22.3701
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-01-25,2,26.8594
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-01-25,3,27.21
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-01-25,4,30.6787
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-01-25,5,13.2541
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-01-25,6,28.4789
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-01-25,7,26.7637
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-01-25,8,28.4848
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-01-25,9,17.528
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-01-25,10,19.0083
$BTC-USD@GDAX_MTGOX,2016-01-24,2016-07-26,0,20.7946
$BTC-USD@GDAX_MTGOX,2016-01-24,2016-07-26,1,18.94
$BTC-USD@GDAX_MTGOX,2016-01-24,2016-07-26,2,27.4642
$BTC-USD@GDAX_MTGOX,2016-01-24,2016-07-26,3,26.1506
$BTC-USD@GDAX_MTGOX,2016-01-24,2016-07-26,4,28.3415
$BTC-USD@GDAX_MTGOX,2016-01-24,2016-07-26,5,26.0396
$BTC-USD@GDAX_MTGOX,2016-01-24,2016-07-26,6,22.6629
$BTC-USD@GDAX_MTGOX,2016-01-24,2016-07-26,7,24.2215
$BTC-USD@GDAX_MTGOX,2016-01-24,2016-07-26,8,24.366
$BTC-USD@GDAX_MTGOX,2016-01-24,2016-07-26,9,27.5325
$BTC-USD@GDAX_MTGOX,2016-01-24,2016-07-26,10,16.3619
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-01-25,0,28.6315
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-01-25,1,16.278
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-01-25,2,6.4047
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-01-25,3,17.2084
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-01-25,4,21.1579
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-01-25,5,11.8504
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-01-25,6,4.5364
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-01-25,7,22.6617
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-01-25,8,8.8821
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-01-25,9,18.0931
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-01-25,10,23.358
$BTC-USD@GDAX_MTGOX,2017-01-24,2017-07-26,0,43.2446
$BTC-USD@GDAX_MTGOX,2017-01-24,2017-07-26,1,29.2808
$BTC-USD@GDAX_MTGOX,2017-01-24,2017-07-26,2,32.1734
$BTC-USD@GDAX_MTGOX,2017-01-24,2017-07-26,3,22.9198
$BTC-USD@GDAX_MTGOX,2017-01-24,2017-07-26,4,30.8744
$BTC-USD@GDAX_MTGOX,2017-01-24,2017-07-26,5,24.3529
$BTC-USD@GDAX_MTGOX,2017-01-24,2017-07-26,6,19.7225
$BTC-USD@GDAX_MTGOX,2017-01-24,2017-07-26,7,23.9894
$BTC-USD@GDAX_MTGOX,2017-01-24,2017-07-26,8,21.9173
$BTC-USD@GDAX_MTGOX,2017-01-24,2017-07-26,9,22.8385
$BTC-USD@GDAX_MTGOX,2017-01-24,2017-07-26,10,18.1716
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-01-25,0,37.6266
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-01-25,1,33.1338
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-01-25,2,34.3692
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-01-25,3,24.1734
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-01-25,4,24.8245
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-01-25,5,24.879
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-01-25,6,23.097
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-01-25,7,21.95
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-01-25,8,26.4906
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-01-25,9,26.6483
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-01-25,10,23.5082
$BTC-USD@GDAX_MTGOX,2018-01-24,2018-07-26,0,33.3686
$BTC-USD@GDAX_MTGOX,2018-01-24,2018-07-26,1,28.1185
$BTC-USD@GDAX_MTGOX,2018-01-24,2018-07-26,2,23.0596
$BTC-USD@GDAX_MTGOX,2018-01-24,2018-07-26,3,23.567
$BTC-USD@GDAX_MTGOX,2018-01-24,2018-07-26,4,27.0911
$BTC-USD@GDAX_MTGOX,2018-01-24,2018-07-26,5,35.6581
$BTC-USD@GDAX_MTGOX,2018-01-24,2018-07-26,6,35.6648
$BTC-USD@GDAX_MTGOX,2018-01-24,2018-07-26,7,31.6961
$BTC-USD@GDAX_MTGOX,2018-01-24,2018-07-26,8,29.4375
$BTC-USD@GDAX_MTGOX,2018-01-24,2018-07-26,9,26.1
$BTC-USD@GDAX_MTGOX,2018-01-24,2018-07-26,10,30.6948
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-01-25,0,30.5753
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-01-25,1,30.463
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-01-25,2,28.4967
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-01-25,3,30.6103
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-01-25,4,22.5109
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-01-25,5,24.5951
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-01-25,6,26.2214
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-01-25,7,16.2398
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-01-25,8,24.7892
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-01-25,9,24.0134
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-01-25,10,28.8771
$BTC-USD@GDAX_MTGOX,2019-01-24,2019-07-26,0,38.6134
$BTC-USD@GDAX_MTGOX,2019-01-24,2019-07-26,1,36.6115
$BTC-USD@GDAX_MTGOX,2019-01-24,2019-07-26,2,25.1249
$BTC-USD@GDAX_MTGOX,2019-01-24,2019-07-26,3,21.666
$BTC-USD@GDAX_MTGOX,2019-01-24,2019-07-26,4,23.7884
$BTC-USD@GDAX_MTGOX,2019-01-24,2019-07-26,5,28.3289
$BTC-USD@GDAX_MTGOX,2019-01-24,2019-07-26,6,23.6642
$BTC-USD@GDAX_MTGOX,2019-01-24,2019-07-26,7,31.4207
$BTC-USD@GDAX_MTGOX,2019-01-24,2019-07-26,8,13.0089
$BTC-USD@GDAX_MTGOX,2019-01-24,2019-07-26,9,22.3881
$BTC-USD@GDAX_MTGOX,2019-01-24,2019-07-26,10,25.1101
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-01-25,0,36.6717
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-01-25,1,32.2946
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-01-25,2,24.8123
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-01-25,3,28.0873
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-01-25,4,29.1517
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-01-25,5,30.7441
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-01-25,6,24.4369
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-01-25,7,28.0417
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-01-25,8,32.4211
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-01-25,9,34.6531
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-01-25,10,34.7123
$BTC-USD@GDAX_MTGOX,2020-01-24,2020-07-27,0,24.6394
$BTC-USD@GDAX_MTGOX,2020-01-24,2020-07-27,1,6.6703
$BTC-USD@GDAX_MTGOX,2020-01-24,2020-07-27,2,22.3182
$BTC-USD@GDAX_MTGOX,2020-01-24,2020-07-27,3,19.6598
$BTC-USD@GDAX_MTGOX,2020-01-24,2020-07-27,4,32.001
$BTC-USD@GDAX_MTGOX,2020-01-24,2020-07-27,5,23.4826
$BTC-USD@GDAX_MTGOX,2020-01-24,2020-07-27,6,19.8546
$BTC-USD@GDAX_MTGOX,2020-01-24,2020-07-27,7,32.2537
$BTC-USD@GDAX_MTGOX,2020-01-24,2020-07-27,8,20.4612
$BTC-USD@GDAX_MTGOX,2020-01-24,2020-07-27,9,24.5214
$BTC-USD@GDAX_MTGOX,2020-01-24,2020-07-27,10,27.179
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-01-26,0,42.5571
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-01-26,1,31.9232
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-01-26,2,23.0359
