Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,0,29.2319
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,1,29.607
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,2,28.2758
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,3,23.4473
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,4,28.4029
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,5,31.3421
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,6,19.2718
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,7,24.7523
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,8,31.8053
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,9,28.607
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,10,23.279
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,0,34.1046
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,1,29.9385
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,2,35.2679
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,3,16.666
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,4,31.6035
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,5,30.0168
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,6,17.5978
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,7,20.2493
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,8,29.3207
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,9,32.9037
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,10,28.9215
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,0,29.766
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,1,37.8933
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,2,15.6999
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,3,29.5842
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,4,29.2761
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,5,33.5595
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,6,33.432
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,7,33.7107
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,8,36.6076
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,9,33.3183
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,10,29.1703
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,0,43.0352
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,1,28.5622
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,2,31.9826
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,3,29.6233
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,4,33.0969
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,5,31.4635
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,6,35.2752
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,7,34.2421
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,8,31.8861
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,9,34.1721
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,10,32.4316
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,0,33.6842
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,1,27.3275
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,2,36.5988
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,3,29.7819
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,4,28.0192
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,5,37.6805
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,6,27.3257
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,7,31.4363
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,8,36.9774
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,9,24.6612
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,10,32.7794
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,0,42.8227
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,1,27.5436
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,2,32.0018
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,3,34.9989
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,4,36.4135
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,5,38.0424
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,6,36.0057
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,7,35.2038
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,8,34.6297
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,9,36.1793
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,10,35.8376
$DJIA,1928-10-01,1930-10-07,0,42.7022
$DJIA,1928-10-01,1930-10-07,1,29.298
$DJIA,1928-10-01,1930-10-07,2,29.3635
$DJIA,1928-10-01,1930-10-07,3,22.893
$DJIA,1928-10-01,1930-10-07,4,31.3816
$DJIA,1928-10-01,1930-10-07,5,36.9265
$DJIA,1928-10-01,1930-10-07,6,36.6647
$DJIA,1928-10-01,1930-10-07,7,32.5088
$DJIA,1928-10-01,1930-10-07,8,30.6172
$DJIA,1928-10-01,1930-10-07,9,30.9469
$DJIA,1928-10-01,1930-10-07,10,28.9112
$DJIA,1930-10-07,1932-10-08,0,45.0431
$DJIA,1930-10-07,1932-10-08,1,28.0607
$DJIA,1930-10-07,1932-10-08,2,28.3183
$DJIA,1930-10-07,1932-10-08,3,39.456
$DJIA,1930-10-07,1932-10-08,4,33.9641
$DJIA,1930-10-07,1932-10-08,5,40.2614
$DJIA,1930-10-07,1932-10-08,6,33.4103
$DJIA,1930-10-07,1932-10-08,7,28.2487
$DJIA,1930-10-07,1932-10-08,8,35.2742
$DJIA,1930-10-07,1932-10-08,9,34.6664
$DJIA,1930-10-07,1932-10-08,10,31.2746
$DJIA,1932-10-10,1934-10-26,0,36.6126
$DJIA,1932-10-10,1934-10-26,1,29.381
$DJIA,1932-10-10,1934-10-26,2,24.7613
$DJIA,1932-10-10,1934-10-26,3,30.2889
$DJIA,1932-10-10,1934-10-26,4,35.996
$DJIA,1932-10-10,1934-10-26,5,35.4569
$DJIA,1932-10-10,1934-10-26,6,30.6048
$DJIA,1932-10-10,1934-10-26,7,32.9878
$DJIA,1932-10-10,1934-10-26,8,29.8876
$DJIA,1932-10-10,1934-10-26,9,35.3823
$DJIA,1932-10-10,1934-10-26,10,22.2257
$DJIA,1934-10-26,1936-10-29,0,45.5767
$DJIA,1934-10-26,1936-10-29,1,32.9919
$DJIA,1934-10-26,1936-10-29,2,41.3855
$DJIA,1934-10-26,1936-10-29,3,35.5655
$DJIA,1934-10-26,1936-10-29,4,41.1232
$DJIA,1934-10-26,1936-10-29,5,36.5985
$DJIA,1934-10-26,1936-10-29,6,36.4113
$DJIA,1934-10-26,1936-10-29,7,35.0593
$DJIA,1934-10-26,1936-10-29,8,37.22
$DJIA,1934-10-26,1936-10-29,9,36.2558
$DJIA,1934-10-26,1936-10-29,10,38.4724
$DJIA,1936-10-29,1938-11-03,0,39.1634
$DJIA,1936-10-29,1938-11-03,1,36.2457
$DJIA,1936-10-29,1938-11-03,2,35.4261
$DJIA,1936-10-29,1938-11-03,3,38.5475
$DJIA,1936-10-29,1938-11-03,4,27.6403
$DJIA,1936-10-29,1938-11-03,5,35.6943
$DJIA,1936-10-29,1938-11-03,6,29.3757
$DJIA,1936-10-29,1938-11-03,7,34.2649
$DJIA,1936-10-29,1938-11-03,8,24.2451
$DJIA,1936-10-29,1938-11-03,9,19.4768
$DJIA,1936-10-29,1938-11-03,10,32.4997
$DJIA,1938-11-03,1940-11-09,0,28.2101
$DJIA,1938-11-03,1940-11-09,1,25.1159
$DJIA,1938-11-03,1940-11-09,2,36.5216
$DJIA,1938-11-03,1940-11-09,3,27.1493
$DJIA,1938-11-03,1940-11-09,4,24.6087
$DJIA,1938-11-03,1940-11-09,5,35.3479
$DJIA,1938-11-03,1940-11-09,6,34.0088
$DJIA,1938-11-03,1940-11-09,7,34.8636
$DJIA,1938-11-03,1940-11-09,8,33.6232
$DJIA,1938-11-03,1940-11-09,9,39.0067
$DJIA,1938-11-03,1940-11-09,10,38.532
$DJIA,1940-11-12,1942-11-17,0,42.5157
$DJIA,1940-11-12,1942-11-17,1,30.7987
$DJIA,1940-11-12,1942-11-17,2,38.2699
$DJIA,1940-11-12,1942-11-17,3,33.605
$DJIA,1940-11-12,1942-11-17,4,30.0084
$DJIA,1940-11-12,1942-11-17,5,30.3668
$DJIA,1940-11-12,1942-11-17,6,27.2616
$DJIA,1940-11-12,1942-11-17,7,31.3276
$DJIA,1940-11-12,1942-11-17,8,37.108
$DJIA,1940-11-12,1942-11-17,9,32.4258
$DJIA,1940-11-12,1942-11-17,10,28.5533
$DJIA,1942-11-17,1944-11-18,0,40.6942
$DJIA,1942-11-17,1944-11-18,1,37.3505
$DJIA,1942-11-17,1944-11-18,2,38.9926
$DJIA,1942-11-17,1944-11-18,3,31.5191
$DJIA,1942-11-17,1944-11-18,4,34.2582
$DJIA,1942-11-17,1944-11-18,5,41.2726
$DJIA,1942-11-17,1944-11-18,6,35.3694
$DJIA,1942-11-17,1944-11-18,7,35.4398
$DJIA,1942-11-17,1944-11-18,8,33.0707
$DJIA,1942-11-17,1944-11-18,9,32.7257
$DJIA,1942-11-17,1944-11-18,10,34.6188
$DJIA,1944-11-20,1946-12-03,0,38.1985
$DJIA,1944-11-20,1946-12-03,1,38.2165
$DJIA,1944-11-20,1946-12-03,2,33.9823
$DJIA,1944-11-20,1946-12-03,3,36.4426
$DJIA,1944-11-20,1946-12-03,4,37.9282
$DJIA,1944-11-20,1946-12-03,5,33.4824
$DJIA,1944-11-20,1946-12-03,6,36.2252
$DJIA,1944-11-20,1946-12-03,7,33.8825
$DJIA,1944-11-20,1946-12-03,8,36.4377
$DJIA,1944-11-20,1946-12-03,9,28.5538
$DJIA,1944-11-20,1946-12-03,10,36.4902
$DJIA,1946-12-03,1948-12-09,0,42.1969
$DJIA,1946-12-03,1948-12-09,1,39.7415
$DJIA,1946-12-03,1948-12-09,2,44.413
$DJIA,1946-12-03,1948-12-09,3,30.8444
$DJIA,1946-12-03,1948-12-09,4,32.4307
$DJIA,1946-12-03,1948-12-09,5,33.4825
$DJIA,1946-12-03,1948-12-09,6,31.5337
$DJIA,1946-12-03,1948-12-09,7,34.8157
$DJIA,1946-12-03,1948-12-09,8,34.7488
$DJIA,1946-12-03,1948-12-09,9,35.3697
$DJIA,1946-12-03,1948-12-09,10,40.0035
$DJIA,1948-12-09,1950-12-13,0,44.4411
$DJIA,1948-12-09,1950-12-13,1,38.1896
$DJIA,1948-12-09,1950-12-13,2,37.7312
$DJIA,1948-12-09,1950-12-13,3,35.3262
$DJIA,1948-12-09,1950-12-13,4,39.2846
