Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,0,26.5517
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,1,22.9376
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,2,32.5147
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,3,34.3251
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,4,24.261
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,5,29.9063
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,6,35.724
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,7,25.5709
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,8,34.0574
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,9,31.544
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,10,21.4445
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,0,36.8557
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,1,34.8432
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,2,29.3281
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,3,28.8592
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,4,28.5302
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,5,28.808
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,6,31.7389
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,7,28.2693
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,8,30.5628
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,9,34.7668
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,10,31.249
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,0,44.617
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,1,33.4638
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,2,36.9367
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,3,35.1699
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,4,33.6496
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,5,30.3372
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,6,32.8363
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,7,32.4865
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,8,34.9871
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,9,36.5298
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,10,32.7722
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,0,43.788
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,1,32.5603
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,2,38.281
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,3,36.1253
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,4,34.0732
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,5,37.2105
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,6,39.1729
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,7,34.9389
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,8,38.0357
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,9,36.0396
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,10,32.3511
$DJIA,1928-10-01,1931-10-07,0,45.704
$DJIA,1928-10-01,1931-10-07,1,38.8874
$DJIA,1928-10-01,1931-10-07,2,35.5731
$DJIA,1928-10-01,1931-10-07,3,39.5141
$DJIA,1928-10-01,1931-10-07,4,33.1226
$DJIA,1928-10-01,1931-10-07,5,36.5136
$DJIA,1928-10-01,1931-10-07,6,38.6994
$DJIA,1928-10-01,1931-10-07,7,37.009
