Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,0,6.2603
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,1,12.1353
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,2,24.1529
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,3,17.8995
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,4,30.5839
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,5,12.188
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,6,3.9831
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,7,17.4816
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,8,19.6981
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,9,2.7697
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,10,23.3786
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,0,34.5362
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,1,24.1798
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,2,13.3081
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,3,23.5397
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,4,21.9159
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,5,17.1281
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,6,28.8062
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,7,30.4236
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,8,24.4026
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,9,26.5363
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,10,23.2713
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,0,27.236
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,1,23.5899
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,2,27.2268
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,3,24.0308
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,4,33.1299
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,5,27.3066
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,6,23.75
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,7,27.9943
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,8,21.7458
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,9,27.2639
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,10,24.8191
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,0,32.7375
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,1,23.4806
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,2,22.9118
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,3,2.0786
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,4,17.6216
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,5,23.3344
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,6,23.8362
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,7,30.4068
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,8,30.8073
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,9,28.757
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,10,24.6171
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,0,33.1477
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,1,25.1401
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,2,18.9572
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,3,29.5055
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,4,19.3178
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,5,25.344
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,6,21.4995
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,7,26.6236
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,8,30.13
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,9,31.6167
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,10,28.0254
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,0,33.5991
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,1,26.9087
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,2,29.4375
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,3,11.4222
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,4,38.213
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,5,32.5291
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,6,28.9341
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,7,24.4545
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,8,30.4758
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,9,38.7093
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,10,34.4243
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,0,34.5876
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,1,24.3643
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,2,24.5381
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,3,35.9658
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,4,32.5838
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,5,31.7539
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,6,37.6087
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,7,27.6457
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,8,25.3913
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,9,19.9272
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,10,26.9023
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,0,37.4199
