Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,0,26.5258
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,1,22.9772
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,2,32.3932
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,3,34.333
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,4,24.2298
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,5,29.933
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,6,35.7323
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,7,25.6115
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,8,34.0704
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,9,31.5317
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,10,21.4777
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,0,36.8211
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,1,34.8586
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,2,29.3398
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,3,28.8773
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,4,28.506
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,5,28.7995
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,6,31.7436
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,7,28.2362
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,8,30.5732
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,9,34.7498
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,10,31.1125
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,0,44.5886
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,1,33.4925
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,2,36.94
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,3,35.1457
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,4,33.6413
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,5,30.2991
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,6,32.8283
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,7,32.5373
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,8,35.0003
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,9,36.5397
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,10,32.7699
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,0,43.7633
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,1,32.5739
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,2,38.2817
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,3,36.1656
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,4,34.1042
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,5,37.1218
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,6,39.1682
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,7,34.894
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,8,38.0318
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,9,36.0213
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,10,32.3666
$DJIA,1928-10-01,1931-10-07,0,45.6801
$DJIA,1928-10-01,1931-10-07,1,38.8472
$DJIA,1928-10-01,1931-10-07,2,35.5401
$DJIA,1928-10-01,1931-10-07,3,39.5419
$DJIA,1928-10-01,1931-10-07,4,33.1399
$DJIA,1928-10-01,1931-10-07,5,36.5466
$DJIA,1928-10-01,1931-10-07,6,38.73
