Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,0,6.3217
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,1,11.9592
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,2,24.0623
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,3,17.0541
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,4,30.7809
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,5,12.1359
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,6,4.3453
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,7,22.0017
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,8,19.624
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,9,2.6959
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,10,23.1074
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,0,34.5971
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,1,24.4561
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,2,13.765
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,3,2.2634
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,4,15.0401
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,5,16.7447
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,6,28.579
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,7,30.7263
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,8,24.7745
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,9,26.6034
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,10,23.2146
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,0,27.4788
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,1,23.245
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,2,27.1834
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,3,23.4257
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,4,33.468
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,5,27.8215
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,6,24.1224
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,7,26.4126
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,8,21.7729
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,9,27.4379
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,10,22.3785
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,0,32.6818
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,1,23.7364
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,2,22.9266
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,3,2.1481
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,4,17.8185
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,5,23.3426
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,6,23.8049
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,7,30.6568
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,8,30.6129
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,9,29.0186
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,10,24.5848
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,0,33.0251
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,1,25.6538
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,2,19.2108
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,3,29.5204
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,4,19.4758
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,5,25.7997
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,6,20.2517
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,7,26.6331
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,8,30.3788
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,9,31.3704
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,10,26.7496
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,0,34.6126
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,1,28.0608
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,2,25.9791
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,3,12.0401
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,4,36.4356
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,5,32.1757
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,6,25.681
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,7,22.3258
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,8,31.2861
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,9,38.7331
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,10,34.0033
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,0,34.5957
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,1,24.5592
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,2,24.7381
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,3,35.4752
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,4,32.6274
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,5,31.3287
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,6,38.0661
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,7,28.0843
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,8,25.5685
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,9,20.0438
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,10,26.9492
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,0,37.729
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,1,26.7112
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,2,30.4354
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,3,29.9968
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,4,24.6929
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,5,35.4621
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,6,31.5778
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,7,38.9481
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,8,28.1935
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,9,24.7581
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,10,32.0582
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,0,38.4758
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,1,23.0566
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,2,32.2214
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,3,27.4408
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,4,20.9231
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,5,28.4096
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,6,26.4413
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,7,38.8111
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,8,35.6413
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,9,36.071
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,10,22.2
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,0,39.7317
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,1,33.367
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,2,21.4881
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,3,26.9338
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,4,30.5011
$BTC-USD@GDAX_MTGOX,2012-10-20,2013-01-19,5,41.7141
