Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,0,25.3468
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,1,22.2103
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,2,32.2164
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,3,23.8247
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,4,21.644
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,5,27.0301
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,6,34.9868
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,7,24.0564
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,8,33.9474
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,9,28.195
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,10,20.5466
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,0,35.3879
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,1,33.9815
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,2,27.9064
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,3,26.6827
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,4,27.5429
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,5,27.416
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,6,31.6872
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,7,27.9435
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,8,30.4494
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,9,34.5307
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,10,28.5812
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,0,44.0985
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,1,32.4682
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,2,36.3164
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,3,35.0196
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,4,33.4888
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,5,30.0668
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,6,31.1931
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,7,32.1723
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,8,33.7225
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,9,35.5937
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,10,30.1231
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,0,32.7625
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,1,32.3535
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,2,38.2329
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,3,36.1502
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,4,33.0696
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,5,36.9505
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,6,38.6377
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,7,34.4472
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,8,36.8704
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,9,30.0754
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,10,29.1566
$DJIA,1928-10-01,1931-10-07,0,45.4116
$DJIA,1928-10-01,1931-10-07,1,38.2854
$DJIA,1928-10-01,1931-10-07,2,35.055
$DJIA,1928-10-01,1931-10-07,3,38.6881
$DJIA,1928-10-01,1931-10-07,4,32.9781
$DJIA,1928-10-01,1931-10-07,5,36.2995
$DJIA,1928-10-01,1931-10-07,6,37.1821
$DJIA,1928-10-01,1931-10-07,7,36.0589
$DJIA,1928-10-01,1931-10-07,8,39.1484
$DJIA,1928-10-01,1931-10-07,9,27.2781
$DJIA,1928-10-01,1931-10-07,10,36.6103
$DJIA,1931-10-07,1934-10-26,0,40.1059
$DJIA,1931-10-07,1934-10-26,1,32.8438
$DJIA,1931-10-07,1934-10-26,2,35.0178
$DJIA,1931-10-07,1934-10-26,3,35.0759
$DJIA,1931-10-07,1934-10-26,4,34.6255
