Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,0,26.4969
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,1,22.9532
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,2,32.5296
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,3,34.2817
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,4,24.2891
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,5,29.9438
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,6,35.8398
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,7,25.5881
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,8,34.1154
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,9,31.5944
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,10,20.6742
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,0,36.7005
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,1,34.8632
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,2,29.0835
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,3,28.9096
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,4,28.5831
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,5,28.4997
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,6,31.4605
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,7,27.1762
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,8,30.5854
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,9,34.776
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,10,30.7486
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,0,44.6525
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,1,32.2765
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,2,36.8199
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,3,35.2348
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,4,33.6578
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,5,30.2612
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,6,32.8608
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,7,32.506
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,8,35.0256
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,9,36.3956
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,10,31.0797
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,0,43.7218
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,1,32.498
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,2,38.2217
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,3,35.4592
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,4,34.0762
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,5,37.0946
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,6,39.2129
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,7,34.5479
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,8,37.408
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,9,36.0511
$BTC-USD@GDAX_MTGOX,2019-07-26,2022-07-27,10,30.4886
$DJIA,1928-10-01,1931-10-07,0,45.7278
$DJIA,1928-10-01,1931-10-07,1,38.4991
$DJIA,1928-10-01,1931-10-07,2,35.4423
$DJIA,1928-10-01,1931-10-07,3,39.4927
$DJIA,1928-10-01,1931-10-07,4,33.4656
$DJIA,1928-10-01,1931-10-07,5,29.9368
$DJIA,1928-10-01,1931-10-07,6,38.7342
$DJIA,1928-10-01,1931-10-07,7,36.1019
$DJIA,1928-10-01,1931-10-07,8,39.5452
$DJIA,1928-10-01,1931-10-07,9,28.7716
$DJIA,1928-10-01,1931-10-07,10,37.0687
$DJIA,1931-10-07,1934-10-26,0,40.5165
$DJIA,1931-10-07,1934-10-26,1,36.4541
$DJIA,1931-10-07,1934-10-26,2,35.0522
$DJIA,1931-10-07,1934-10-26,3,35.8064
$DJIA,1931-10-07,1934-10-26,4,34.7413
$DJIA,1931-10-07,1934-10-26,5,34.5595
$DJIA,1931-10-07,1934-10-26,6,37.0718
$DJIA,1931-10-07,1934-10-26,7,33.9699
$DJIA,1931-10-07,1934-10-26,8,34.2193
$DJIA,1931-10-07,1934-10-26,9,37.9174
$DJIA,1931-10-07,1934-10-26,10,34.105
$DJIA,1934-10-26,1937-11-04,0,44.6056
$DJIA,1934-10-26,1937-11-04,1,29.3634
$DJIA,1934-10-26,1937-11-04,2,34.6729
$DJIA,1934-10-26,1937-11-04,3,38.1904
$DJIA,1934-10-26,1937-11-04,4,38.1765
$DJIA,1934-10-26,1937-11-04,5,38.5022
$DJIA,1934-10-26,1937-11-04,6,39.2731
$DJIA,1934-10-26,1937-11-04,7,35.805
$DJIA,1934-10-26,1937-11-04,8,40.0312
$DJIA,1934-10-26,1937-11-04,9,36.6631
$DJIA,1934-10-26,1937-11-04,10,37.687
$DJIA,1937-11-04,1940-11-09,0,38.1575
$DJIA,1937-11-04,1940-11-09,1,38.0328
$DJIA,1937-11-04,1940-11-09,2,26.8866
$DJIA,1937-11-04,1940-11-09,3,36.2886
$DJIA,1937-11-04,1940-11-09,4,28.6293
$DJIA,1937-11-04,1940-11-09,5,33.6926
$DJIA,1937-11-04,1940-11-09,6,38.1558
$DJIA,1937-11-04,1940-11-09,7,29.0927
$DJIA,1937-11-04,1940-11-09,8,35.921
$DJIA,1937-11-04,1940-11-09,9,33.0304
$DJIA,1937-11-04,1940-11-09,10,34.0237
$DJIA,1940-11-12,1943-11-20,0,43.4499
$DJIA,1940-11-12,1943-11-20,1,40.9675
$DJIA,1940-11-12,1943-11-20,2,39.6298
$DJIA,1940-11-12,1943-11-20,3,33.5035
$DJIA,1940-11-12,1943-11-20,4,32.3611
$DJIA,1940-11-12,1943-11-20,5,41.6508
$DJIA,1940-11-12,1943-11-20,6,39.7062
$DJIA,1940-11-12,1943-11-20,7,36.3957
$DJIA,1940-11-12,1943-11-20,8,35.0856
$DJIA,1940-11-12,1943-11-20,9,33.7174
$DJIA,1940-11-12,1943-11-20,10,40.3103
$DJIA,1943-11-22,1946-12-03,0,41.5668
$DJIA,1943-11-22,1946-12-03,1,31.6131
$DJIA,1943-11-22,1946-12-03,2,38.768
$DJIA,1943-11-22,1946-12-03,3,38.5968
$DJIA,1943-11-22,1946-12-03,4,32.9427
$DJIA,1943-11-22,1946-12-03,5,35.0492
$DJIA,1943-11-22,1946-12-03,6,38.965
$DJIA,1943-11-22,1946-12-03,7,37.7663
$DJIA,1943-11-22,1946-12-03,8,39.1378
$DJIA,1943-11-22,1946-12-03,9,35.7368
$DJIA,1943-11-22,1946-12-03,10,40.2194
$DJIA,1946-12-03,1949-12-09,0,48.2894
$DJIA,1946-12-03,1949-12-09,1,35.7883
$DJIA,1946-12-03,1949-12-09,2,31.3327
