Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,0,6.2474
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,1,9.2974
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,2,24.3023
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,3,17.83
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,4,30.7911
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,5,12.1607
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,6,3.9399
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,7,17.3205
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,8,19.6876
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,9,2.7485
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,10,23.5065
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,0,30.6375
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,1,24.3151
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,2,13.5734
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,3,23.6515
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,4,21.8721
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,5,16.8187
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,6,29.0324
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,7,30.5289
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,8,24.5587
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,9,26.687
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,10,23.3086
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,0,27.2109
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,1,23.4624
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,2,27.2602
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,3,24.1735
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,4,33.7607
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,5,27.3065
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,6,23.7647
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,7,28.059
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,8,21.8211
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,9,27.1631
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,10,24.858
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,0,32.9888
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,1,23.5343
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,2,22.7919
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,3,2.0614
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,4,17.6787
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,5,23.4612
