Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,0,29.8109
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,1,31.9825
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,2,29.9962
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,3,22.7651
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,4,29.7013
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,5,33.5435
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,6,22.2052
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,7,28.3525
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,8,31.5036
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,9,32.0477
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,10,27.1929
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,0,38.949
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,1,32.7953
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,2,37.1193
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,3,25.6503
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,4,32.9884
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,5,33.8571
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,6,19.653
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,7,24.7373
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,8,32.6058
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,9,33.7428
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,10,28.9916
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,0,36.0857
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,1,38.4467
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,2,33.2881
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,3,31.357
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,4,32.3597
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,5,37.4784
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,6,34.4152
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,7,34.3636
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,8,36.8829
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,9,35.1822
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,10,32.3653
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,0,45.042
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,1,32.1663
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,2,34.012
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,3,32.0103
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,4,35.2258
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,5,31.8994
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,6,36.0985
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,7,36.0658
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,8,35.2896
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,9,36.7399
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,10,33.66
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,0,37.2634
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,1,30.5943
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,2,37.4691
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,3,35.6826
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,4,38.1367
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,5,38.5917
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,6,29.7068
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,7,31.7107
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,8,36.7647
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,9,30.5729
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,10,36.4992
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,0,45.0482
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,1,33.3169
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,2,32.826
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,3,37.8025
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,4,39.9111
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,5,40.5264
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,6,38.6898
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,7,35.261
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,8,35.6781
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,9,36.9659
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,10,37.8119
$DJIA,1928-10-01,1930-10-07,0,43.2024
$DJIA,1928-10-01,1930-10-07,1,29.7457
$DJIA,1928-10-01,1930-10-07,2,30.0621
$DJIA,1928-10-01,1930-10-07,3,20.583
$DJIA,1928-10-01,1930-10-07,4,36.1201
$DJIA,1928-10-01,1930-10-07,5,37.7081
$DJIA,1928-10-01,1930-10-07,6,39.7584
$DJIA,1928-10-01,1930-10-07,7,32.3855
$DJIA,1928-10-01,1930-10-07,8,35.337
$DJIA,1928-10-01,1930-10-07,9,34.1814
$DJIA,1928-10-01,1930-10-07,10,34.1755
$DJIA,1930-10-07,1932-10-08,0,46.0499
$DJIA,1930-10-07,1932-10-08,1,28.3252
$DJIA,1930-10-07,1932-10-08,2,36.406
$DJIA,1930-10-07,1932-10-08,3,39.7626
$DJIA,1930-10-07,1932-10-08,4,34.9758
$DJIA,1930-10-07,1932-10-08,5,41.9438
$DJIA,1930-10-07,1932-10-08,6,36.5358
$DJIA,1930-10-07,1932-10-08,7,35.1843
$DJIA,1930-10-07,1932-10-08,8,39.3395
$DJIA,1930-10-07,1932-10-08,9,35.8157
$DJIA,1930-10-07,1932-10-08,10,36.5204
$DJIA,1932-10-10,1934-10-26,0,39.3329
$DJIA,1932-10-10,1934-10-26,1,36.2991
$DJIA,1932-10-10,1934-10-26,2,25.6646
$DJIA,1932-10-10,1934-10-26,3,34.8736
$DJIA,1932-10-10,1934-10-26,4,37.1624
$DJIA,1932-10-10,1934-10-26,5,36.2997
$DJIA,1932-10-10,1934-10-26,6,33.2208
$DJIA,1932-10-10,1934-10-26,7,39.1349
$DJIA,1932-10-10,1934-10-26,8,30.4451
$DJIA,1932-10-10,1934-10-26,9,37.3546
$DJIA,1932-10-10,1934-10-26,10,26.0846
$DJIA,1934-10-26,1936-10-29,0,46.4531
$DJIA,1934-10-26,1936-10-29,1,33.5557
$DJIA,1934-10-26,1936-10-29,2,42.4796
$DJIA,1934-10-26,1936-10-29,3,37.2569
$DJIA,1934-10-26,1936-10-29,4,42.1727
$DJIA,1934-10-26,1936-10-29,5,39.8038
$DJIA,1934-10-26,1936-10-29,6,37.7879
$DJIA,1934-10-26,1936-10-29,7,37.4295
$DJIA,1934-10-26,1936-10-29,8,39.9067
$DJIA,1934-10-26,1936-10-29,9,38.705
$DJIA,1934-10-26,1936-10-29,10,39.5417
$DJIA,1936-10-29,1938-11-03,0,43.8123
$DJIA,1936-10-29,1938-11-03,1,35.9759
$DJIA,1936-10-29,1938-11-03,2,37.3026
$DJIA,1936-10-29,1938-11-03,3,38.4891
$DJIA,1936-10-29,1938-11-03,4,29.5615
$DJIA,1936-10-29,1938-11-03,5,35.8396
$DJIA,1936-10-29,1938-11-03,6,33.7973
$DJIA,1936-10-29,1938-11-03,7,34.9481
$DJIA,1936-10-29,1938-11-03,8,23.9318
$DJIA,1936-10-29,1938-11-03,9,27.3458
$DJIA,1936-10-29,1938-11-03,10,34.8869
$DJIA,1938-11-03,1940-11-09,0,33.2898
$DJIA,1938-11-03,1940-11-09,1,31.3966
$DJIA,1938-11-03,1940-11-09,2,38.6386
$DJIA,1938-11-03,1940-11-09,3,29.6727
$DJIA,1938-11-03,1940-11-09,4,33.191
$DJIA,1938-11-03,1940-11-09,5,38.6424
$DJIA,1938-11-03,1940-11-09,6,33.795
$DJIA,1938-11-03,1940-11-09,7,36.5018
$DJIA,1938-11-03,1940-11-09,8,36.1222
$DJIA,1938-11-03,1940-11-09,9,40.547
$DJIA,1938-11-03,1940-11-09,10,40.5461
$DJIA,1940-11-12,1942-11-17,0,44.1763
$DJIA,1940-11-12,1942-11-17,1,35.268
$DJIA,1940-11-12,1942-11-17,2,39.0032
$DJIA,1940-11-12,1942-11-17,3,38.7683
$DJIA,1940-11-12,1942-11-17,4,32.1006
$DJIA,1940-11-12,1942-11-17,5,32.8728
$DJIA,1940-11-12,1942-11-17,6,29.9489
$DJIA,1940-11-12,1942-11-17,7,34.0333
$DJIA,1940-11-12,1942-11-17,8,37.0585
$DJIA,1940-11-12,1942-11-17,9,37.0831
$DJIA,1940-11-12,1942-11-17,10,32.3906
$DJIA,1942-11-17,1944-11-18,0,42.1209
$DJIA,1942-11-17,1944-11-18,1,40.7016
$DJIA,1942-11-17,1944-11-18,2,39.537
$DJIA,1942-11-17,1944-11-18,3,36.0041
$DJIA,1942-11-17,1944-11-18,4,38.5407
$DJIA,1942-11-17,1944-11-18,5,41.7059
$DJIA,1942-11-17,1944-11-18,6,37.9607
$DJIA,1942-11-17,1944-11-18,7,36.4327
$DJIA,1942-11-17,1944-11-18,8,33.5156
$DJIA,1942-11-17,1944-11-18,9,38.5769
$DJIA,1942-11-17,1944-11-18,10,35.1703
$DJIA,1944-11-20,1946-12-03,0,39.6204
$DJIA,1944-11-20,1946-12-03,1,39.8695
$DJIA,1944-11-20,1946-12-03,2,34.6739
$DJIA,1944-11-20,1946-12-03,3,38.8446
$DJIA,1944-11-20,1946-12-03,4,39.0504
$DJIA,1944-11-20,1946-12-03,5,34.5334
$DJIA,1944-11-20,1946-12-03,6,38.9286
$DJIA,1944-11-20,1946-12-03,7,34.5185
$DJIA,1944-11-20,1946-12-03,8,37.5304
$DJIA,1944-11-20,1946-12-03,9,37.5645
$DJIA,1944-11-20,1946-12-03,10,38.2032
$DJIA,1946-12-03,1948-12-09,0,42.5403
$DJIA,1946-12-03,1948-12-09,1,40.1204
$DJIA,1946-12-03,1948-12-09,2,44.5089
$DJIA,1946-12-03,1948-12-09,3,36.7514
$DJIA,1946-12-03,1948-12-09,4,33.2078
$DJIA,1946-12-03,1948-12-09,5,36.4018
$DJIA,1946-12-03,1948-12-09,6,34.9146
$DJIA,1946-12-03,1948-12-09,7,36.0555
$DJIA,1946-12-03,1948-12-09,8,37.121
$DJIA,1946-12-03,1948-12-09,9,36.5253
$DJIA,1946-12-03,1948-12-09,10,41.1868
$DJIA,1948-12-09,1950-12-13,0,46.2589
$DJIA,1948-12-09,1950-12-13,1,39.4698
$DJIA,1948-12-09,1950-12-13,2,39.3094
