Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,0,34.3297
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,1,15.343
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,2,16.6017
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,3,24.3609
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,4,21.6989
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,5,9.9878
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,6,23.7165
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,7,24.4119
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,8,15.2156
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,9,26.2293
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,10,14.0951
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,0,29.7847
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,1,15.4363
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,2,20.3077
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,3,23.3211
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,4,19.5314
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,5,19.4655
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,6,28.1669
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,7,30.9739
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,8,31.6815
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,9,22.8827
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,10,18.1883
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,0,33.3563
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,1,19.9799
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,2,23.4037
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,3,31.0501
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,4,31.1248
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,5,21.2471
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,6,32.1636
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,7,27.8767
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,8,30.0608
