Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,0,26.4766
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,1,22.6274
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,2,32.5146
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,3,33.7535
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,4,23.4418
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,5,29.8495
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,6,34.7016
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,7,25.1396
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,8,31.8399
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,9,31.1498
$BTC-USD@GDAX_MTGOX,2010-07-18,2013-07-23,10,21.4081
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,0,36.7957
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,1,34.6749
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,2,29.0026
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,3,28.4321
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,4,28.2389
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,5,25.7773
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,6,31.7147
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,7,28.2078
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,8,30.2053
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,9,34.7133
$BTC-USD@GDAX_MTGOX,2013-07-23,2016-07-26,10,28.2123
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,0,44.2581
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,1,33.4616
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,2,36.2665
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,3,34.8573
$BTC-USD@GDAX_MTGOX,2016-07-26,2019-07-26,4,33.6415
