Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,0,34.2133
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,1,16.2697
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,2,16.5571
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,3,24.3562
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,4,21.5041
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,5,10.0541
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,6,23.7625
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,7,24.3971
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,8,15.3007
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,9,26.0139
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,10,17.0538
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,0,29.7197
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,1,15.4569
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,2,20.2974
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,3,23.3595
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,4,20.7827
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,5,19.4288
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,6,28.1629
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,7,30.9997
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,8,31.8579
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,9,23.0785
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,10,17.9959
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,0,33.4194
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,1,19.8708
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,2,25.1098
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,3,31.0287
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,4,31.0766
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,5,21.1441
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,6,32.1243
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,7,27.8666
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,8,30.0789
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,9,26.4995
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,10,26.6999
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,0,38.1976
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,1,21.7206
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,2,18.0933
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,3,23.2677
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,4,28.3248
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,5,27.1684
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,6,25.3897
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,7,28.2789
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,8,21.8522
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,9,24.9608
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,10,27.8066
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,0,38.3305
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,1,29.276
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,2,16.5217
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,3,37.9162
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,4,31.0702
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,5,25.8934
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,6,29.7528
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,7,34.2235
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,8,25.4545
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,9,28.413
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,10,14.0034
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,0,36.5756
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,1,24.4227
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,2,15.6856
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,3,22.5659
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,4,20.0297
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,5,27.6385
