Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,0,29.844
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,1,32.6198
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,2,29.9423
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,3,23.3144
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,4,29.6361
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,5,33.4616
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,6,22.219
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,7,28.3046
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,8,32.8786
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,9,31.9834
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,10,27.3916
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,0,38.8191
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,1,32.741
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,2,37.002
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,3,25.6977
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,4,31.9717
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,5,34.1187
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,6,19.6319
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,7,24.7234
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,8,32.5845
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,9,33.6826
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,10,28.9832
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,0,36.3058
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,1,38.3771
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,2,34.0843
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,3,31.2565
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,4,32.3051
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,5,37.395
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,6,34.2843
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,7,34.4412
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,8,36.6247
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,9,35.1712
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,10,32.896
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,0,44.9482
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,1,32.1837
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,2,33.9423
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,3,31.9703
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,4,34.8956
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,5,31.8986
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,6,36.1531
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,7,36.0416
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,8,35.3285
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,9,36.6931
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,10,33.5788
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,0,37.1741
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,1,30.5181
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,2,37.3899
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,3,35.612
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,4,38.038
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,5,38.5129
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,6,29.6965
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,7,31.6091
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,8,36.7537
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,9,30.61
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,10,36.4919
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,0,44.9777
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,1,33.1988
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,2,32.7709
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,3,37.7403
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,4,39.8292
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,5,40.7032
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,6,38.509
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,7,35.2602
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,8,35.5937
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,9,38.9638
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,10,37.7115
$DJIA,1928-10-01,1930-10-07,0,43.4729
$DJIA,1928-10-01,1930-10-07,1,29.7602
$DJIA,1928-10-01,1930-10-07,2,30.0628
$DJIA,1928-10-01,1930-10-07,3,25.0597
$DJIA,1928-10-01,1930-10-07,4,36.1241
$DJIA,1928-10-01,1930-10-07,5,37.6533
$DJIA,1928-10-01,1930-10-07,6,39.7104
$DJIA,1928-10-01,1930-10-07,7,32.2496
$DJIA,1928-10-01,1930-10-07,8,35.4963
$DJIA,1928-10-01,1930-10-07,9,34.129
$DJIA,1928-10-01,1930-10-07,10,34.1221
$DJIA,1930-10-07,1932-10-08,0,45.9565
$DJIA,1930-10-07,1932-10-08,1,28.3886
$DJIA,1930-10-07,1932-10-08,2,36.2988
$DJIA,1930-10-07,1932-10-08,3,39.6978
$DJIA,1930-10-07,1932-10-08,4,34.8631
$DJIA,1930-10-07,1932-10-08,5,41.8761
$DJIA,1930-10-07,1932-10-08,6,36.4651
$DJIA,1930-10-07,1932-10-08,7,35.1025
$DJIA,1930-10-07,1932-10-08,8,39.2326
$DJIA,1930-10-07,1932-10-08,9,35.7014
$DJIA,1930-10-07,1932-10-08,10,36.4664
$DJIA,1932-10-10,1934-10-26,0,39.2691
$DJIA,1932-10-10,1934-10-26,1,36.3221
$DJIA,1932-10-10,1934-10-26,2,25.6586
$DJIA,1932-10-10,1934-10-26,3,34.789
$DJIA,1932-10-10,1934-10-26,4,37.1279
$DJIA,1932-10-10,1934-10-26,5,36.2176
$DJIA,1932-10-10,1934-10-26,6,33.57
$DJIA,1932-10-10,1934-10-26,7,39.1335
$DJIA,1932-10-10,1934-10-26,8,34.0822
$DJIA,1932-10-10,1934-10-26,9,37.2818
$DJIA,1932-10-10,1934-10-26,10,26.0406
$DJIA,1934-10-26,1936-10-29,0,46.3869
$DJIA,1934-10-26,1936-10-29,1,33.5879
$DJIA,1934-10-26,1936-10-29,2,42.4172
$DJIA,1934-10-26,1936-10-29,3,37.1733
$DJIA,1934-10-26,1936-10-29,4,42.1739
$DJIA,1934-10-26,1936-10-29,5,39.6943
$DJIA,1934-10-26,1936-10-29,6,37.7336
$DJIA,1934-10-26,1936-10-29,7,37.2762
$DJIA,1934-10-26,1936-10-29,8,39.8442
$DJIA,1934-10-26,1936-10-29,9,38.6553
$DJIA,1934-10-26,1936-10-29,10,39.6255
$DJIA,1936-10-29,1938-11-03,0,43.7431
$DJIA,1936-10-29,1938-11-03,1,35.9722
$DJIA,1936-10-29,1938-11-03,2,37.244
$DJIA,1936-10-29,1938-11-03,3,38.4723
$DJIA,1936-10-29,1938-11-03,4,29.5522
$DJIA,1936-10-29,1938-11-03,5,36.2606
$DJIA,1936-10-29,1938-11-03,6,33.7886
$DJIA,1936-10-29,1938-11-03,7,34.8313
$DJIA,1936-10-29,1938-11-03,8,23.8207
$DJIA,1936-10-29,1938-11-03,9,27.2748
$DJIA,1936-10-29,1938-11-03,10,34.8276
$DJIA,1938-11-03,1940-11-09,0,33.3015
$DJIA,1938-11-03,1940-11-09,1,31.3259
$DJIA,1938-11-03,1940-11-09,2,38.5124
$DJIA,1938-11-03,1940-11-09,3,29.6976
$DJIA,1938-11-03,1940-11-09,4,33.2709
$DJIA,1938-11-03,1940-11-09,5,38.5909
$DJIA,1938-11-03,1940-11-09,6,34.4367
$DJIA,1938-11-03,1940-11-09,7,36.4424
$DJIA,1938-11-03,1940-11-09,8,36.0415
$DJIA,1938-11-03,1940-11-09,9,40.3915
$DJIA,1938-11-03,1940-11-09,10,40.458
$DJIA,1940-11-12,1942-11-17,0,43.9909
$DJIA,1940-11-12,1942-11-17,1,35.2772
$DJIA,1940-11-12,1942-11-17,2,38.903
$DJIA,1940-11-12,1942-11-17,3,38.7492
$DJIA,1940-11-12,1942-11-17,4,32.0563
$DJIA,1940-11-12,1942-11-17,5,32.7793
$DJIA,1940-11-12,1942-11-17,6,30.1965
$DJIA,1940-11-12,1942-11-17,7,34.1011
$DJIA,1940-11-12,1942-11-17,8,36.9682
$DJIA,1940-11-12,1942-11-17,9,36.9539
$DJIA,1940-11-12,1942-11-17,10,32.3057
$DJIA,1942-11-17,1944-11-18,0,42.0065
$DJIA,1942-11-17,1944-11-18,1,40.5961
$DJIA,1942-11-17,1944-11-18,2,39.6688
$DJIA,1942-11-17,1944-11-18,3,35.8644
$DJIA,1942-11-17,1944-11-18,4,37.9613
$DJIA,1942-11-17,1944-11-18,5,41.726
$DJIA,1942-11-17,1944-11-18,6,37.857
$DJIA,1942-11-17,1944-11-18,7,36.3768
$DJIA,1942-11-17,1944-11-18,8,33.4893
$DJIA,1942-11-17,1944-11-18,9,39.4053
$DJIA,1942-11-17,1944-11-18,10,35.0874
$DJIA,1944-11-20,1946-12-03,0,39.5102
$DJIA,1944-11-20,1946-12-03,1,39.7797
$DJIA,1944-11-20,1946-12-03,2,34.7761
$DJIA,1944-11-20,1946-12-03,3,38.8057
$DJIA,1944-11-20,1946-12-03,4,39.1157
$DJIA,1944-11-20,1946-12-03,5,34.5011
$DJIA,1944-11-20,1946-12-03,6,39.0142
$DJIA,1944-11-20,1946-12-03,7,35.922
$DJIA,1944-11-20,1946-12-03,8,37.9292
$DJIA,1944-11-20,1946-12-03,9,36.2893
$DJIA,1944-11-20,1946-12-03,10,38.2053
$DJIA,1946-12-03,1948-12-09,0,42.5232
$DJIA,1946-12-03,1948-12-09,1,40.4033
$DJIA,1946-12-03,1948-12-09,2,44.4632
$DJIA,1946-12-03,1948-12-09,3,36.6801
