Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,0,34.2869
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,1,16.1929
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,2,15.4478
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,3,20.7539
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,4,21.6974
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,5,10.1327
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,6,23.8679
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,7,21.7087
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,8,8.8048
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,9,25.4248
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,10,17.015
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,0,29.583
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,1,15.3676
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,2,20.5388
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,3,23.4352
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,4,20.3126
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,5,19.5746
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,6,27.3811
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,7,31.3753
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,8,31.8533
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,9,23.1036
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,10,18.1467
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,0,33.5766
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,1,17.4674
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,2,25.4116
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,3,29.517
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,4,30.4761
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,5,19.6076
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,6,31.0033
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,7,23.1944
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,8,30.2972
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,9,26.3538
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,10,26.7528
