Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,0,34.6911
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,1,32.2526
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,2,36.885
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,3,30.6824
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,4,30.9109
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,5,21.6131
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,6,29.8324
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,7,24.7632
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,8,31.1406
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,9,29.4763
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,10,33.5089
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,0,41.2515
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,1,36.0639
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,2,31.7185
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,3,36.0961
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,4,32.828
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,5,28.9126
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,6,32.7161
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,7,24.8962
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,8,26.6588
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,9,35.2036
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,10,25.466
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,0,40.3658
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,1,28.7244
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,2,26.3419
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,3,29.0574
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,4,33.8974
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,5,26.6293
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,6,32.1681
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,7,22.964
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,8,31.292
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,9,27.1838
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,10,34.1206
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,0,38.3732
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,1,37.9982
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,2,25.6374
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,3,35.0013
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,4,33.1729
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,5,40.7271
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,6,33.2605
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,7,29.7819
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,8,31.052
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,9,33.6136
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,10,36.0693
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,0,43.0489
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,1,40.9875
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,2,36.072
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,3,39.2394
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,4,41.6973
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,5,33.5171
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,6,35.7808
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,7,35.3347
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,8,36.659
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,9,40.2836
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,10,37.6318
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,0,36.0808
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,1,36.5243
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,2,31.9832
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,3,34.0804
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,4,27.9939
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,5,28.4121
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,6,32.859
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,7,38.3335
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,8,34.3528
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,9,27.9883
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,10,36.2077
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,0,45.148
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,1,33.0168
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,2,30.8047
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,3,34.9984
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,4,11.1932
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,5,33.91
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,6,32.3479
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,7,28.0314
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,8,35.4166
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,9,33.2668
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,10,36.5574
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,0,43.675
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,1,31.9834
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,2,34.2791
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,3,34.1825
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,4,35.5159
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,5,38.5348
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,6,31.3493
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,7,38.8538
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,8,38.084
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,9,31.3696
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,10,34.4522
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,0,46.3163
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,1,31.5478
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,2,41.4026
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,3,35.7038
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,4,37.8246
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,5,34.4693
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,6,38.1971
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,7,23.8907
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,8,36.9531
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,9,35.3556
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,10,35.7391
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,0,39.5126
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,1,37.2422
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,2,32.4753
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,3,32.1742
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,4,33.5675
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,5,36.0038
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,6,26.3114
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,7,37.9473
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,8,35.4263
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,9,32.6893
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,10,36.5544
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,0,44.848
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,1,35.4512
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,2,38.3417
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,3,31.9935
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,4,34.6856
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,5,33.7623
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,6,24.9271
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,7,39.9017
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,8,37.8682
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,9,42.2781
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,10,36.8088
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,0,47.7635
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,1,37.4733
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,2,37.305
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,3,37.5689
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,4,38.0984
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,5,39.3059
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,6,37.6313
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,7,39.8295
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,8,33.6795
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,9,33.8298
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,10,38.4236
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,0,41.7755
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,1,36.6015
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,2,42.3553
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,3,35.1933
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,4,25.1373
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,5,37.3797
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,6,39.1315
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,7,36.739
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,8,37.9552
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,9,40.3863
$BTC-USD@GDAX_MTGOX,2022-07-27,2023-07-27,10,37.1597
$DJIA,1928-10-01,1929-10-03,0,44.5351
$DJIA,1928-10-01,1929-10-03,1,41.1391
$DJIA,1928-10-01,1929-10-03,2,37.5267
$DJIA,1928-10-01,1929-10-03,3,43.0377
$DJIA,1928-10-01,1929-10-03,4,39.3898
$DJIA,1928-10-01,1929-10-03,5,40.7685
$DJIA,1928-10-01,1929-10-03,6,39.9999
$DJIA,1928-10-01,1929-10-03,7,41.2869
$DJIA,1928-10-01,1929-10-03,8,41.0568
$DJIA,1928-10-01,1929-10-03,9,39.4134
$DJIA,1928-10-01,1929-10-03,10,35.7558
$DJIA,1929-10-03,1930-10-07,0,42.4063
$DJIA,1929-10-03,1930-10-07,1,40.2981
$DJIA,1929-10-03,1930-10-07,2,36.6192
$DJIA,1929-10-03,1930-10-07,3,38.7284
$DJIA,1929-10-03,1930-10-07,4,44.3042
$DJIA,1929-10-03,1930-10-07,5,36.1874
$DJIA,1929-10-03,1930-10-07,6,37.4482
$DJIA,1929-10-03,1930-10-07,7,35.383
$DJIA,1929-10-03,1930-10-07,8,15.3859
$DJIA,1929-10-03,1930-10-07,9,43.2942
$DJIA,1929-10-03,1930-10-07,10,38.2952
$DJIA,1930-10-07,1931-10-07,0,45.0677
$DJIA,1930-10-07,1931-10-07,1,32.3901
$DJIA,1930-10-07,1931-10-07,2,35.1417
$DJIA,1930-10-07,1931-10-07,3,42.7806
$DJIA,1930-10-07,1931-10-07,4,41.3656
$DJIA,1930-10-07,1931-10-07,5,38.5787
$DJIA,1930-10-07,1931-10-07,6,39.9346
$DJIA,1930-10-07,1931-10-07,7,34.2226
$DJIA,1930-10-07,1931-10-07,8,37.2286
$DJIA,1930-10-07,1931-10-07,9,39.042
$DJIA,1930-10-07,1931-10-07,10,37.8257
$DJIA,1931-10-07,1932-10-08,0,43.9822
$DJIA,1931-10-07,1932-10-08,1,35.9372
$DJIA,1931-10-07,1932-10-08,2,34.9179
$DJIA,1931-10-07,1932-10-08,3,41.4403
$DJIA,1931-10-07,1932-10-08,4,39.5938
$DJIA,1931-10-07,1932-10-08,5,36.1863
$DJIA,1931-10-07,1932-10-08,6,44.6579
$DJIA,1931-10-07,1932-10-08,7,35.7153
$DJIA,1931-10-07,1932-10-08,8,38.7871
$DJIA,1931-10-07,1932-10-08,9,36.7915
$DJIA,1931-10-07,1932-10-08,10,38.9907
$DJIA,1932-10-10,1933-10-24,0,41.4878
$DJIA,1932-10-10,1933-10-24,1,29.5792
$DJIA,1932-10-10,1933-10-24,2,48.0375
$DJIA,1932-10-10,1933-10-24,3,33.3346
$DJIA,1932-10-10,1933-10-24,4,33.8752
$DJIA,1932-10-10,1933-10-24,5,37.7476
$DJIA,1932-10-10,1933-10-24,6,42.559
$DJIA,1932-10-10,1933-10-24,7,33.7477
$DJIA,1932-10-10,1933-10-24,8,41.5096
$DJIA,1932-10-10,1933-10-24,9,39.4418
$DJIA,1932-10-10,1933-10-24,10,43.45
$DJIA,1933-10-24,1934-10-26,0,42.5342
$DJIA,1933-10-24,1934-10-26,1,40.754
$DJIA,1933-10-24,1934-10-26,2,39.3458
$DJIA,1933-10-24,1934-10-26,3,37.1629
$DJIA,1933-10-24,1934-10-26,4,38.0035
$DJIA,1933-10-24,1934-10-26,5,35.1629
$DJIA,1933-10-24,1934-10-26,6,42.6422
$DJIA,1933-10-24,1934-10-26,7,35.9845
$DJIA,1933-10-24,1934-10-26,8,36.1767
$DJIA,1933-10-24,1934-10-26,9,40.3515
$DJIA,1933-10-24,1934-10-26,10,46.8754
$DJIA,1934-10-26,1935-10-30,0,46.1214
$DJIA,1934-10-26,1935-10-30,1,39.6078
$DJIA,1934-10-26,1935-10-30,2,33.82
$DJIA,1934-10-26,1935-10-30,3,40.891
$DJIA,1934-10-26,1935-10-30,4,38.9792
$DJIA,1934-10-26,1935-10-30,5,35.8047
$DJIA,1934-10-26,1935-10-30,6,43.0787
$DJIA,1934-10-26,1935-10-30,7,36.5157
$DJIA,1934-10-26,1935-10-30,8,41.8888
$DJIA,1934-10-26,1935-10-30,9,43.4622
$DJIA,1934-10-26,1935-10-30,10,39.5542
$DJIA,1935-10-30,1936-10-29,0,46.7585
$DJIA,1935-10-30,1936-10-29,1,38.813
$DJIA,1935-10-30,1936-10-29,2,41.7718
$DJIA,1935-10-30,1936-10-29,3,41.4174
$DJIA,1935-10-30,1936-10-29,4,32.1928
$DJIA,1935-10-30,1936-10-29,5,43.5312
$DJIA,1935-10-30,1936-10-29,6,40.4842
$DJIA,1935-10-30,1936-10-29,7,37.0167
$DJIA,1935-10-30,1936-10-29,8,36.0455
