Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,0,35.6995
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,1,32.4638
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,2,37.7988
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,3,30.6901
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,4,31.1929
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,5,23.4862
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,6,29.8331
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,7,25.6383
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,8,31.1299
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,9,30.5306
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,10,33.6032
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,0,41.0745
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,1,35.5514
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,2,31.4433
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,3,36.0775
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,4,33.2945
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,5,29.6493
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,6,34.1702
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,7,26.8611
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,8,27.4983
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,9,35.8212
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,10,28.5205
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,0,41.9039
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,1,29.4408
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,2,26.7199
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,3,27.3158
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,4,34.1882
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,5,27.6653
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,6,32.048
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,7,23.8067
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,8,31.6062
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,9,27.2757
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,10,36.5867
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,0,39.6022
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,1,37.352
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,2,26.9046
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,3,35.0867
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,4,35.9735
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,5,40.6321
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,6,34.9683
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,7,31.9335
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,8,33.7273
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,9,35.4718
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,10,35.9511
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,0,43.1116
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,1,41.0028
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,2,35.2302
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,3,39.0926
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,4,41.5461
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,5,35.4378
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,6,35.2106
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,7,34.7402
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,8,37.1892
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,9,40.5477
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,10,37.5426
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,0,36.9851
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,1,36.4289
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,2,32.3473
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,3,34.0189
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,4,28.5087
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,5,30.8889
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,6,34.503
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,7,39.5191
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,8,36.249
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,9,27.467
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,10,36.319
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,0,46.0541
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,1,33.2475
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,2,35.2277
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,3,33.7343
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,4,11.0577
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,5,34.59
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,6,30.9703
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,7,29.6683
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,8,35.2609
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,9,33.3986
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,10,36.8282
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,0,44.0572
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,1,31.1244
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,2,34.2663
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,3,34.9175
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,4,35.5875
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,5,38.7249
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,6,32.3285
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,7,39.3954
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,8,38.0926
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,9,31.4615
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,10,38.4692
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,0,46.7051
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,1,31.3352
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,2,42.0366
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,3,35.8493
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,4,38.4158
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,5,33.8922
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,6,39.7351
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,7,24.7246
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,8,37.2733
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,9,35.3834
$BTC-USD@GDAX_MTGOX,2018-07-26,2019-07-26,10,34.9847
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,0,39.785
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,1,38.499
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,2,32.7818
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,3,34.5806
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,4,33.5902
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,5,37.0635
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,6,28.1218
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,7,38.39
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,8,35.7101
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,9,32.528
$BTC-USD@GDAX_MTGOX,2019-07-26,2020-07-27,10,36.9511
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,0,44.6521
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,1,35.2978
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,2,38.496
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,3,32.3295
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,4,37.9557
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,5,34.1666
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,6,28.2849
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,7,38.0251
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,8,39.8232
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,9,42.414
$BTC-USD@GDAX_MTGOX,2020-07-27,2021-07-27,10,37.8171
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,0,47.8757
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,1,36.9017
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,2,38.0659
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,3,37.019
$BTC-USD@GDAX_MTGOX,2021-07-27,2022-07-27,4,39.0723
