Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,0,35.8672
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,1,32.4835
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,2,37.8359
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,3,30.7292
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,4,31.2418
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,5,23.5644
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,6,29.8457
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,7,25.6411
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,8,31.137
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,9,30.5405
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,10,33.6452
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,0,41.2202
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,1,37.0421
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,2,31.4852
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,3,36.0689
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,4,33.3209
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,5,29.5642
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,6,34.1464
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,7,26.918
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,8,27.5155
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,9,35.8533
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,10,25.383
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,0,42.0564
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,1,25.2425
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,2,26.7315
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,3,29.6147
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,4,34.2244
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,5,29.0579
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,6,32.0787
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,7,23.9127
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,8,31.6446
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,9,27.6265
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,10,36.6722
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,0,39.9564
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,1,38.2226
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,2,26.9065
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,3,35.1062
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,4,35.9222
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,5,40.6373
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,6,35.031
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,7,31.9873
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,8,33.7422
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,9,35.4517
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,10,35.9184
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,0,43.1753
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,1,40.9255
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,2,36.0125
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,3,39.1626
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,4,41.5571
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,5,32.4718
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,6,35.8027
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,7,37.1667
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,8,37.1973
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,9,40.5457
