Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,0,29.6913
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,1,32.5629
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,2,29.642
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,3,22.9735
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,4,26.7841
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,5,32.3601
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,6,22.1595
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,7,28.1872
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,8,32.4514
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,9,31.4745
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,10,27.1939
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,0,38.7954
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,1,31.7061
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,2,37.014
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,3,18.67
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,4,32.7633
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,5,33.7561
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,6,19.6062
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,7,24.6101
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,8,31.7418
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,9,32.8904
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,10,28.8175
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,0,36.2719
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,1,38.3229
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,2,33.4669
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,3,31.3207
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,4,31.977
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,5,36.9059
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,6,33.9726
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,7,34.397
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,8,36.5127
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,9,35.0929
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,10,32.4833
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,0,44.4719
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,1,32.087
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,2,33.8878
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,3,31.6073
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,4,34.8601
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,5,31.8166
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,6,35.9929
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,7,35.954
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,8,34.949
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,9,36.6777
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,10,33.3332
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,0,37.1611
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,1,30.5014
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,2,37.3558
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,3,35.5688
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,4,37.8363
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,5,37.951
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,6,29.6551
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,7,31.5777
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,8,36.7974
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,9,30.0183
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,10,36.1032
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,0,44.8657
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,1,32.2087
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,2,32.7585
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,3,37.5977
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,4,39.8196
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,5,40.6038
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,6,38.5439
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,7,35.2152
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,8,35.481
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,9,38.9299
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,10,37.6773
$DJIA,1928-10-01,1930-10-07,0,43.3602
$DJIA,1928-10-01,1930-10-07,1,29.7781
$DJIA,1928-10-01,1930-10-07,2,30.1013
$DJIA,1928-10-01,1930-10-07,3,23.8632
$DJIA,1928-10-01,1930-10-07,4,36.0746
$DJIA,1928-10-01,1930-10-07,5,37.6962
$DJIA,1928-10-01,1930-10-07,6,39.7138
$DJIA,1928-10-01,1930-10-07,7,32.5575
$DJIA,1928-10-01,1930-10-07,8,35.5332
$DJIA,1928-10-01,1930-10-07,9,34.1825
$DJIA,1928-10-01,1930-10-07,10,33.8418
$DJIA,1930-10-07,1932-10-08,0,45.8705
$DJIA,1930-10-07,1932-10-08,1,30.0662
$DJIA,1930-10-07,1932-10-08,2,36.1854
$DJIA,1930-10-07,1932-10-08,3,39.6511
$DJIA,1930-10-07,1932-10-08,4,34.3991
$DJIA,1930-10-07,1932-10-08,5,41.448
$DJIA,1930-10-07,1932-10-08,6,35.739
$DJIA,1930-10-07,1932-10-08,7,34.2698
$DJIA,1930-10-07,1932-10-08,8,39.1727
$DJIA,1930-10-07,1932-10-08,9,35.694
$DJIA,1930-10-07,1932-10-08,10,36.0658
$DJIA,1932-10-10,1934-10-26,0,38.1696
$DJIA,1932-10-10,1934-10-26,1,36.3108
$DJIA,1932-10-10,1934-10-26,2,25.4276
$DJIA,1932-10-10,1934-10-26,3,34.7382
$DJIA,1932-10-10,1934-10-26,4,36.9449
$DJIA,1932-10-10,1934-10-26,5,35.3336
$DJIA,1932-10-10,1934-10-26,6,33.2217
$DJIA,1932-10-10,1934-10-26,7,38.3658
$DJIA,1932-10-10,1934-10-26,8,34.2259
$DJIA,1932-10-10,1934-10-26,9,37.096
$DJIA,1932-10-10,1934-10-26,10,26.0604
$DJIA,1934-10-26,1936-10-29,0,46.3201
$DJIA,1934-10-26,1936-10-29,1,33.5404
$DJIA,1934-10-26,1936-10-29,2,42.2491
$DJIA,1934-10-26,1936-10-29,3,37.1477
$DJIA,1934-10-26,1936-10-29,4,42.0993
$DJIA,1934-10-26,1936-10-29,5,39.0013
$DJIA,1934-10-26,1936-10-29,6,37.4087
$DJIA,1934-10-26,1936-10-29,7,36.9706
$DJIA,1934-10-26,1936-10-29,8,39.8143
$DJIA,1934-10-26,1936-10-29,9,37.8118
$DJIA,1934-10-26,1936-10-29,10,39.5297
$DJIA,1936-10-29,1938-11-03,0,43.5105
$DJIA,1936-10-29,1938-11-03,1,35.8352
$DJIA,1936-10-29,1938-11-03,2,37.2424
$DJIA,1936-10-29,1938-11-03,3,38.3069
$DJIA,1936-10-29,1938-11-03,4,27.892
$DJIA,1936-10-29,1938-11-03,5,36.2788
$DJIA,1936-10-29,1938-11-03,6,33.7966
$DJIA,1936-10-29,1938-11-03,7,33.5931
$DJIA,1936-10-29,1938-11-03,8,23.5633
$DJIA,1936-10-29,1938-11-03,9,27.2809
$DJIA,1936-10-29,1938-11-03,10,34.7279
$DJIA,1938-11-03,1940-11-09,0,33.3395
$DJIA,1938-11-03,1940-11-09,1,31.1426
$DJIA,1938-11-03,1940-11-09,2,38.5606
$DJIA,1938-11-03,1940-11-09,3,29.6698
$DJIA,1938-11-03,1940-11-09,4,33.0324
$DJIA,1938-11-03,1940-11-09,5,38.658
$DJIA,1938-11-03,1940-11-09,6,34.6183
$DJIA,1938-11-03,1940-11-09,7,36.4174
$DJIA,1938-11-03,1940-11-09,8,35.986
$DJIA,1938-11-03,1940-11-09,9,40.2989
$DJIA,1938-11-03,1940-11-09,10,40.3663
$DJIA,1940-11-12,1942-11-17,0,44.0141
$DJIA,1940-11-12,1942-11-17,1,30.3032
$DJIA,1940-11-12,1942-11-17,2,37.7522
$DJIA,1940-11-12,1942-11-17,3,38.6664
$DJIA,1940-11-12,1942-11-17,4,32.0452
$DJIA,1940-11-12,1942-11-17,5,31.7949
$DJIA,1940-11-12,1942-11-17,6,30.0443
$DJIA,1940-11-12,1942-11-17,7,34.0382
$DJIA,1940-11-12,1942-11-17,8,36.4996
$DJIA,1940-11-12,1942-11-17,9,36.8056
$DJIA,1940-11-12,1942-11-17,10,32.2908
$DJIA,1942-11-17,1944-11-18,0,41.8924
$DJIA,1942-11-17,1944-11-18,1,40.5587
$DJIA,1942-11-17,1944-11-18,2,39.6751
$DJIA,1942-11-17,1944-11-18,3,35.8988
$DJIA,1942-11-17,1944-11-18,4,38.2492
$DJIA,1942-11-17,1944-11-18,5,41.6032
$DJIA,1942-11-17,1944-11-18,6,37.7976
$DJIA,1942-11-17,1944-11-18,7,36.271
$DJIA,1942-11-17,1944-11-18,8,33.4137
$DJIA,1942-11-17,1944-11-18,9,39.2564
$DJIA,1942-11-17,1944-11-18,10,34.9025
$DJIA,1944-11-20,1946-12-03,0,39.4283
$DJIA,1944-11-20,1946-12-03,1,39.6622
$DJIA,1944-11-20,1946-12-03,2,34.7999
$DJIA,1944-11-20,1946-12-03,3,37.7441
$DJIA,1944-11-20,1946-12-03,4,38.474
$DJIA,1944-11-20,1946-12-03,5,34.4148
$DJIA,1944-11-20,1946-12-03,6,38.2398
$DJIA,1944-11-20,1946-12-03,7,35.2278
$DJIA,1944-11-20,1946-12-03,8,37.9299
$DJIA,1944-11-20,1946-12-03,9,37.4808
$DJIA,1944-11-20,1946-12-03,10,38.2044
$DJIA,1946-12-03,1948-12-09,0,42.2911
$DJIA,1946-12-03,1948-12-09,1,40.4215
$DJIA,1946-12-03,1948-12-09,2,43.6592
$DJIA,1946-12-03,1948-12-09,3,36.4729
$DJIA,1946-12-03,1948-12-09,4,33.1144
$DJIA,1946-12-03,1948-12-09,5,36.372
$DJIA,1946-12-03,1948-12-09,6,33.9782
$DJIA,1946-12-03,1948-12-09,7,36.0334
$DJIA,1946-12-03,1948-12-09,8,36.3123
$DJIA,1946-12-03,1948-12-09,9,36.7683
$DJIA,1946-12-03,1948-12-09,10,41.0816
$DJIA,1948-12-09,1950-12-13,0,46.141
$DJIA,1948-12-09,1950-12-13,1,39.3606
$DJIA,1948-12-09,1950-12-13,2,39.1747
$DJIA,1948-12-09,1950-12-13,3,36.4831
$DJIA,1948-12-09,1950-12-13,4,40.4755
$DJIA,1948-12-09,1950-12-13,5,36.6196
$DJIA,1948-12-09,1950-12-13,6,38.168
$DJIA,1948-12-09,1950-12-13,7,38.8789
$DJIA,1948-12-09,1950-12-13,8,37.1958
$DJIA,1948-12-09,1950-12-13,9,39.6683
$DJIA,1948-12-09,1950-12-13,10,40.4051
$DJIA,1950-12-13,1952-12-20,0,43.2935
$DJIA,1950-12-13,1952-12-20,1,41.3069
$DJIA,1950-12-13,1952-12-20,2,41.0095
$DJIA,1950-12-13,1952-12-20,3,38.2365
$DJIA,1950-12-13,1952-12-20,4,43.033
$DJIA,1950-12-13,1952-12-20,5,46.0273
$DJIA,1950-12-13,1952-12-20,6,37.9772
$DJIA,1950-12-13,1952-12-20,7,39.4476
$DJIA,1950-12-13,1952-12-20,8,37.469
$DJIA,1950-12-13,1952-12-20,9,36.271
$DJIA,1950-12-13,1952-12-20,10,41.8279
$DJIA,1952-12-22,1954-12-23,0,47.5869
$DJIA,1952-12-22,1954-12-23,1,40.7105
$DJIA,1952-12-22,1954-12-23,2,41.4087
$DJIA,1952-12-22,1954-12-23,3,36.9824
$DJIA,1952-12-22,1954-12-23,4,42.4463
$DJIA,1952-12-22,1954-12-23,5,38.4979
$DJIA,1952-12-22,1954-12-23,6,40.3045
$DJIA,1952-12-22,1954-12-23,7,31.1781
$DJIA,1952-12-22,1954-12-23,8,38.8342
$DJIA,1952-12-22,1954-12-23,9,38.5758
$DJIA,1952-12-22,1954-12-23,10,40.5518
$DJIA,1954-12-23,1956-12-21,0,41.512
$DJIA,1954-12-23,1956-12-21,1,41.2965
$DJIA,1954-12-23,1956-12-21,2,37.761
$DJIA,1954-12-23,1956-12-21,3,39.2054
$DJIA,1954-12-23,1956-12-21,4,30.4898
$DJIA,1954-12-23,1956-12-21,5,42.642
$DJIA,1954-12-23,1956-12-21,6,43.9115
$DJIA,1954-12-23,1956-12-21,7,35.5647
$DJIA,1954-12-23,1956-12-21,8,35.9133
$DJIA,1954-12-23,1956-12-21,9,41.1905
$DJIA,1954-12-23,1956-12-21,10,37.5164
$DJIA,1956-12-21,1958-12-23,0,47.7109
$DJIA,1956-12-21,1958-12-23,1,33.7534
$DJIA,1956-12-21,1958-12-23,2,39.8246
$DJIA,1956-12-21,1958-12-23,3,37.9841
$DJIA,1956-12-21,1958-12-23,4,41.815
$DJIA,1956-12-21,1958-12-23,5,35.7392
$DJIA,1956-12-21,1958-12-23,6,41.2683
$DJIA,1956-12-21,1958-12-23,7,34.703
$DJIA,1956-12-21,1958-12-23,8,36.2371
$DJIA,1956-12-21,1958-12-23,9,42.0534
$DJIA,1956-12-21,1958-12-23,10,41.3392
$DJIA,1958-12-23,1960-12-22,0,42.9938
$DJIA,1958-12-23,1960-12-22,1,36.0425
$DJIA,1958-12-23,1960-12-22,2,37.0826
$DJIA,1958-12-23,1960-12-22,3,41.1406
$DJIA,1958-12-23,1960-12-22,4,41.9323
$DJIA,1958-12-23,1960-12-22,5,36.6735
$DJIA,1958-12-23,1960-12-22,6,36.9314
$DJIA,1958-12-23,1960-12-22,7,39.5774
$DJIA,1958-12-23,1960-12-22,8,35.8854
$DJIA,1958-12-23,1960-12-22,9,38.3688
$DJIA,1958-12-23,1960-12-22,10,29.5483
$DJIA,1960-12-22,1962-12-25,0,42.8734
$DJIA,1960-12-22,1962-12-25,1,35.5487
$DJIA,1960-12-22,1962-12-25,2,39.5836
$DJIA,1960-12-22,1962-12-25,3,34.0103
$DJIA,1960-12-22,1962-12-25,4,37.4259
$DJIA,1960-12-22,1962-12-25,5,37.125
$DJIA,1960-12-22,1962-12-25,6,40.9466
$DJIA,1960-12-22,1962-12-25,7,34.8058
$DJIA,1960-12-22,1962-12-25,8,38.6211
$DJIA,1960-12-22,1962-12-25,9,38.278
$DJIA,1960-12-22,1962-12-25,10,39.8668
$DJIA,1962-12-26,1964-12-25,0,47.4938
$DJIA,1962-12-26,1964-12-25,1,42.5083
$DJIA,1962-12-26,1964-12-25,2,32.4748
$DJIA,1962-12-26,1964-12-25,3,35.8909
$DJIA,1962-12-26,1964-12-25,4,42.3103
$DJIA,1962-12-26,1964-12-25,5,40.4546
$DJIA,1962-12-26,1964-12-25,6,36.5344
$DJIA,1962-12-26,1964-12-25,7,44.1534
$DJIA,1962-12-26,1964-12-25,8,44.515
$DJIA,1962-12-26,1964-12-25,9,37.8292
$DJIA,1962-12-26,1964-12-25,10,36.4152
$DJIA,1964-12-28,1966-12-24,0,49.776
$DJIA,1964-12-28,1966-12-24,1,45.031
$DJIA,1964-12-28,1966-12-24,2,34.5683
$DJIA,1964-12-28,1966-12-24,3,40.7741
$DJIA,1964-12-28,1966-12-24,4,43.6395
$DJIA,1964-12-28,1966-12-24,5,42.6122
$DJIA,1964-12-28,1966-12-24,6,42.3246
$DJIA,1964-12-28,1966-12-24,7,35.3684
$DJIA,1964-12-28,1966-12-24,8,40.8141
$DJIA,1964-12-28,1966-12-24,9,38.0751
$DJIA,1964-12-28,1966-12-24,10,32.4074
$DJIA,1966-12-27,1969-02-04,0,45.3171
$DJIA,1966-12-27,1969-02-04,1,33.8349
$DJIA,1966-12-27,1969-02-04,2,41.311
$DJIA,1966-12-27,1969-02-04,3,32.1237
$DJIA,1966-12-27,1969-02-04,4,41.2097
$DJIA,1966-12-27,1969-02-04,5,43.4196
$DJIA,1966-12-27,1969-02-04,6,39.1779
$DJIA,1966-12-27,1969-02-04,7,38.2192
$DJIA,1966-12-27,1969-02-04,8,40.4604
$DJIA,1966-12-27,1969-02-04,9,44.7451
$DJIA,1966-12-27,1969-02-04,10,42.5484
$DJIA,1969-02-04,1971-02-04,0,37.6093
