Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,0,29.8117
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,1,32.5364
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,2,29.8919
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,3,23.2919
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,4,29.6368
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,5,33.4741
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,6,22.1724
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,7,28.305
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,8,32.9425
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,9,31.9746
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,10,27.3795
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,0,38.8081
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,1,32.7258
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,2,36.9524
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,3,25.3065
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,4,32.8989
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,5,34.0918
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,6,19.6102
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,7,23.9543
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,8,32.5335
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,9,33.6585
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,10,28.9224
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,0,34.4936
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,1,38.3562
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,2,33.8176
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,3,31.276
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,4,32.123
