Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,0,29.8555
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,1,32.002
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,2,29.8825
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,3,23.3294
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,4,29.6316
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,5,32.4947
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,6,21.69
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,7,27.6731
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,8,32.7091
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,9,31.7657
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,10,27.3146
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,0,38.6705
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,1,32.7204
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,2,36.043
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,3,25.3703
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,4,31.7896
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,5,29.8304
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,6,19.6022
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,7,23.5265
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,8,31.9794
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,9,33.4768
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,10,28.9384
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,0,36.1601
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,1,38.3913
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,2,31.2964
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,3,31.0579
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,4,32.0525
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,5,37.052
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,6,34.1519
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,7,34.169
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,8,36.7817
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,9,35.0846
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,10,32.6041
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,0,44.9742
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,1,31.9634
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,2,33.6641
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,3,31.7383
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,4,34.9313
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,5,31.2718
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,6,35.9563
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,7,35.8041
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,8,32.0366
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,9,36.6204
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,10,33.5278
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,0,37.1824
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,1,30.4725
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,2,37.3922
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,3,35.2704
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,4,37.9545
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,5,38.3884
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,6,29.6248
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,7,31.4186
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,8,36.7076
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,9,30.1659
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,10,36.423
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,0,44.7841
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,1,33.0075
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,2,32.7881
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,3,37.1151
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,4,39.7894
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,5,40.2717
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,6,37.1952
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,7,35.1866
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,8,35.2902
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,9,38.9048
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,10,37.605
$DJIA,1928-10-01,1930-10-07,0,43.4182
$DJIA,1928-10-01,1930-10-07,1,29.4834
$DJIA,1928-10-01,1930-10-07,2,29.9084
$DJIA,1928-10-01,1930-10-07,3,25.6889
$DJIA,1928-10-01,1930-10-07,4,35.9735
$DJIA,1928-10-01,1930-10-07,5,37.6161
$DJIA,1928-10-01,1930-10-07,6,39.5549
$DJIA,1928-10-01,1930-10-07,7,32.5176
$DJIA,1928-10-01,1930-10-07,8,35.3104
$DJIA,1928-10-01,1930-10-07,9,33.9402
$DJIA,1928-10-01,1930-10-07,10,34.009
$DJIA,1930-10-07,1932-10-08,0,45.9595
$DJIA,1930-10-07,1932-10-08,1,28.3341
$DJIA,1930-10-07,1932-10-08,2,33.646
$DJIA,1930-10-07,1932-10-08,3,39.6314
$DJIA,1930-10-07,1932-10-08,4,34.8522
$DJIA,1930-10-07,1932-10-08,5,41.7988
$DJIA,1930-10-07,1932-10-08,6,36.4507
$DJIA,1930-10-07,1932-10-08,7,34.0512
$DJIA,1930-10-07,1932-10-08,8,39.0896
$DJIA,1930-10-07,1932-10-08,9,35.0511
$DJIA,1930-10-07,1932-10-08,10,35.2271
$DJIA,1932-10-10,1934-10-26,0,39.2894
$DJIA,1932-10-10,1934-10-26,1,36.2217
$DJIA,1932-10-10,1934-10-26,2,25.6394
$DJIA,1932-10-10,1934-10-26,3,34.1392
$DJIA,1932-10-10,1934-10-26,4,37.0282
$DJIA,1932-10-10,1934-10-26,5,36.025
$DJIA,1932-10-10,1934-10-26,6,32.8761
$DJIA,1932-10-10,1934-10-26,7,39.0963
$DJIA,1932-10-10,1934-10-26,8,33.3649
$DJIA,1932-10-10,1934-10-26,9,36.9035
$DJIA,1932-10-10,1934-10-26,10,25.9827
$DJIA,1934-10-26,1936-10-29,0,46.2024
$DJIA,1934-10-26,1936-10-29,1,33.4878
$DJIA,1934-10-26,1936-10-29,2,42.3551
$DJIA,1934-10-26,1936-10-29,3,36.6743
$DJIA,1934-10-26,1936-10-29,4,42.0538
$DJIA,1934-10-26,1936-10-29,5,39.6182
$DJIA,1934-10-26,1936-10-29,6,37.6476
$DJIA,1934-10-26,1936-10-29,7,37.1303
$DJIA,1934-10-26,1936-10-29,8,39.8843
$DJIA,1934-10-26,1936-10-29,9,38.5669
$DJIA,1934-10-26,1936-10-29,10,39.611
$DJIA,1936-10-29,1938-11-03,0,43.6033
$DJIA,1936-10-29,1938-11-03,1,35.8833
$DJIA,1936-10-29,1938-11-03,2,35.6745
$DJIA,1936-10-29,1938-11-03,3,38.4152
$DJIA,1936-10-29,1938-11-03,4,28.6759
$DJIA,1936-10-29,1938-11-03,5,36.1739
$DJIA,1936-10-29,1938-11-03,6,31.5784
$DJIA,1936-10-29,1938-11-03,7,34.8526
$DJIA,1936-10-29,1938-11-03,8,23.971
$DJIA,1936-10-29,1938-11-03,9,26.798
$DJIA,1936-10-29,1938-11-03,10,34.5242
$DJIA,1938-11-03,1940-11-09,0,32.986
$DJIA,1938-11-03,1940-11-09,1,31.1767
$DJIA,1938-11-03,1940-11-09,2,37.7612
$DJIA,1938-11-03,1940-11-09,3,28.5852
$DJIA,1938-11-03,1940-11-09,4,33.1279
$DJIA,1938-11-03,1940-11-09,5,36.454
$DJIA,1938-11-03,1940-11-09,6,34.3919
$DJIA,1938-11-03,1940-11-09,7,36.4396
$DJIA,1938-11-03,1940-11-09,8,35.9746
$DJIA,1938-11-03,1940-11-09,9,40.4452
$DJIA,1938-11-03,1940-11-09,10,39.3689
$DJIA,1940-11-12,1942-11-17,0,43.9491
$DJIA,1940-11-12,1942-11-17,1,35.2809
$DJIA,1940-11-12,1942-11-17,2,38.2496
$DJIA,1940-11-12,1942-11-17,3,38.6214
$DJIA,1940-11-12,1942-11-17,4,32.0337
$DJIA,1940-11-12,1942-11-17,5,32.7429
