Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,0,27.4281
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,1,15.9833
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,2,16.3633
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,3,24.0045
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,4,21.7603
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,5,9.8975
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,6,23.8112
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,7,24.3871
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,8,15.3334
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,9,25.4848
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-01-17,10,17.0293
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,0,28.3934
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,1,15.5278
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,2,20.3576
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,3,23.4202
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,4,9.4983
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,5,19.5148
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,6,28.2353
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,7,31.0996
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,8,32.0816
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,9,23.0427
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-07-24,10,18.2663
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,0,32.6613
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,1,19.9016
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,2,24.969
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,3,31.0048
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,4,31.0855
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,5,21.081
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,6,32.1727
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,7,27.8671
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,8,29.8188
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,9,26.2387
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-01-23,10,26.2374
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,0,38.0657
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,1,21.8467
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,2,15.8477
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,3,23.4315
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,4,28.3532
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,5,27.2639
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,6,24.6726
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,7,26.3215
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,8,21.8051
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,9,25.0234
$BTC-USD@GDAX_MTGOX,2012-01-22,2012-07-23,10,26.9307
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,0,37.4002
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,1,29.4427
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,2,12.9675
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,3,37.9224
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,4,31.1294
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,5,24.5552
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,6,29.8782
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,7,34.471
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,8,25.5346
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,9,28.4728
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-01-22,10,14.0373
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,0,36.1414
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,1,16.8489
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,2,15.6933
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,3,22.6063
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,4,19.638
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,5,25.0703
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,6,13.0609
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,7,12.1683
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,8,21.2389
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,9,23.6334
$BTC-USD@GDAX_MTGOX,2013-01-21,2013-07-23,10,23.0438
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,0,31.2115
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,1,23.3753
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,2,24.0974
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,3,23.7779
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,4,25.3935
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,5,11.5065
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,6,16.3163
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,7,24.3127
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,8,24.0444
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,9,32.676
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-01-22,10,11.7132
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,0,30.0627
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,1,22.2092
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,2,29.8746
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,3,23.6107
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,4,20.4334
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,5,21.5291
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,6,25.0277
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,7,23.243
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,8,33.4673
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,9,29.1725
$BTC-USD@GDAX_MTGOX,2014-01-21,2014-07-23,10,33.5801
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,0,37.2383
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,1,22.9745
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,2,29.7611
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,3,33.2115
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,4,32.3941
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,5,29.7872
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,6,26.1817
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,7,29.4347
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,8,28.31
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-01-25,9,32.6
