Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,0,36.813
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,1,32.3829
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,2,37.7302
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,3,30.702
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,4,31.1406
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,5,23.4926
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,6,29.7954
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,7,25.6243
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,8,31.0994
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,9,30.5039
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,10,33.5641
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,0,41.1667
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,1,35.8724
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,2,31.3283
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,3,36.011
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,4,33.2687
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,5,29.5492
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,6,34.1274
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,7,26.8753
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,8,27.5115
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,9,35.28
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,10,28.5183
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,0,41.8141
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,1,27.3126
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,2,26.6808
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,3,29.5838
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,4,34.1805
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,5,29.0481
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,6,32.0158
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,7,23.8282
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,8,31.5531
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,9,27.5551
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,10,36.5863
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,0,39.8601
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,1,38.1257
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,2,26.8307
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,3,35.0189
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,4,35.5627
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,5,40.5416
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,6,34.9839
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,7,31.9256
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,8,33.6607
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,9,35.3493
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,10,35.9082
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,0,43.032
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,1,40.8186
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,2,35.9322
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,3,39.1083
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,4,41.4861
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,5,35.3747
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,6,35.6965
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,7,36.9645
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,8,37.1337
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,9,40.4576
$BTC-USD@GDAX_MTGOX,2014-07-23,2015-07-26,10,37.401
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,0,34.6
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,1,37.1525
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,2,32.3652
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,3,34.0295
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,4,28.3649
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,5,30.2953
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,6,34.5486
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,7,39.4575
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,8,36.5344
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,9,28.0328
$BTC-USD@GDAX_MTGOX,2015-07-26,2016-07-26,10,35.7706
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,0,45.9701
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,1,33.1174
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,2,36.1379
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,3,35.0309
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,4,11.084
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,5,34.4786
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,6,32.5401
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,7,29.5845
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,8,35.3247
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,9,32.9056
$BTC-USD@GDAX_MTGOX,2016-07-26,2017-07-26,10,36.7074
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,0,43.6713
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,1,33.5
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,2,34.254
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,3,34.8333
$BTC-USD@GDAX_MTGOX,2017-07-26,2018-07-26,4,35.5762
