Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,0,6.2342
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,1,12.0397
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,2,24.2723
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,3,17.7654
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,4,30.5436
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,5,12.1936
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,6,3.9744
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,7,17.5203
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,8,19.685
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,9,2.8126
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,10,23.4013
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,0,34.5957
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,1,24.2482
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,2,13.5816
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,3,23.5267
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,4,21.8962
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,5,17.2105
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,6,28.9766
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,7,30.5294
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,8,24.4212
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,9,26.5976
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,10,23.3006
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,0,27.2591
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,1,23.3932
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,2,27.1859
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,3,24.1766
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,4,33.2038
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,5,27.263
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,6,23.7559
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,7,28.0631
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,8,21.86
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,9,27.264
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,10,24.8895
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,0,33.0813
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,1,23.5016
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,2,22.9256
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,3,2.0782
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,4,17.7567
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,5,23.3998
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,6,23.6712
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,7,30.4393
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,8,30.6075
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,9,28.799
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,10,24.6817
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,0,33.0818
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,1,25.6397
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,2,18.8659
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,3,29.5346
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,4,19.3063
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,5,25.5456
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,6,21.3578
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,7,27.151
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,8,29.9464
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,9,31.6941
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,10,28.1464
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,0,33.6934
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,1,27.0513
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,2,29.3779
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,3,11.3567
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,4,38.1504
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,5,32.461
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,6,28.164
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,7,24.4065
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,8,31.4667
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,9,38.6736
$BTC-USD@GDAX_MTGOX,2011-10-22,2012-01-21,10,34.4719
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,0,34.7883
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,1,24.5762
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,2,24.5284
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,3,36.0244
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,4,32.4958
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,5,31.6433
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,6,37.7199
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,7,27.7815
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,8,25.3967
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,9,19.9425
$BTC-USD@GDAX_MTGOX,2012-01-21,2012-04-21,10,26.8973
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,0,37.4855
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,1,28.0673
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,2,30.518
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,3,29.8895
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,4,24.8373
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,5,34.9507
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,6,31.4815
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,7,38.8853
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,8,32.7953
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,9,24.5834
$BTC-USD@GDAX_MTGOX,2012-04-21,2012-07-21,10,32.2823
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,0,37.3615
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,1,23.0479
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,2,32.3217
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,3,27.479
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,4,27.2153
$BTC-USD@GDAX_MTGOX,2012-07-21,2012-10-20,5,31.6214
