Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,0,29.8393
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,1,32.7017
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,2,29.9399
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,3,23.3052
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,4,29.6663
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,5,33.4779
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,6,22.1572
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,7,28.3016
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,8,32.35
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,9,31.6162
$BTC-USD@GDAX_MTGOX,2010-07-18,2012-07-23,10,27.3452
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,0,38.9357
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,1,32.7356
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,2,37.0751
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,3,25.6488
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,4,32.9301
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,5,34.0986
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,6,19.5785
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,7,24.6969
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,8,32.5379
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,9,33.6755
$BTC-USD@GDAX_MTGOX,2012-07-23,2014-07-23,10,28.9374
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,0,35.9363
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,1,38.3704
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,2,34.0655
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,3,31.3341
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,4,32.3241
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,5,37.4291
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,6,34.3365
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,7,34.3982
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,8,36.8503
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,9,34.8798
$BTC-USD@GDAX_MTGOX,2014-07-23,2016-07-26,10,32.8931
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,0,44.8942
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,1,31.829
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,2,33.9175
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,3,31.9483
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,4,35.1749
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,5,31.9132
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,6,36.1634
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,7,34.6599
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,8,35.3769
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,9,36.7066
$BTC-USD@GDAX_MTGOX,2016-07-26,2018-07-26,10,33.5082
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,0,37.2365
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,1,28.4685
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,2,37.3967
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,3,35.6491
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,4,34.47
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,5,38.5253
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,6,29.6682
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,7,31.6419
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,8,36.7453
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,9,30.657
$BTC-USD@GDAX_MTGOX,2018-07-26,2020-07-27,10,36.4212
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,0,44.9891
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,1,32.0969
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,2,32.7859
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,3,37.0975
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,4,39.8683
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,5,40.7092
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,6,38.526
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,7,35.2055
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,8,34.9168
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,9,38.9824
$BTC-USD@GDAX_MTGOX,2020-07-27,2022-07-27,10,37.78
$DJIA,1928-10-01,1930-10-07,0,43.3615
$DJIA,1928-10-01,1930-10-07,1,29.6909
$DJIA,1928-10-01,1930-10-07,2,30.0719
$DJIA,1928-10-01,1930-10-07,3,25.9464
$DJIA,1928-10-01,1930-10-07,4,35.6642
$DJIA,1928-10-01,1930-10-07,5,37.651
$DJIA,1928-10-01,1930-10-07,6,39.7561
$DJIA,1928-10-01,1930-10-07,7,32.5336
$DJIA,1928-10-01,1930-10-07,8,35.52
$DJIA,1928-10-01,1930-10-07,9,33.558
$DJIA,1928-10-01,1930-10-07,10,34.1434
$DJIA,1930-10-07,1932-10-08,0,45.9281
$DJIA,1930-10-07,1932-10-08,1,28.3666
$DJIA,1930-10-07,1932-10-08,2,36.3717
$DJIA,1930-10-07,1932-10-08,3,39.3985
$DJIA,1930-10-07,1932-10-08,4,34.9369
$DJIA,1930-10-07,1932-10-08,5,41.8746
$DJIA,1930-10-07,1932-10-08,6,36.3794
$DJIA,1930-10-07,1932-10-08,7,35.1412
$DJIA,1930-10-07,1932-10-08,8,38.8099
$DJIA,1930-10-07,1932-10-08,9,35.0766
$DJIA,1930-10-07,1932-10-08,10,36.4629
$DJIA,1932-10-10,1934-10-26,0,39.3095
