Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,0,6.1513
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,1,9.7998
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,2,18.3829
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,3,15.2307
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,4,26.3144
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,5,12.1501
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,6,3.7613
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,7,17.2937
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,8,17.3353
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,9,2.5158
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,10,19.2159
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,0,29.7494
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,1,20.8835
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,2,12.8933
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,3,13.7389
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,4,16.9871
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,5,16.1933
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,6,27.3761
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,7,29.6043
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,8,16.942
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,9,26.3946
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,10,21.0129
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,0,27.2836
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,1,21.922
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,2,24.966
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,3,21.615
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,4,32.5226
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,5,20.8561
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,6,23.4191
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,7,25.7983
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,8,17.6155
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,9,26.6259
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,10,18.8195
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,0,29.5105
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,1,22.9806
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,2,19.1263
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,3,2.0292
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,4,16.9125
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,5,22.2828
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,6,21.0442
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,7,30.313
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,8,26.2429
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,9,26.6973
$BTC-USD@GDAX_MTGOX,2011-04-17,2011-07-23,10,20.8637
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,0,29.4632
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,1,22.7101
$BTC-USD@GDAX_MTGOX,2011-07-23,2011-10-22,2,14.7872
