Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,0,22.8314
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,1,23.3188
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,2,23.2702
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,3,20.3568
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,4,20.0777
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,5,12.3212
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,6,19.7058
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,7,16.3749
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,8,21.61
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,9,15.8316
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,10,24.2857
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,0,31.4809
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,1,25.1352
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,2,21.4028
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,3,21.307
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,4,20.0172
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,5,19.7523
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,6,18.2383
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,7,12.2132
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,8,17.7366
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,9,25.0414
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,10,17.3933
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,0,31.2796
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,1,19.6727
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,2,14.5416
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,3,17.8922
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,4,17.4877
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,5,14.3719
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,6,19.8358
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,7,10.0122
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,8,19.8524
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,9,14.2361
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,10,23.026
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,0,26.4097
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,1,27.5274
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,2,17.3973
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,3,18.8543
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,4,24.4893
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,5,29.911
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,6,23.0267
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,7,18.7014
$BTC-USD@GDAX_MTGOX,2013-07-23,2014-07-23,8,21.9922
