Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,0,8.5503
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,1,9.1892
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,2,16.7814
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,3,12.7118
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,4,22.0475
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,5,10.9274
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,6,3.0133
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,7,17.4664
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,8,18.9021
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,9,4.5069
$BTC-USD@GDAX_MTGOX,2010-07-18,2010-10-17,10,17.3771
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,0,30.3711
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,1,25.1708
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,2,13.4583
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,3,12.4989
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,4,15.8939
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,5,15.9167
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,6,26.3167
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,7,27.9952
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,8,13.6673
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,9,26.7565
$BTC-USD@GDAX_MTGOX,2010-10-17,2011-01-16,10,19.1316
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,0,28.329
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,1,24.0434
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,2,25.238
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,3,21.2625
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,4,32.6051
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,5,22.2371
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,6,23.6793
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,7,23.1737
$BTC-USD@GDAX_MTGOX,2011-01-16,2011-04-17,8,16.8327
