Symbol,Start,End,Permutation,Elliotticity
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,0,23.2138
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,1,20.3404
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,2,21.2224
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,3,18.4625
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,4,17.6897
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,5,9.9981
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,6,17.1723
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,7,15.0661
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,8,20.9367
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,9,14.1827
$BTC-USD@GDAX_MTGOX,2010-07-18,2011-07-24,10,22.8689
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,0,31.807
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,1,23.4764
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,2,22.0486
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,3,20.6952
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,4,19.4463
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,5,17.8044
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,6,16.0764
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,7,10.8652
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,8,16.5333
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,9,24.3621
$BTC-USD@GDAX_MTGOX,2011-07-24,2012-07-23,10,15.2136
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,0,31.9121
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,1,17.8042
$BTC-USD@GDAX_MTGOX,2012-07-23,2013-07-23,2,15.3893
